period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,37743.0,7133.0,44876.0,12756.0,-21725.0,1633.0,5421.0,1627.0,1277.0,0.0,80.0,1201.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,9,CANADA,4910.0,27160.0,32070.0,38947.0,11094.0,11258.0,15804.0,2189.0,18335.0,0.0,8371.0,18222.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,10,FRANCE,623.0,1940.0,2563.0,41401.0,2285.0,16661.0,36531.0,6089.0,66564.0,21.0,40575.0,66507.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,11,GERMANY,16238.0,39492.0,55730.0,70530.0,12772.0,26282.0,37840.0,8141.0,13786.0,0.0,6546.0,13784.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,12,ITALY,150.0,2029.0,2179.0,28498.0,2398.0,1955.0,25118.0,7240.0,8359.0,5.0,1288.0,8359.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,13,JAPAN,4255.0,68211.0,72466.0,74333.0,155070.0,2652.0,67540.0,23406.0,121558.0,0.0,55975.0,121555.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,17452.0,22082.0,39534.0,96417.0,-20641.0,4039.0,5607.0,741.0,8078.0,44.0,1572.0,8078.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,21290.0,7621.0,28911.0,50917.0,-24444.0,17031.0,17322.0,2165.0,3267.0,0.0,1925.0,3006.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,309.0,1444.0,1753.0,8945.0,-849.0,3734.0,7339.0,1311.0,3525.0,0.0,1522.0,3516.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,9863.0,2013.0,11876.0,41582.0,6829.0,2271.0,10573.0,134.0,7542.0,0.0,4923.0,7524.0
2016Q1,2016,Q1,Table 3,3,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,780602.0,252565.0,1033167.0,354049.0,261824.0,43286.0,68588.0,12212.0,103175.0,9.0,47924.0,102948.0
2016Q1,2016,Q1,Table 3,3,LFI,Non G-10 Developed Countries,country_data,22,AUSTRALIA,5513.0,38225.0,43738.0,58234.0,9952.0,17051.0,16574.0,1729.0,6319.0,10.0,4548.0,6224.0
2016Q1,2016,Q1,Table 3,3,LFI,Non G-10 Developed Countries,country_data,23,AUSTRIA,2.0,69.0,71.0,4751.0,-70.0,3704.0,3592.0,1636.0,1841.0,0.0,1329.0,1841.0
