period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2017Q4,2017,Q4,Table 3,3,LFI,Eastern Europe,country_data,42,POLAND,2368.0,7132.0,9500.0,10849.0,2287.0,5150.0,2152.0,803.0,34.0,0.0,34.0,34.0
2017Q4,2017,Q4,Table 3,3,LFI,Eastern Europe,country_data,43,ROMANIA,411.0,1258.0,1669.0,1572.0,-102.0,505.0,318.0,134.0,94.0,0.0,94.0,94.0
2017Q4,2017,Q4,Table 3,3,LFI,Eastern Europe,country_data,44,RUSSIA,2504.0,4491.0,6995.0,12364.0,373.0,737.0,3928.0,415.0,1110.0,0.0,1036.0,1110.0
2017Q4,2017,Q4,Table 3,3,LFI,Eastern Europe,country_data,45,TURKEY,618.0,1227.0,1845.0,3030.0,821.0,414.0,3981.0,499.0,2586.0,0.0,2058.0,2586.0
2017Q4,2017,Q4,Table 3,3,LFI,Eastern Europe,country_data,46,OTHER E. EUROPE,209.0,473.0,682.0,2538.0,-111.0,45.0,1074.0,399.0,191.0,0.0,145.0,191.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,50,ANGUILLA,1.0,0.0,1.0,1654.0,1.0,0.0,0.0,0.0,3023.0,0.0,1146.0,3023.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,51,ARGENTINA,593.0,1745.0,2338.0,2116.0,1168.0,462.0,3190.0,266.0,483.0,0.0,478.0,483.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,52,BRAZIL,496.0,18781.0,19277.0,22539.0,21363.0,3724.0,27444.0,2100.0,14635.0,0.0,11197.0,14635.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,53,CHILE,4.0,50.0,54.0,931.0,2606.0,701.0,1112.0,150.0,18.0,0.0,6.0,18.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,54,COLOMBIA,29.0,3535.0,3564.0,3673.0,651.0,256.0,1062.0,140.0,371.0,0.0,344.0,371.0
