period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,9,BELGIUM,4820.0,47.0,4867.0,43.0,130.0,173.0,369.0,5409.0,4859.0,71.0,4930.0,1.0,2.0,3.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,10,CANADA,27692.0,4124.0,31816.0,32420.0,6338.0,38758.0,1330.0,71904.0,24737.0,3827.0,28564.0,37046.0,4539.0,41585.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,11,FRANCE,25794.0,301.0,26095.0,3588.0,1270.0,4858.0,1997.0,32950.0,24916.0,366.0,25282.0,2456.0,289.0,2745.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,12,GERMANY,30835.0,973.0,31808.0,3945.0,1523.0,5468.0,3216.0,40492.0,26059.0,1439.0,27498.0,4759.0,1467.0,6226.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,13,ITALY,9333.0,257.0,9590.0,2136.0,1950.0,4086.0,455.0,14131.0,8794.0,261.0,9055.0,45.0,381.0,426.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,14,JAPAN,20575.0,372.0,20947.0,32545.0,3653.0,36198.0,836.0,57981.0,17815.0,326.0,18141.0,1502.0,0.0,1502.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,15,LUXEMBOURG,19929.0,71.0,20000.0,831.0,7.0,838.0,1169.0,22007.0,40222.0,72.0,40294.0,200.0,3.0,203.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,16,NETHERLANDS,26696.0,143.0,26839.0,650.0,373.0,1023.0,1932.0,29794.0,28689.0,179.0,28868.0,2475.0,0.0,2475.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,17,SWEDEN,7137.0,462.0,7599.0,37.0,88.0,125.0,400.0,8124.0,6965.0,459.0,7424.0,0.0,0.0,0.0
2024Q1,2024,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,18,SWITZERLAND,15730.0,706.0,16436.0,572.0,1357.0,1929.0,2040.0,20405.0,14003.0,780.0,14783.0,538.0,902.0,1440.0
