period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,28,IRELAND,7341.0,1262.0,483.0,9086.0,7078.0,225.0,1212.0,504.0,106.0,1822.0,1568.0,9.0,42704.0,1803.0,5612.0,50119.0,45963.0,4436.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,29,ISRAEL,355.0,132.0,215.0,702.0,351.0,25.0,793.0,847.0,33.0,1673.0,914.0,1.0,373.0,26.0,305.0,704.0,425.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,256.0,1346.0,335.0,1937.0,423.0,5.0,516.0,487.0,117.0,1120.0,516.0,0.0,186.0,80.0,153.0,419.0,209.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,31,NORWAY,3060.0,32.0,212.0,3304.0,3282.0,0.0,4617.0,73.0,216.0,4906.0,4529.0,0.0,2935.0,18.0,206.0,3159.0,2701.0,8.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,32,PORTUGAL,1483.0,5.0,33.0,1521.0,1585.0,0.0,859.0,0.0,60.0,919.0,1489.0,0.0,301.0,2.0,15.0,318.0,107.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,33,SLOVAKIA,3.0,1.0,2.0,6.0,7.0,0.0,25.0,43.0,48.0,116.0,25.0,0.0,24.0,10.0,0.0,34.0,0.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,34,SPAIN,11886.0,97.0,2331.0,14314.0,10787.0,2.0,8229.0,521.0,131.0,8881.0,8830.0,0.0,5195.0,183.0,635.0,6013.0,4454.0,75.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,455.0,3.0,62.0,520.0,1689.0,1.0,262.0,0.0,121.0,383.0,288.0,0.0,451.0,0.0,12.0,463.0,417.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,subtotal,36,Total,53084.0,19071.0,9387.0,81542.0,50682.0,1207.0,30467.0,12563.0,3559.0,46589.0,31937.0,10.0,66413.0,9332.0,13533.0,89278.0,68326.0,5140.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,empty,37,,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,region_header,38,Eastern Europe,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,39,BULGARIA,8.0,17.0,0.0,25.0,16.0,17.0,1.0,243.0,0.0,244.0,3.0,78.0,0.0,0.0,1.0,1.0,0.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,40,CZECH REPUBLIC,233.0,597.0,45.0,875.0,296.0,14.0,802.0,3055.0,42.0,3899.0,832.0,0.0,3.0,203.0,10.0,216.0,3.0,4.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,41,HUNGARY,136.0,84.0,72.0,292.0,198.0,3.0,1179.0,1413.0,354.0,2946.0,1279.0,0.0,22.0,93.0,2.0,117.0,22.0,37.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,43,POLAND,1435.0,2427.0,35.0,3897.0,1446.0,139.0,913.0,5226.0,1.0,6140.0,995.0,339.0,2560.0,721.0,15.0,3296.0,2584.0,20.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,44,ROMANIA,23.0,25.0,6.0,54.0,75.0,2.0,138.0,1416.0,0.0,1554.0,159.0,267.0,67.0,156.0,1.0,224.0,67.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,45,RUSSIA,1958.0,1061.0,248.0,3267.0,1934.0,118.0,530.0,957.0,0.0,1487.0,559.0,115.0,198.0,788.0,3.0,989.0,126.0,144.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,46,TURKEY,13312.0,774.0,1638.0,15724.0,12185.0,18.0,246.0,870.0,0.0,1116.0,389.0,263.0,600.0,89.0,91.0,780.0,613.0,18.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,47,OTHER E. EUROPE,325.0,7.0,39.0,371.0,437.0,6.0,1233.0,350.0,45.0,1628.0,1358.0,0.0,38.0,0.0,2.0,40.0,69.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,subtotal,48,Total,17430.0,4992.0,2083.0,24505.0,16587.0,317.0,5042.0,13530.0,442.0,19014.0,5574.0,1062.0,3488.0,2050.0,125.0,5663.0,3484.0,223.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Eastern Europe,empty,49,,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,region_header,50,Latin America and Caribbean,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,51,ANGUILLA,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.0,0.0,27.0,2897.0,2828.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,52,ARGENTINA,172.0,351.0,0.0,523.0,186.0,56.0,406.0,1672.0,0.0,2078.0,405.0,395.0,23.0,51.0,0.0,74.0,13.0,9.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,53,BRAZIL,19871.0,4552.0,673.0,25096.0,9854.0,131.0,12314.0,13137.0,12.0,25463.0,15567.0,914.0,1907.0,1322.0,1409.0,4638.0,1535.0,827.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,54,CHILE,4173.0,1804.0,919.0,6896.0,4026.0,18.0,122.0,427.0,12.0,561.0,136.0,278.0,127.0,274.0,488.0,889.0,185.0,309.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,55,COLOMBIA,3801.0,104.0,262.0,4167.0,3743.0,23.0,638.0,879.0,1.0,1518.0,695.0,169.0,67.0,74.0,181.0,322.0,60.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,56,COSTA RICA,688.0,115.0,0.0,803.0,820.0,78.0,36.0,417.0,0.0,453.0,38.0,164.0,0.0,5.0,1.0,6.0,7.0,5.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,57,DOMINICAN REPUBLIC,473.0,20.0,2.0,495.0,612.0,8.0,138.0,237.0,0.0,375.0,206.0,32.0,6.0,0.0,0.0,6.0,7.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,58,ECUADOR,76.0,86.0,0.0,162.0,79.0,72.0,395.0,67.0,78.0,540.0,395.0,66.0,2.0,39.0,0.0,41.0,17.0,39.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,59,EL SALVADOR,224.0,131.0,0.0,355.0,318.0,131.0,19.0,512.0,0.0,531.0,21.0,512.0,9.0,19.0,0.0,28.0,58.0,19.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,60,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,61,GUATEMALA,989.0,206.0,0.0,1195.0,1216.0,160.0,11.0,311.0,0.0,322.0,11.0,30.0,28.0,2.0,0.0,30.0,22.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,62,HONDURAS,230.0,16.0,31.0,277.0,328.0,8.0,29.0,104.0,0.0,133.0,29.0,50.0,2.0,0.0,0.0,2.0,4.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,63,MEXICO,2690.0,6484.0,866.0,10040.0,2296.0,175.0,6145.0,25447.0,228.0,31820.0,6932.0,1693.0,955.0,6105.0,535.0,7595.0,1037.0,274.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,64,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,65,PERU,1696.0,121.0,89.0,1906.0,1792.0,6.0,143.0,1230.0,18.0,1391.0,154.0,916.0,144.0,20.0,25.0,189.0,90.0,17.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,66,URUGUAY,260.0,31.0,2.0,293.0,278.0,6.0,53.0,853.0,108.0,1014.0,89.0,612.0,3.0,16.0,1.0,20.0,6.0,6.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,67,VENEZUELA,11.0,14.0,0.0,25.0,19.0,1.0,116.0,368.0,5.0,489.0,2255.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,country_data,68,OTHER LAT. AM. & CAR.,318.0,111.0,4.0,433.0,452.0,45.0,36.0,917.0,103.0,1056.0,51.0,342.0,10872.0,3.0,736.0,11611.0,13534.0,4.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,subtotal,69,Total,35672.0,14146.0,2848.0,52666.0,26072.0,918.0,20601.0,46578.0,565.0,67744.0,26984.0,6173.0,17016.0,7930.0,3403.0,28349.0,19404.0,1509.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Latin America and Caribbean,empty,70,,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Asia and Pacific,region_header,71,Asia and Pacific,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Asia and Pacific,country_data,72,CHINA-MAINLAND,21376.0,7084.0,1770.0,30230.0,21426.0,1883.0,6446.0,12440.0,1284.0,20170.0,6681.0,560.0,9273.0,3980.0,196.0,13449.0,8442.0,1196.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Asia and Pacific,country_data,73,INDIA,19089.0,2794.0,274.0,22157.0,11998.0,164.0,3185.0,17711.0,57.0,20953.0,3203.0,136.0,4910.0,1633.0,241.0,6784.0,4715.0,754.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Asia and Pacific,country_data,74,INDONESIA,955.0,433.0,89.0,1477.0,1083.0,638.0,1705.0,3262.0,42.0,5009.0,1720.0,1618.0,350.0,340.0,15.0,705.0,404.0,106.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,Asia and Pacific,country_data,75,"KOREA, SOUTH",5884.0,2186.0,1050.0,9120.0,5416.0,832.0,12249.0,19140.0,1358.0,32747.0,11628.0,1319.0,5647.0,1803.0,1448.0,8898.0,5506.0,675.0
