year_month,lc_usd
2022-01-01,272.09017544928963
2022-02-01,442.96556554606013
2022-03-01,315.5676799336809
2022-04-01,594.970769295473
2022-05-01,677.6151351930192
2022-06-01,464.838679976182
2022-07-01,400.9812335011632
2022-08-01,459.43078789817156
2022-09-01,484.58965972333044
2022-10-01,476.0541541355582
2022-11-01,461.7452643777486
2022-12-01,410.85180100508796
2023-01-01,383.2978226638349
2023-02-01,419.64089084570975
2023-03-01,483.3352265697148
2023-04-01,480.0583628542028
2023-05-01,504.6329280789272
2023-06-01,522.3653656952906
2023-07-01,542.7640204681545
2023-08-01,516.5889629078038
2023-09-01,491.48906665285597
2023-10-01,516.6250844494114
2023-11-01,530.9642381425919
2023-12-01,532.3418959244685
2024-01-01,549.7060281437683
2024-02-01,508.2868549292228
2024-03-01,500.42715379841667
2024-04-01,447.4035405049194
2024-05-01,476.052590898525
2024-06-01,451.9726096385208
2024-07-01,455.35220310141403
2024-08-01,466.1129027133544
2024-09-01,474.0802259340769
2024-10-01,487.1762676491448
2024-11-01,504.3294910149727
2024-12-01,518.709990108692
2025-01-01,483.4664174929625
2025-02-01,441.0927819627279
2025-03-01,491.42815549162833
2025-04-01,523.690726715818
2025-05-01,456.92379228839025
2025-06-01,403.29532367621516
2025-07-01,413.8532780273074
2025-08-01,421.2580021354046
