period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,37,OTHER NON G-10 DEV.,364.0,0.0,0.0,0.0,0.0,364.0,67.0,23.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,subtotal,38,Total,23140.0,18285.0,1052.0,17233.0,2031.0,43456.0,19023.0,1357.0,3821.0,3799.0,1848.0,1828.0,124.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,empty,39,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,region_header,40,Eastern Europe,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,41,BULGARIA,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,49.0,49.0,49.0,49.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,42,CZECH REPUBLIC,62.0,5861.0,274.0,5587.0,0.0,5923.0,615.0,58.0,50.0,50.0,30.0,30.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,43,HUNGARY,456.0,24.0,0.0,24.0,0.0,480.0,0.0,0.0,577.0,577.0,230.0,230.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,44,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,45,POLAND,329.0,8594.0,4076.0,4518.0,0.0,8923.0,1053.0,63.0,605.0,605.0,103.0,103.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,46,ROMANIA,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,47,RUSSIA,559.0,38.0,1.0,37.0,0.0,597.0,26.0,46.0,6423.0,6429.0,1273.0,1279.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,48,TURKEY,755.0,2.0,2.0,0.0,0.0,757.0,36.0,36.0,2885.0,2885.0,746.0,746.0,186.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,country_data,49,OTHER E. EUROPE,178.0,2.0,2.0,0.0,0.0,180.0,36.0,3.0,268.0,273.0,136.0,141.0,4.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,subtotal,50,Total,2348.0,14521.0,4355.0,10166.0,0.0,16869.0,1773.0,206.0,10862.0,10873.0,2572.0,2583.0,191.0
2015Q3,2015,Q3,Table 1,1,All Others,Eastern Europe,empty,51,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,region_header,52,Latin America and Caribbean,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,53,ANGUILLA,32.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,54,ARGENTINA,232.0,733.0,77.0,656.0,13.0,978.0,326.0,65.0,0.0,0.0,0.0,0.0,4.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,55,BRAZIL,13631.0,166.0,7.0,159.0,32.0,13829.0,2396.0,193.0,13203.0,13099.0,3647.0,3543.0,536.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,56,CHILE,1768.0,88.0,0.0,88.0,199.0,2055.0,204.0,12.0,791.0,768.0,287.0,263.0,8.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,57,COLOMBIA,1497.0,3.0,2.0,1.0,15.0,1515.0,460.0,33.0,2891.0,2938.0,685.0,732.0,3.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,58,COSTA RICA,174.0,0.0,0.0,0.0,0.0,174.0,32.0,21.0,0.0,0.0,0.0,0.0,29.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,59,DOMINICAN REPUBLIC,224.0,0.0,0.0,0.0,0.0,224.0,10.0,5.0,0.0,0.0,0.0,0.0,30.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,60,ECUADOR,212.0,26.0,0.0,26.0,0.0,238.0,4.0,20.0,0.0,0.0,0.0,0.0,16.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,61,EL SALVADOR,115.0,0.0,0.0,0.0,0.0,115.0,2.0,4.0,0.0,0.0,0.0,0.0,29.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,62,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,63,GUATEMALA,382.0,0.0,0.0,0.0,0.0,382.0,3.0,0.0,0.0,1.0,0.0,1.0,138.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,64,HONDURAS,58.0,0.0,0.0,0.0,0.0,58.0,10.0,5.0,0.0,0.0,0.0,0.0,14.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,65,MEXICO,8800.0,8175.0,4229.0,3946.0,11.0,16986.0,2943.0,808.0,9221.0,9131.0,2075.0,1985.0,256.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,66,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,67,PERU,581.0,0.0,0.0,0.0,2.0,583.0,76.0,3.0,1560.0,1592.0,534.0,566.0,48.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,68,URUGUAY,48.0,567.0,369.0,198.0,5.0,620.0,30.0,17.0,0.0,0.0,0.0,0.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,69,VENEZUELA,848.0,0.0,0.0,0.0,0.0,848.0,35.0,24.0,1611.0,1535.0,396.0,320.0,4.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,country_data,70,OTHER LAT. AM. & CAR.,1207.0,528.0,301.0,227.0,11.0,1746.0,278.0,192.0,7.0,7.0,7.0,7.0,64.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,subtotal,71,Total,29809.0,10286.0,4985.0,5301.0,288.0,40383.0,6810.0,1402.0,29284.0,29071.0,7631.0,7417.0,1181.0
2015Q3,2015,Q3,Table 1,1,All Others,Latin America and Caribbean,empty,72,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,region_header,73,Asia and Pacific,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,74,CHINA-MAINLAND,3625.0,1615.0,174.0,1441.0,2.0,5242.0,878.0,137.0,2318.0,2318.0,928.0,928.0,1062.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,75,INDIA,734.0,1100.0,16.0,1084.0,0.0,1834.0,463.0,86.0,888.0,1070.0,888.0,1070.0,97.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,76,INDONESIA,260.0,1.0,1.0,0.0,0.0,261.0,264.0,0.0,1650.0,1650.0,441.0,441.0,111.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,77,"KOREA, SOUTH",3990.0,9.0,1.0,8.0,3.0,4002.0,711.0,58.0,824.0,825.0,237.0,238.0,54.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,78,KUWAIT,406.0,0.0,0.0,0.0,0.0,406.0,7.0,5.0,0.0,0.0,0.0,0.0,12.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,79,MALAYSIA,537.0,53.0,24.0,29.0,1.0,591.0,0.0,6.0,400.0,400.0,137.0,137.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,80,PAKISTAN,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,81,PHILIPPINES,297.0,44.0,17.0,27.0,0.0,341.0,15.0,50.0,683.0,683.0,204.0,204.0,2.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,82,QATAR,457.0,0.0,0.0,0.0,0.0,457.0,588.0,6.0,82.0,82.0,46.0,46.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,83,SAUDI ARABIA,1061.0,16.0,16.0,0.0,49.0,1126.0,480.0,7.0,0.0,0.0,0.0,0.0,32.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,84,TAIWAN,691.0,177.0,1.0,176.0,0.0,868.0,381.0,38.0,0.0,0.0,0.0,0.0,33.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,85,THAILAND,39.0,219.0,0.0,219.0,0.0,258.0,369.0,22.0,44.0,44.0,24.0,24.0,4.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,86,UNITED ARAB EMIRATES,918.0,0.0,0.0,0.0,2.0,920.0,260.0,13.0,201.0,201.0,157.0,157.0,68.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,87,WEST BANK AND GAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
