date,foreign_funding_usd_millions,foreign_ma3
2022-01-01,111.16070657471263,NA
2022-02-01,456.88943950574713,369.1168589318008
2022-03-01,539.3004307149425,584.4897958796935
2022-04-01,757.2795174183908,465.50445149961683
2022-05-01,99.93340636551724,484.47233559386973
2022-06-01,596.2040829977012,423.42052301685817
2022-07-01,574.1240796873562,574.6979611854405
2022-08-01,553.7657208712643,410.13553073716463
2022-09-01,102.51679165287356,262.51860867356316
2022-10-01,131.27331349655174,211.642012429885
2022-11-01,401.1359321402299,253.80690182758613
2022-12-01,229.01145984597701,246.84684129130866
2023-01-01,110.3931318877193,195.55410934748934
2023-02-01,247.25773630877194,192.60396072826506
2023-03-01,220.1610139883041,288.9170702354775
2023-04-01,399.3324604093567,265.36105155789465
2023-05-01,176.5896802760234,286.1321272296296
2023-06-01,282.4742410035088,238.88800721715393
2023-07-01,257.6001003719298,212.8192098947368
2023-08-01,98.38328830877194,204.26371955711497
2023-09-01,256.80776999064324,161.6252382424951
2023-10-01,129.68465642807018,298.35519983079917
2023-11-01,508.5731730736842,331.8976364499025
2023-12-01,357.43507984795326,597.5182640222037
2024-01-01,926.5465391449736,809.0146381327392
2024-02-01,1143.062295405291,977.0311237763667
2024-03-01,861.484536778836,965.7971559555554
2024-04-01,892.8446356825397,939.3541347005289
2024-05-01,1063.7332316402117,878.5435265735447
2024-06-01,679.0527123978835,883.8384712768957
2024-07-01,908.7294697925926,638.9301899167546
2024-08-01,329.0083875597884,468.5199828007053
2024-09-01,167.82209104973546,307.66392341093456
2024-10-01,426.1612916232804,299.49835042186925
2024-11-01,304.51166859259257,277.70465539329786
2024-12-01,102.44100596402117,NA
