date,BANCO DE CHILE,BANCO DE CRÉDITO E INVERSIONES,BANCO DEL ESTADO DE CHILE,BANCO SANTANDER-CHILE,ITAÚ CORPBANCA
2022-01-01,1533.4979961218392,1176.8716989172415,1426.6271650873564,3418.2074237390807,1710.7320559850577
2022-02-01,1493.7463382011495,1113.8481436034483,1395.8973351988507,3620.6653315609196,1838.139265270115
2022-03-01,1521.6572076712641,1182.4184719931036,1497.6034895965518,3362.34215094023,1868.8051679839082
2022-04-01,1920.0063705701148,1398.6021309333335,1734.8578052482756,3825.0581499333334,2162.5785312103444
2022-05-01,1855.3532221885057,1371.9293114954023,1883.2445098482758,3733.6025769563216,1822.2064899183908
2022-06-01,2181.3606381850573,1794.3483872908046,1820.0552350896553,4375.63503284138,2355.3140025103453
2022-07-01,2105.5785954482762,1856.8498670862068,1801.7126699885061,4612.760405997701,2524.204698334483
2022-08-01,2050.403138313793,1946.782779486207,1875.3215044908045,4645.124764449425,2581.8072352666663
2022-09-01,2221.8112438850576,2028.5101356287355,1929.9165541609195,5411.969934354022,2653.1641313724135
2022-10-01,2460.8767083011494,1953.6289988827587,1753.951976605747,5219.697269740231,2383.2589042724135
2022-11-01,2300.4914035563215,1898.39411204023,1738.2526369402296,4815.415403497701,2345.560531465517
2022-12-01,2362.1631214804597,1766.8736890126438,1961.4827873781608,4567.614421227586,2263.24709769885
2023-01-01,2408.7020456690057,1706.2509582105265,2294.4983519251464,4792.418940890059,2118.076382423392
2023-02-01,2473.1414813345027,2082.818474982456,2523.892693702924,5036.549290755555,2411.274709235088
2023-03-01,2596.1383306409357,1901.1623594070177,2457.3827424269007,5134.749710092397,2159.7235290982453
2023-04-01,2483.804511477193,2100.44818534269,2576.4189233099414,4993.368825257309,2446.142027264327
2023-05-01,2497.096782927485,2140.759945181286,2718.7198317836255,5191.186050808187,2388.439137177778
2023-06-01,2430.37761768655,2305.0448428865498,2356.884866557895,4975.600482509942,2216.2897181403505
2023-07-01,2651.2084111157897,2297.6253117695906,2312.1003213216372,4816.085932893568,2467.5868381532164
2023-08-01,2778.347900414035,2475.332448125146,2502.420291560234,5002.6838995672515,2387.461777540351
2023-09-01,2580.7937481345034,2508.7205084748534,2332.3158994935675,5137.968828421053,2501.4772416877195
2023-10-01,2667.746228251462,2545.50294774269,2307.336717964912,4965.36834874152,2417.710461362573
2023-11-01,2613.3301545017544,3138.689798757895,2337.793280500585,5087.522087318129,2479.4624171555556
2023-12-01,2567.501102087719,2947.361947705264,2196.5887466549707,4920.564502933334,2295.2139089555553
2024-01-01,2402.369704214815,2986.322017115344,2234.014034531217,4347.3085358,2428.9816853862426
2024-02-01,2502.3407181693124,3290.5163496412697,2163.4593109047623,4324.349261893121,2795.3836670455025
2024-03-01,2472.6076773756613,3372.526134962963,2161.0197244677247,4582.557727484657,2476.56871655873
2024-04-01,2432.8892475005296,3316.205168904761,2370.8732516634923,4377.841796603174,2451.2043542349206
2024-05-01,2377.9589850412694,3199.7243905142855,2553.5960734783066,4174.756666485714,2425.583571451852
2024-06-01,2476.3802125481484,3305.9474483671956,2674.389127598942,4085.0266013005285,2497.8292257978833
2024-07-01,2555.8076102899468,3207.4961692719576,2594.3497466338627,4059.929903637037,2495.8562032201057
2024-08-01,2464.4128789703705,3016.1197346931217,2501.973895491005,3843.7630258264558,2284.7380608285716
2024-09-01,2543.953678871958,2627.2048407894185,2621.6081211037035,3665.7046933851852,2170.593766414815
2024-10-01,2506.033030993651,2702.4188618730163,2620.756450606349,3795.2205521999995,2622.2157067597886
2024-11-01,2446.919172666667,2840.3072898126984,2838.1771963449733,3806.595023913228,2796.7503287216937
2024-12-01,2571.538112342857,3004.322964250794,2819.009942731217,3900.7624074687833,2859.6843312095243
