date,BANCO BICE,BANCO DE CRÉDITO E INVERSIONES,BANCO DEL ESTADO DE CHILE,BANCO SANTANDER-CHILE,ITAÚ CORPBANCA
2022-01-01,58.88513150689655,89.04162879425289,49.572725404597705,300.62443822183906,573.9842098275863
2022-02-01,56.95862407931035,79.3168589816092,42.16881294942528,326.0699540816092,561.912207337931
2022-03-01,59.093198972413795,43.746383317241374,40.584960413793105,335.5825313816093,579.1418153655173
2022-04-01,91.85119318160918,39.87480057011494,34.24152140919541,340.7373744747126,631.9083686494253
2022-05-01,109.36430402183908,34.27075547241379,47.653164248275864,295.6237987770115,600.5243363126438
2022-06-01,81.37521607586207,124.93202285977011,40.10335547701149,312.8462227333333,690.9013778586207
2022-07-01,81.56135576206897,118.90136044022988,60.74047711609195,343.6768851758621,689.5507469321839
2022-08-01,106.0453887770115,70.80451814597701,38.887406000000006,354.79175820919545,697.269461054023
2022-09-01,116.54715085632185,51.043784341379315,26.306162547126437,433.31542285977014,746.0196433402298
2022-10-01,115.84297893563219,88.4378685448276,33.8370080091954,405.3440734252874,771.157792345977
2022-11-01,101.92525252068967,51.32441848390805,33.77603632183908,381.81669269885055,734.7696842172414
2022-12-01,56.986444435632194,46.99180492758621,25.795173877011496,354.8423942137931,716.2028044942529
2023-01-01,47.383797072514625,32.2070522877193,22.491402153216377,329.7605413040936,668.3874961976609
2023-02-01,23.844624919298244,24.91598450643275,14.313173702923978,335.64199338947367,690.1715884666667
2023-03-01,49.226264159064336,26.829500935672513,13.88935750994152,322.48954107602344,639.3962909286549
2023-04-01,30.652974395321635,21.623467141520468,14.568951390643274,324.57527405146203,637.0751300923977
2023-05-01,18.64155965263158,23.97180360116959,21.32317274269006,332.71722532280705,632.6619818690059
2023-06-01,29.948174120467836,36.619663320467836,31.945824378947368,322.9564741637427,584.2731348280702
2023-07-01,41.93458125964912,58.484213518128655,29.598678256140353,318.971001748538,600.211981560234
2023-08-01,60.189026392982456,62.65902684093567,33.884992083040935,326.56310638830405,622.6386685964912
2023-09-01,68.17459741520467,77.06016586666667,35.340332335672514,350.02148609707604,679.9906867929825
2023-10-01,55.97018412631579,74.43388180467836,33.91556652397661,366.78998632748534,682.5779736479532
2023-11-01,52.246869,55.06501229005848,28.835739738011696,361.1308872269006,675.1613442432749
2023-12-01,50.258913134502926,59.44637890760234,20.799698272514622,360.2717131637427,667.1987122678362
2024-01-01,52.3235108021164,34.41791195661375,16.061487293121694,365.81403202116405,648.8529705174603
2024-02-01,43.73583154603175,39.36651442328042,16.882810016931217,252.08711794603173,698.4619202179895
2024-03-01,45.03975147407407,51.98221388783069,23.305374634920636,260.185189978836,678.9144148179894
2024-04-01,28.859866989417988,67.29350398941799,22.8338795005291,236.8153692253968,656.2032330391535
2024-05-01,39.7149626042328,60.31062443280423,22.936653625396826,203.80967267724864,585.5622310222224
2024-06-01,61.17634206455027,59.64272907089947,27.099620701587302,215.49698609629627,573.3510964063491
2024-07-01,72.23064826243386,52.067320606349206,41.137503427513224,247.76491903280422,574.6344140158731
2024-08-01,46.26264705185186,41.722661480423284,51.692643671957676,263.92520706560845,557.0535904931216
2024-09-01,30.082095191534393,31.964663227513228,39.821613972486766,291.14979051957675,551.5190974613756
2024-10-01,49.005268841269846,69.58338906560846,48.24155613439154,298.8353450201058,609.1409304708994
2024-11-01,92.8991277904762,77.19443171322752,39.548323166137564,303.7780137343915,639.6196521788361
2024-12-01,101.1032426994709,82.82800476084655,40.490783045502646,287.25200726031744,657.6005105714286
