year,tf_usd_millions,imports_usd_millions,tf_pct_imports
2022,355718.2499158451,119179.23,298.47335808080413
2023,426971.79833444406,100597.98,424.43376928089816
2024,424951.843355077,97639.094,435.22714718663514
