date,cr5_pct,cr5_ma6
2012-01-01,75.12319825881127,NA
2012-02-01,75.59544776570701,NA
2012-03-01,74.4302350042132,74.98605539741051
2012-04-01,74.52267936818394,74.86679811140927
2012-05-01,74.93088179476254,74.60373101507987
2012-06-01,75.31389019278508,74.62671391875857
2012-07-01,74.40765454280384,74.66149856187471
2012-08-01,74.01704518773067,74.62903590050821
2012-09-01,74.56813242628537,74.55457931091591
2012-10-01,74.73138722688074,74.65598421420756
2012-11-01,74.73610582656356,74.95171523869557
2012-12-01,74.86715065523131,75.26404670254395
2013-01-01,75.01608396255371,75.61158955056703
2013-02-01,75.7914313346587,76.08035525826806
2013-03-01,76.44212120937564,76.62163409439722
2013-04-01,76.81664431501925,77.18426426532379
2013-05-01,77.54870007276968,77.53490863852225
2013-06-01,78.11482367200637,77.8644685968079
2013-07-01,78.39186498811313,78.14061886722486
2013-08-01,77.89529757384945,78.21675138802767
2013-09-01,78.41948095908955,78.16133712751923
2013-10-01,78.47354593752098,78.055679553659715
2013-11-01,78.00549519758658,78.12237657891818
2013-12-01,77.78233810895576,78.21765581159177
2014-01-01,77.75791954495602,78.3659375335031
2014-02-01,78.29547972540024,78.63826339195082
2014-03-01,78.9911563551311,78.73096850400351
2014-04-01,79.36323626898901,78.83478425026074
2014-05-01,79.6394503482728,78.75894104460043
2014-06-01,78.33856878127199,78.62946041201026
2014-07-01,78.38081402249941,78.46530602740785
2014-08-01,77.84042049143842,78.48052253799246
2014-09-01,78.21427255959003,78.61463276861913
2014-10-01,78.37830996137451,78.75790937182228
2014-11-01,79.7307494117805,79.02293288867749
2014-12-01,79.14323016503204,79.30640954115957
2015-01-01,79.24047364171824,79.57350375739794
2015-02-01,79.43056159256973,79.65670928793837
2015-03-01,79.91513247448253,80.01658652465896
2015-04-01,79.98087525880479,80.3205909626007
2015-05-01,80.22998259502306,80.6326533152387
2015-06-01,81.30249358535555,80.96574859786352
2015-07-01,81.06450026936872,81.33336785425473
2015-08-01,81.30293570839764,81.69911222944064
2015-09-01,81.91370417023151,81.92541454156157
2015-10-01,82.18659079715202,82.16045200305224
2015-11-01,82.4244488461385,82.36154023335614
2015-12-01,82.66030745808112,82.47111469151345
2016-01-01,82.47472503831274,82.53143116887652
2016-02-01,82.50946509022098,82.49417102700097
2016-03-01,82.57115091917547,82.98418442224438
2016-04-01,82.54848966133048,83.4628728454391
2016-05-01,82.20088799488516,83.91010051618635
2016-06-01,85.60038782954157,84.41402301664253
2016-07-01,85.34685557748098,84.94331404807326
2016-08-01,85.19283111470449,85.39759208010524
2016-09-01,85.59468592191264,85.34798155189696
2016-10-01,85.72423584991485,85.29166597050603
2016-11-01,84.92655618707703,85.2593097566905
2016-12-01,85.3027246602919,85.1930454002673
2017-01-01,85.0089620891354,84.87153106164601
2017-02-01,84.99869383181128,84.64549224028447
2017-03-01,85.19709978337345,84.23482702514669
2017-04-01,83.79514981818717,83.86151296788425
2017-05-01,83.57032325890783,83.55240817523094
2017-06-01,82.83873336946519,83.27034454681332
2017-07-01,82.769077745560793,83.29037773662986
2017-08-01,83.14406507589136,83.4171769660971
2017-09-01,83.50471801286771,83.48058140222874
2017-10-01,83.91534895708644,83.59236331914221
2017-11-01,84.33111863571123,83.42942112704135
2017-12-01,83.21915998625498,83.03398583672306
2018-01-01,83.43976924704165,82.48363217707914
2018-02-01,82.1664119232862,81.73699879775039
2018-03-01,81.13210627095803,81.16206959956672
2018-04-01,80.61322699922286,80.6148599005085
2018-05-01,79.8513183597387,80.24037225267308
2018-06-01,79.76958479715303,80.06917718896271
2018-07-01,80.15651105269238,79.86199805010877
2018-08-01,79.9194860362736,79.68677232620963
2018-09-01,80.10493588869582,79.54284519786249
2018-10-01,79.37015216609923,79.47309125451591
2018-11-01,78.79996401634392,79.44930985414551
2018-12-01,78.90602202707011,79.24324930301587
2019-01-01,79.7379873926129,79.12967534399692
2019-02-01,79.77679763405125,79.02453475521152
2019-03-01,78.86857258191795,78.70360695856554
2019-04-01,78.68870841198556,78.25029558661498
2019-05-01,78.16912048363149,77.67147164305872
2019-06-01,76.98045524719433,77.2706631449483
2019-07-01,77.01811916090949,76.9749714319497
2019-08-01,76.30385397271367,76.8325180001191
2019-09-01,76.46372159325541,76.94251464658079
2019-10-01,76.91455813399395,77.07179284496702
2019-11-01,77.31439989264793,77.29800015700128
2019-12-01,77.64043512596453,77.54429463814319
2020-01-01,77.79378835122685,77.68910270034446
2020-02-01,77.66109784491925,77.77007887592573
2020-03-01,77.94148848010687,77.75640925350443
2020-04-01,77.78340650720166,77.84167885602082
2020-05-01,77.80025694613549,78.00496649231648
2020-06-01,77.55841739143669,78.10725398871995
2020-07-01,78.30540596632522,78.24806831105299
2020-08-01,78.64082366269328,78.44671434220156
2020-09-01,78.55521345852759,78.68572414058
2020-10-01,78.62829244119992,78.7739353711925
2020-11-01,78.99213313302688,78.86015108198897
2020-12-01,78.99247618170737,78.64453629585319
2021-01-01,78.83467335000017,78.21886362029953
2021-02-01,79.15811792747213,77.58887081111433
2021-03-01,77.26152474171288,77.16309658101818
2021-04-01,76.07425638787798,76.91996141890517
2021-05-01,75.21217627791573,76.62843548673038
2021-06-01,76.43783080113047,76.71935545705044
2021-07-01,77.37586237732216,76.99387041997585
2021-08-01,77.40896233442335,77.50871907965802
2021-09-01,77.80704456363324,77.74901168180786
2021-10-01,77.72134616543038,77.81032280972686
2021-11-01,78.30126823600878,77.83525882038292
2021-12-01,77.87958641402945,77.50896756549453
2022-01-01,77.7437291448362,76.994663642417
2022-02-01,77.55857839835973,76.29912185957268
2022-03-01,75.84929703430294,75.90450325494041
2022-04-01,74.6355226269651,75.43724711319446
2022-05-01,74.12801753894287,75.06191046467772
2022-06-01,75.51187478623586,74.98371238408915
2022-07-01,74.94019229436051,75.13626833640774
2022-08-01,75.30655850725928,75.29081238732483
2022-09-01,75.38010855077151,75.20283061450198
2022-10-01,75.55085834087666,75.18914778637206
2022-11-01,75.0552818444454,75.0638104135822
2022-12-01,74.98398414929878,74.94724445174931
2023-01-01,74.85809532558106,74.83045794049167
2023-02-01,74.55453427052016,74.8653486394462
2023-03-01,74.68071277977418,74.98897542936602
2023-04-01,74.85013927333078,75.04911823929754
2023-05-01,75.26462603817252,75.08856348283854
2023-06-01,75.72574488881774,74.94709358074483
2023-07-01,75.21895218517021,74.64490265962128
2023-08-01,74.79120573176617,74.31365092197184
2023-09-01,73.83189336721199,73.98560748027477
2023-10-01,73.03699374658947,73.72702945590608
2023-11-01,73.27711561227588,73.38333065395784
2023-12-01,73.75748423863523,73.2063240257627
2024-01-01,73.66748403895814,73.07297680216666
2024-02-01,72.72901292007671,72.71538953916118
2024-03-01,72.7698535980411,72.4014453672704
2024-04-01,72.2369104050133,72.21191158088506
2024-05-01,71.13159203424296,72.39537795700006
2024-06-01,71.87381920729057,72.48211336522972
2024-07-01,72.53028132064611,72.67241656828452
2024-08-01,73.8298111767667,73.00617141488782
2024-09-01,73.29026604741907,73.26699077320978
2024-10-01,73.37872962334208,NA
2024-11-01,73.13412111386278,NA
2024-12-01,73.43873535722236,NA
