date,Large,Medium,Micro,Small
2012-01-01,21870.892367382232,10444.066140169962,3093.5088584382256,1266.5678387256896
2012-02-01,22901.42780360211,10486.395347167667,3190.095633896043,1462.0917250567318
2012-03-01,23507.10746330862,10456.450903410037,3372.3588732211506,1514.23740332089
2012-04-01,24815.010033313116,10412.3813870485,3570.8662044897465,1515.7279618816476
2012-05-01,24309.970435144613,10156.994470783013,3611.5822063417404,1656.621334425648
2012-06-01,23377.362135260206,9777.96541170668,3538.0750895405063,1685.4143314800067
2012-07-01,25834.599771560286,10548.36686274685,3882.323381894831,1757.2837514039898
2012-08-01,26290.93932329652,10806.913048256074,4020.125339418836,1717.6112897408145
2012-09-01,26257.698506865592,10595.709052700366,4293.6206741208425,1681.946856123303
2012-10-01,26495.578042736302,11636.391473900609,3608.1953128643518,2296.752555485141
2012-11-01,24499.652308664623,12147.694514615252,3506.5835415139845,1964.6239982730235
2012-12-01,24307.154292171344,11126.953157487846,3400.6463769087827,1789.819389892358
2013-01-01,25452.36588592735,11210.500362279412,3277.1030079631523,1811.7197366086896
2013-02-01,28436.775776102364,12368.229404170423,4156.892576249141,1651.635554728141
2013-03-01,28644.361759588777,12732.950938736918,4277.921656363666,1650.7229393523585
2013-04-01,29402.183939510338,12776.195958732691,4286.527144270277,1879.8262586129752
2013-05-01,29920.924597125144,12798.61908146274,4484.065661169354,1878.8692252737721
2013-06-01,31340.64518772771,11138.025268280127,2050.775135098681,1644.4293393359792
2013-07-01,30137.42638390429,10654.42762056193,2597.1457225276145,1666.9719315665877
2013-08-01,26603.87013878152,11648.66298634478,3829.5732569082165,1606.161610175969
2013-09-01,27352.51505003745,11716.85991858231,3734.6722029384564,1919.2368803735872
2013-10-01,28485.076492280612,11554.37397965865,4019.278992338866,1771.962696405987
2013-11-01,26277.913319099178,11346.012921964006,3870.829692553742,1717.1273686653215
2013-12-01,27584.510375416558,11274.057947589235,2416.200828027407,1616.225879459005
2014-01-01,27030.183232076655,11145.654373004774,2356.655123645609,1748.8760036110107
2014-02-01,28454.931902336895,10809.75305631344,2481.8937357674276,1765.6815372310755
