date,BA,GO,MG,MT,PA,PR,RJ,RS,SC,SP
2012-01-01,1850.9267357997198,437.79885157410735,4195.296360419761,1342.3603183932605,1105.0310222949627,1873.1650997365032,3641.762126797215,2635.350359863033,1384.0897877881348,15205.88546151121
2012-02-01,1773.9406765388376,494.2385229642361,4745.736006300076,1383.9333036318253,1200.5400260921494,1916.259551025233,3659.57239020281,2791.140719437779,1361.8062329967324,15643.807607980885
2012-03-01,1954.8901504485427,598.0648753440686,4703.657173254585,1541.9776631860484,1131.3763629966004,2005.7314212793228,3899.774307159967,2841.0853670028423,1585.1824940268557,15466.013131782493
2012-04-01,2285.1489179899954,608.4795426984317,4818.464249888769,1676.5159308066718,1160.7542512100745,2219.8619756879552,3983.1045229192755,2987.1677917512698,1534.558736755249,15969.176736787633
2012-05-01,2178.2368226229064,608.8492615944704,4575.0825764662395,1612.396254199435,1074.2338340705533,2149.32030163404,3760.0922026195367,3072.6733086664244,1690.4320547843095,16187.827189367707
2012-06-01,1806.9416252214962,616.4529645801707,4219.837156147948,1652.8363248119433,1061.3799807036123,2257.1628467369915,3648.111053198084,2970.703550769564,1501.6839993947008,15808.765461707433
2012-07-01,2163.331472055814,677.9975885610035,4693.163992219508,1765.420810664892,1220.40985873826,2220.9062590340955,4021.1225220323945,3273.541511914802,1881.5729380469895,17059.277233794335
2012-08-01,2184.338943034652,711.7196563497323,4926.747145093435,1738.1281410049469,1268.5929573185008,2159.3432176758924,4200.9330798845685,3231.9999443383363,2257.8199050799353,17088.13719269147
2012-09-01,1843.6973354278673,676.7664876004927,4850.004033440197,1712.2203527348959,1382.001822332923,2137.0098960542537,4215.725448019731,3175.6328219926054,2231.9623566017267,17463.442201736103
2012-10-01,1903.7792344533677,701.3826227798802,5017.280344624356,1717.3913686220055,1406.6146550356234,2230.9494808212958,4339.716231021614,3293.8116507069994,2214.9019279725558,18027.64154658151
2012-11-01,2161.238213371258,692.54367125501,4560.044951385814,1705.3207254661509,1340.3763539191991,2257.2823039674518,3747.5269823553203,3086.758700340319,1581.5312986293022,17826.154423351458
2012-12-01,2150.5487119735785,640.8209303643291,4195.5038094105685,1582.7930421713431,1233.988645072308,2200.3079641736144,3599.8147302141347,2926.650047197239,1446.6085578893153,17492.183882016525
2013-01-01,2166.0615207904348,623.3289500890679,3915.297685987087,1739.6282786015324,1165.725794185307,2260.4636164063936,3719.321158417461,2949.8957106088847,1440.1672502027855,18475.503899187235
2013-02-01,2646.2881050582014,601.9677075326031,4473.463432744728,1704.4606709863456,1186.6537340204536,2583.4243005041853,4073.9252467863494,3432.244489430108,1719.8093054872609,20703.142818234912
2013-03-01,2434.2800573332597,592.980685355678,4796.199529534326,1644.1549653982568,1122.9757777497505,2633.168330434303,4197.854358493046,3614.3061963052496,1750.2999492854171,20920.14879919994
2013-04-01,2718.571435083971,618.9506932792842,5023.684424329752,1547.600795590798,1175.743829310283,2808.5718005857225,5790.671367988717,3644.124988839107,1714.191284177111,19869.749243227576
2013-05-01,2710.4875515357617,564.8442713468787,5146.051274149361,1511.2597133807922,1168.2036916982884,2817.3737429501643,6428.392787633085,3654.1789496265756,1616.3558115822566,20016.827336318227
2013-06-01,2341.5878251867202,559.7917235145865,4842.654261506419,1381.9008012520867,1084.7197833615273,2790.437341200299,5759.361874317283,3675.96366060648,1505.8917163473152,19000.223846817422
2013-07-01,2247.1427286447047,551.5755014854142,4611.698689793438,1353.3211863413876,1042.665617222896,2690.33923806195,5725.999310251866,3584.208945922408,1465.4033963192667,18707.970287631542
2013-08-01,2205.01742570769,583.3816526641032,4240.7781386533525,1367.4430623100918,1054.3197696570082,2618.8648482252465,5367.363749478455,3343.447857601338,1445.2309321210555,18460.651763434747
2013-09-01,2276.118336499404,602.061290946738,4498.76830596943,1301.2925752720384,1136.9636755936385,2689.212375465882,5509.777882250319,3318.13199826424,1344.8111948103444,19055.876659434318
2013-10-01,2252.466754709772,599.9912371158522,4506.1038873027555,1341.9778315235849,1208.050265898009,2684.9932067903164,5662.413118629903,3351.7888484989235,1401.7115166058313,19759.670204976395
2013-11-01,2168.2177009120974,561.4654800650194,4160.020274566286,1251.3022026792055,1196.2460987488619,2620.974273428886,5429.828573501662,3206.8565585324486,1340.6245214820174,18289.963874119177
2013-12-01,2208.5116786872763,519.4326192074419,4166.061847678033,1296.596434890413,1276.6924242322154,2662.668409535401,5327.020382504385,3138.1501916018924,1366.1912228480835,18067.717941593164
2014-01-01,2221.0811411800023,533.5036587805283,4137.921210998466,1250.515677570378,1255.358473546202,2707.6926740580384,5296.366034791662,2982.9749123637216,1346.1805340852072,17752.157849185718
2014-02-01,2226.449596314028,580.5529121183001,4499.687713061611,1190.3503492692255,1288.782053871235,2751.424180203013,5279.35520878775,2928.73293440869,1336.0540593599062,18608.932851272926
2014-03-01,2238.6003844084807,655.4108415541635,4748.246834772816,1122.2934708051416,1333.800040666611,2817.880925789997,5611.164249899482,2926.815560226961,1328.087965306312,19697.490934325826
2014-04-01,2282.724719544839,666.1308888416007,5266.648385771723,1179.8086183072562,1389.2247664452832,2935.437916261048,5918.46322087202,3273.0110161479274,1359.8426924367498,20745.39123518095
2014-05-01,2431.110754120761,690.38672704491,5200.948345628328,1142.3367047819627,1390.741975849003,2904.8003464020994,6019.8484709457925,3518.104687321109,1343.6429271610223,21828.5933755007
2014-06-01,2598.062578837153,664.8241862622268,5310.164179308778,1155.8190198849143,1316.8937314999594,2815.444427592782,2749.477959053365,3586.941925127301,1387.023053828876,22562.31904371634
2014-07-01,3042.565170483926,672.4321018542087,5251.683616191754,1172.5531787590235,1249.1264106110466,2979.3873287944093,2737.433349305898,3640.701540866051,1408.2086127385414,22858.957141817846
2014-08-01,3015.6112551423994,601.2909803724403,4880.463808780359,1149.8606152444365,1240.9679651181243,2912.9851202686395,2684.6043515857637,3595.2608805278596,1388.2358916020985,21547.903888694847
2014-09-01,2440.2641927833806,546.1216022647615,5264.853866305353,1159.5779400065592,1089.0728983794654,2913.148416592524,2642.359643096488,3408.277571290445,1399.7418295212153,21381.820618744452
2014-10-01,2284.2996665649366,611.837791193405,5170.4042322225905,1179.5454460474843,1092.9189201611512,2936.0493087921727,2614.9905233483814,3213.48562351209,1565.1607655364767,21823.609868673662
2014-11-01,2241.4109694512376,574.8860710279345,4920.72604021619,1190.7192336589828,1017.0727421273058,2859.6454284009687,5480.592470607167,2980.0911192630274,1514.243202109327,21354.357533231545
2014-12-01,2271.6810588668222,614.4919743998643,4641.944291490322,1125.5325038238,1036.5865391914913,2764.4632261355455,5301.377763823277,2809.3464010685434,1529.1740904925698,20246.164251111153
2015-01-01,2586.5458955756326,628.293619938951,4533.373465026643,1102.1491094573664,1002.2500784509831,2793.387963729755,6658.458880217679,2625.8974358819537,1419.8374564240316,19634.077576528725
2015-02-01,2492.4828404429372,615.3517095473145,4258.692271457994,1064.576454278814,756.5733020176228,2757.0893618029986,6326.132176828998,2455.169205359397,1392.0027020614446,18457.588192485437
2015-03-01,2102.877999983434,667.925598378904,3992.4228794844234,985.6690241437666,555.4569239380871,2636.0232702850426,5807.990708342253,2389.614241776642,1302.6646801549864,17243.189522104218
2015-04-01,2272.698335493221,757.6740856472848,4011.9219607867612,985.95681063697225,599.5351213750102,2764.637829882053,6168.768779854037,2505.1184374555287,1440.656048885903,18588.876081121554
2015-05-01,2253.124354747924,824.0691500273593,4048.681244334098,979.9033954411443,508.10379512099496,2827.1228259157315,5909.429927868474,2608.539045387649,1491.5294751974402,19189.602905325715
2015-06-01,2067.221994854592,782.1047256361369,3948.3596009963003,1025.8373534677494,502.2742567670081,2778.4606183360115,6574.130998314439,2636.249019717634,1309.5800543244168,19533.699348020167
2015-07-01,2269.5672511915395,736.26586647547,3914.0372855436513,1043.4273413604121,436.02879498241856,2717.5725014856466,6495.977400596864,2638.749846315403,1255.8639572581478,19286.62126613763
2015-08-01,2097.253767424321,696.9520430230853,3729.3474342764544,882.5122130349962,404.6700572929644,2498.6561245697208,6332.109520496231,2403.160923902046,1163.5774494172097,17759.024313627102
2015-09-01,1581.4357846183007,604.9980444594079,3366.5308108458935,933.2637366615376,321.4715254531076,2298.5079601311872,6044.269625806175,2120.7531808152476,1072.5679007709023,16078.944964214847
2015-10-01,1602.9946455204986,574.4749156271226,3386.7133307393597,874.9155199799972,360.6978639568708,2175.8923065648855,6469.907819031036,2093.7579521021357,1042.0271861281271,15996.344501331989
