period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,region_header,8,G-10 and Luxembourg,,,,,,,,,,,,,,
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,9,BELGIUM,5180.0,397.0,5577.0,637.0,5.0,642.0,1060.0,7279.0,3908.0,398.0,4306.0,20.0,3.0,23.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,10,CANADA,9198.0,468.0,9666.0,12029.0,2565.0,14594.0,2121.0,26381.0,10622.0,380.0,11002.0,5292.0,7.0,5299.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,11,FRANCE,25045.0,857.0,25902.0,1998.0,605.0,2603.0,2212.0,30717.0,27061.0,856.0,27917.0,129.0,15.0,144.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,12,GERMANY,25991.0,374.0,26365.0,889.0,104.0,993.0,6235.0,33593.0,26920.0,98.0,27018.0,175.0,9.0,184.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,13,ITALY,8222.0,195.0,8417.0,1533.0,669.0,2202.0,1983.0,12602.0,8515.0,185.0,8700.0,179.0,39.0,218.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,14,JAPAN,20594.0,190.0,20784.0,10684.0,270.0,10954.0,1420.0,33158.0,20067.0,193.0,20260.0,1863.0,0.0,1863.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,15,LUXEMBOURG,9874.0,356.0,10230.0,44.0,0.0,44.0,1929.0,12203.0,14126.0,46.0,14172.0,9.0,0.0,9.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,16,NETHERLANDS,17897.0,82.0,17979.0,43.0,174.0,217.0,2915.0,21111.0,28674.0,68.0,28742.0,10.0,0.0,10.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,17,SWEDEN,4708.0,23.0,4731.0,6.0,0.0,6.0,151.0,4888.0,5177.0,27.0,5204.0,0.0,0.0,0.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,18,SWITZERLAND,14555.0,610.0,15165.0,2753.0,3595.0,6348.0,1861.0,23374.0,15235.0,606.0,15841.0,2701.0,3130.0,5831.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,19,UNITED KINGDOM,12514.0,5003.0,17517.0,43085.0,11696.0,54781.0,7996.0,80294.0,12018.0,4922.0,16940.0,9541.0,879.0,10420.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,subtotal,20,Total,153778.0,8555.0,162333.0,73701.0,19683.0,93384.0,29883.0,285600.0,172323.0,7779.0,180102.0,19919.0,4082.0,24001.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,G-10 and Luxembourg,empty,21,,,,,,,,,,,,,,,
2016Q1,2016,Q1,Table 4.2,4.2,LFI,Non G-10 Developed Countries,region_header,22,Non G-10 Developed Countries,,,,,,,,,,,,,,
2016Q1,2016,Q1,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,23,AUSTRALIA,6577.0,170.0,6747.0,8364.0,10239.0,18603.0,837.0,26187.0,7008.0,182.0,7190.0,2214.0,0.0,2214.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,24,AUSTRIA,2267.0,3.0,2270.0,0.0,0.0,0.0,52.0,2322.0,3194.0,3.0,3197.0,0.0,0.0,0.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,25,CYPRUS,427.0,6.0,433.0,0.0,0.0,0.0,83.0,516.0,1064.0,6.0,1070.0,0.0,0.0,0.0
2016Q1,2016,Q1,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,26,DENMARK,2854.0,9.0,2863.0,2.0,0.0,2.0,763.0,3628.0,2643.0,6.0,2649.0,0.0,0.0,0.0
