data_base,MG,PR,RJ,RS,SP
2012-01-31,7505.4439229399995,3351.1185877400003,6515.16342951,4714.6786887,27203.541973040003
2012-02-29,8152.02599071,3291.67017385,6286.259749849999,4794.504299939999,26872.27566907
2012-03-31,8441.653528840001,3599.68618177,6998.9249490600005,5098.89590816,27756.853767610002
2012-04-30,8934.51687375,4116.12357187,7385.57198401,5538.881198659999,29610.44673477
2012-05-31,9083.30489616,4267.23043638,7465.23441779,6100.442569600001,32139.08547219
2012-06-30,8644.63180297,4623.9560929399995,7473.410860250001,6085.694173,32385.362661889998
2012-07-31,9518.44055082,4504.33102926,8155.43964306,6639.23321739,34598.77312172
2012-08-31,9995.704846530001,4381.01587733,8523.12609312,6557.2915670699995,34669.523465449995
2012-09-30,9833.383177799999,4332.78756425,8547.38334586,6438.595546590001,35407.129064019995
2012-10-31,10181.476692299999,4527.22562434,8806.508032720001,6684.07269417,36583.16849293
2012-11-30,9426.50212328,4666.242692350001,7746.86904029,6380.9321515500005,36850.13729318
2012-12-31,8715.068333059999,4570.5677155,7477.679150190001,6079.35454404,36335.46404708
2013-01-31,7949.9218995500005,4589.8193824499995,7551.99606778,5989.69539279,37514.08573071
2013-02-28,8824.70289758,5096.264282269999,8036.542707979999,6770.71319492,40840.63436839
2013-03-31,9507.36244141,5219.6505863699995,8321.28075921,7164.53074375,41469.383360190004
2013-04-30,10055.56750164,5621.7271903500005,11590.79311165,7294.19718966,39771.92591722
2013-05-31,10468.44228731,5731.290431949999,13077.06731092,7433.57564932,40719.57129497
2013-06-30,10520.06105134,6061.87631909,12511.493751720001,7985.57155721,41275.611279230005
2013-07-31,10383.520913690001,6057.462905189999,12892.43673299,8070.06507849,42122.13628879
2013-08-31,9930.18488558,6132.32083428,12568.19211896,7829.00078612,43227.369866
2013-09-30,10211.754177719999,6104.243171069999,12506.64481492,7531.827822859999,43254.93442925
2013-10-31,9859.61215334,5874.918181069999,12389.68266111,7333.90505248,43235.28470969
2013-11-30,9546.04012425,6014.37587498,12459.8819259,7358.80581343,41970.163001580004
2013-12-31,9768.840116270001,6243.58997212,12491.12766816,7358.52913458,42366.30522796
2014-01-31,9854.89384572,6448.654411,12613.85183029,7104.26796616,42278.62789441
2014-02-28,10723.160792120001,6556.891449600001,12581.17860451,6979.43416866,44346.76178854
2014-03-31,11042.024273030001,6552.968003520001,13048.73440732,6806.29495123,45806.41668032
2014-04-30,11756.080860510001,6552.411130730001,13211.045640049999,7305.93336497,46307.34368039
2014-05-31,11547.56679378,6449.47301791,13365.75518292,7811.180993270001,48465.61112835
2014-06-30,11867.47351777,6292.12413345,6144.6983115699995,8016.31303079,50423.62433804
2014-07-31,11679.85989945,6626.22296576,6088.1119923900005,8097.00032232,50838.82358046
2014-08-31,11066.08077116,6604.972373340001,6087.13633729,8151.9808067700005,48858.23442692
2014-09-30,12278.981753959999,6794.20496034,6162.65648941,7948.97240703,49867.85804717
2014-10-31,12655.30372617,7186.40053832,6400.56324954,7865.46559199,53416.40592979
2014-11-30,12536.681354440001,7285.6044473,13963.069855140002,7592.46754728,54405.13731814
2014-12-31,12248.86551195,7294.68863548,13988.936355,7413.12348497,53424.28247132
