data_base,MG,PR,RJ,RS,SP
2015-01-31,11939.17849159,7356.7196156499995,17535.84381766,6915.61337919,51708.679753020006
2015-02-28,11991.79178697,7763.51975145,17813.369702670003,6913.36120005,51973.59667834
2015-03-31,12531.67244919,8274.11854626,18230.49294675,7500.6741174,54124.02683611
2015-04-30,12206.65369828,8411.67323801,18769.06504574,7622.06083221,56558.42142004
2015-05-31,12393.31694,8654.03500434,18089.208216450003,7984.93365836,58740.81371342
2015-06-30,12283.83631529,8644.13551276,20452.936728,8201.697595220001,60771.760850410006
2015-07-31,12613.020379,8757.40184419,20933.34563722,8503.3951285,62151.31060972
2015-08-31,13103.789433079999,8779.515531620002,22249.10156162,8443.97452251,62399.79493567
2015-09-30,13149.029706309999,8977.53537576,23607.768747169997,8283.25898116,62801.30403068
2015-10-31,13138.77130017,8441.38508278,25100.039733470003,8122.74444397,62057.89847464
2015-11-30,12550.22705407,8447.80010371,23746.09877934,8011.75896838,64699.964980360004
2015-12-31,12701.17397547,8499.93085383,24736.45791429,8388.642092779999,66236.41741741
2016-01-31,13213.92278691,8463.463068559999,25350.92702207,8097.34903089,66353.714965
2016-02-29,13142.78500707,8290.44000236,25330.9673537,7847.56477135,65213.92191822
2016-03-31,12778.90528422,8012.74484397,24938.40286119,7638.61830943,65070.32386568
2016-04-30,12829.2554159,7831.13388786,25337.08707842,8107.10525476,63679.194713590005
2016-05-31,13293.40265815,7782.41914142,25048.465027849998,8918.16552877,66271.0865585
2016-06-30,17417.57513752,7746.2755013000005,38842.76277155,9746.30988863,73909.96757426
2016-07-31,17490.60396186,7549.854902149999,38833.39378885,9720.349731479999,72775.79829918
2016-08-31,17092.74594773,7711.25228678,38854.13969294,9370.99192359,72353.28353885001
2016-09-30,16267.78469492,7472.62148409,37449.92037111,9202.41998192,71971.22751016999
2016-10-31,16566.44124863,7392.1770576300005,37263.16751324,8939.36231835,71005.26989933
2016-11-30,16799.73440492,7385.56898311,33101.53205185,9009.77237488,70255.5621575
2016-12-31,14666.94209146,7339.71310792,32827.66685442,8633.528177709999,70143.23885336
2017-01-31,14032.584247629999,7102.769211729999,32896.53401597,7871.83319307,68551.46378155
2017-02-28,14175.544850539998,7198.442474560001,33077.133677,7824.16313295,69569.46706766
2017-03-31,14302.4324434,7736.05863599,34187.35514072,7698.814754069999,71617.01901798
2017-04-30,14473.60773047,7688.5722288199995,34145.8939935,7758.856361890001,70853.20877861
2017-05-31,14640.27456102,7704.935833529999,31786.95348906,8066.3764019499995,70619.07038322999
2017-06-30,13571.922189469999,7761.80998013,30119.65802956,8293.51719859,71213.51351230001
2017-07-31,13240.84574154,7827.68026767,30119.882655830002,8326.56828484,70820.10883693001
2017-08-31,14473.59336396,8028.03789046,32020.778263449996,8310.71053821,70962.3990772
2017-09-30,14634.882736290001,8275.290637439999,32346.37347179,8572.96320546,72509.17086489999
2017-10-31,15302.71630421,8283.162438970001,31629.81852288,8563.15171337,71731.34210175999
2017-11-30,15299.43077279,8261.55150375,31252.235450279997,8727.857992539999,70233.57972159
2017-12-31,14981.684119450001,8511.34928084,26204.46619561,8790.669332649999,70108.6939506
2018-01-31,15503.65035693,8328.16801051,26242.231786899996,8468.96113827,71200.33970261
2018-02-28,15511.56522711,8606.341056289999,25958.373291689997,8662.86390304,71749.56794847
2018-03-31,15275.31128434,9040.757249459999,26140.44341448,8974.88519907,74335.88920016
2018-04-30,15563.74283973,9825.74947096,25886.162653179996,9655.991924959999,75815.67625139
2018-05-31,15183.26164561,10545.38454167,26327.64364037,10171.3517808,77722.51930332
2018-06-30,15439.24968666,10505.46343247,26271.991991130002,10722.94723116,79191.97368215
2018-07-31,15650.10563485,9994.23800174,26428.918004029998,10923.452356329999,79401.79792276
2018-08-31,15827.292544,11294.39622986,25856.68919579,10881.817161030001,82862.0124228
2018-09-30,15861.48120625,11800.62500367,26078.17025646,10792.778645870001,82586.01083355
2018-10-31,16147.268921840001,11129.649826530002,25601.414412070004,10576.44359823,80702.22240791
2018-11-30,15867.843405860001,10745.747183739999,24927.671226430004,10769.75413473,79299.45197474
2018-12-31,15311.44479945,10387.17873156,24261.89851155,11158.50933673,79936.62070484
2019-01-31,14882.392178979999,10258.97351736,25499.758927889998,10496.32093967,82023.06983686
2019-02-28,14692.38563447,10433.63823671,28384.72122821,10383.89229116,82469.56489539999
2019-03-31,14655.563684719998,10802.91116558,23674.033352709997,10321.524089620001,82628.7904555
2019-04-30,14469.98086555,11291.71573627,23584.848669919997,10582.30056166,82299.26228144001
2019-05-31,14002.914052479999,12028.53470524,22922.83429043,11002.5056348,83793.48586252
2019-06-30,14076.35181309,12395.22799464,16145.28716847,11158.13342387,82897.56016164
2019-07-31,14202.745018020001,12080.338056690001,15246.709630039999,11108.807960299999,81620.15869741
2019-08-31,14484.77812406,12114.098151940001,15027.28253625,11434.944020870002,82622.34570563001
2019-09-30,14914.08951255,12107.823089790001,14610.71125278,11746.14229491,83791.43878159
2019-10-31,14576.18026619,11612.25924571,14289.59940503,11269.401242049998,83656.58830845
2019-11-30,14310.07947045,11753.170212559999,13945.213408959999,11434.24446437,85339.51342421
2019-12-31,14880.176080529998,11386.548487889999,15342.91767089,12047.4002731,82899.76918524
2020-01-31,13705.12900574,11517.08781027,15380.86673034,11999.949625629999,84811.1351291
2020-02-29,14151.79912698,12088.48878499,15831.13261547,12344.98704145,85519.51349015
2020-03-31,16505.57675819,17147.612723629998,23296.96186572,13953.92119203,99590.81111374001
2020-04-30,18735.94575845,18223.7075598,25961.37236137,14672.10659299,100986.76649803
2020-05-31,18825.1977438,17612.68533123,26105.67156544,14885.84264957,101400.31607006
2020-06-30,17605.14689664,16667.51766902,25237.932046849997,14601.858661389999,97576.13467547
2020-07-31,18099.807843029997,16165.50980625,24629.72603793,14070.51942479,92397.64346878999
2020-08-31,19166.90361723,15830.55078401,24372.863538870002,13733.37030931,91591.26968735001
2020-09-30,19042.20736016,14849.60197281,24087.25045806,13112.548323879999,86642.25144718
2020-10-31,18091.60533751,14845.36107126,23962.640585279998,12806.602378709998,85884.88045813
2020-11-30,17668.191931740002,13996.800182280002,23200.50297466,12370.6067778,84320.50706527001
2020-12-31,16900.866436959997,14280.97849777,22356.85877802,11905.82046866,80312.60066530999
2021-01-31,16342.13445533,14569.87343404,22568.18004734,11858.98103792,82526.19594783
2021-02-28,16309.68895335,15210.57433123,22345.26654823,11651.57903942,87035.00121903
2021-03-31,17735.60156531,16477.527661469998,18472.31679382,12857.76794617,91398.7177571
2021-04-30,17646.852600150003,16300.80858784,19098.750876539998,13270.94919192,93202.17610087
2021-05-31,17377.01034348,16101.43647413,19281.399948,14162.894852520001,94092.34039289999
2021-06-30,17705.46900717,16710.56776946,14698.744126349999,15035.63160431,92266.70184727
2021-07-31,19181.250466909998,16749.5740039,14409.704185049999,15516.29032606,92709.29963999
2021-08-31,20483.22341681,16971.78079134,15156.45374284,15472.706942159999,89508.23498683001
2021-09-30,22087.52013993,17628.797902420003,11056.19927294,16185.42606592,92777.01249888001
2021-10-31,23281.78850812,18002.69516197,11154.168889280001,16449.24909204,94386.82226374
2021-11-30,24420.41955979,17915.67014453,11115.419206969998,16400.136528130002,95694.48285877
2021-12-31,23747.84735191,19139.81457855,11000.60337676,16671.547260940002,95140.0225194
2022-01-31,24755.39656004,18243.09392265,11712.04143067,16410.22504533,98015.53232541001
2022-02-28,25441.18852322,18422.560265430002,13232.68293121,16693.221396700003,101552.68989861
2022-03-31,25015.3158777,19073.27401794,13345.668509120002,17305.02392893,101933.42804904
2022-04-30,25346.22862996,20224.40309901,15913.35124898,18615.878651709998,103019.77770667999
2022-05-31,25384.92936572,19918.94776489,16606.43573676,19569.48165663,101361.28897504
2022-06-30,25772.42523516,21079.48475779,16793.9915099,20322.81649272,101949.35124770999
2022-07-31,25312.16012298,21114.679668470002,16322.395226690001,20951.49030685,99603.53383001
2022-08-31,26063.966972759998,21566.30101011,15872.422279289998,21356.213338920003,96751.43606912
2022-09-30,26777.14836905,21540.893234220002,15094.852121889999,21892.42702187,93527.26401411
2022-10-31,25826.03872136,21601.81749565,14630.96288217,22025.784862290002,92933.57190029
2022-11-30,25580.059213779998,21158.51351263,15725.170250059999,21981.267056,90893.64135198
2022-12-31,25067.06389918,20919.56838161,16998.59292544,21552.83512936,86432.36030459
2023-01-31,23703.869384970003,20567.34285317,17147.63921175,20574.63725966,83728.03573121001
2023-02-28,23910.169664459998,20558.19569195,16533.96922194,20562.83659748,87351.42756383
2023-03-31,24006.56837826,23259.99163122,15492.717564479999,21130.430581549997,89942.69674880001
2023-04-30,24344.08452661,22119.77896682,16330.58257615,21335.71912638,92359.996089
2023-05-31,24226.39075037,23577.33062601,17668.82971251,21518.12911383,94261.53375172
2023-06-30,23839.22859055,23350.44482281,17739.35686553,21336.068144650002,97238.50099593
2023-07-31,23519.34102934,22292.882555170003,15220.22011102,21267.02486575,97129.63637368
2023-08-31,23137.94633128,21499.10321282,13540.44103624,20270.31983523,95622.41827833
2023-09-30,22782.7908712,19253.59999168,14353.87972333,19517.23354411,90922.29535171001
2023-10-31,21789.955082170003,17937.47092381,14524.37637108,19067.22026836,87584.89681553
2023-11-30,21399.31748079,16701.57532036,15902.647675260001,18284.51348113,86827.80979075999
2023-12-31,21154.11591928,16470.94135723,19778.25133143,17606.61018508,86769.61457827
2024-01-31,21332.72260045,16430.46329175,20799.56661987,17162.88236791,86775.65466094
2024-02-29,21197.91810993,16412.24509403,21360.78178355,17507.97262529,85471.20268475999
2024-03-31,21864.4437406,17321.94375356,21156.99021153,19254.136280669998,85326.67369760001
2024-04-30,23684.80327526,17841.29559707,21251.07733468,19753.777073259997,87970.03786735001
2024-05-31,23662.202248169997,17823.18631921,21852.875617,19228.86958809,89570.38054618001
2024-06-30,25185.183787939997,18504.38427964,26315.73375983,19410.65701801,91906.10752241
2024-07-31,26194.22995309,18829.73938799,27672.70880107,19401.62996523,94252.13039918
2024-08-31,26113.25651495,18349.33950341,29866.688944940004,19140.55375409,97651.49496717
2024-09-30,25874.57358623,17386.73828772,29330.20833338,18409.78374057,98652.34867205999
2024-10-31,25745.134382610002,17697.44417456,30161.744994459998,18477.92343297,101544.82655518
2024-11-30,25777.19256005,17683.22875216,30137.65829654,18653.8514491,100146.50015135
2024-12-31,26845.76890938,17727.81083529,34049.36948658,18365.27081565,98265.32851386
