uf,records,carteira_ativa_total
SP,237339,11366495.802899731
RJ,31412,3059537.08783978
MG,72587,2553747.38312564
RS,126829,1845905.9458726798
PR,89927,1837923.1805898
MT,20078,1393373.67528145
SC,97991,1117255.36452598
BA,22083,824144.27756108
GO,19695,538614.73665823
PA,12838,497718.65430434997
