data_base,carteira_ativa
2012-01-31,65.61215143173
2012-02-29,65.34353237316
2012-03-31,69.72437253826
2012-04-30,74.75119992456
2012-05-31,78.88964714171
2012-06-30,78.62169307611
2012-07-31,85.22808298677
2012-08-31,86.90762727792999
2012-09-30,86.83574699459
2012-10-31,89.36332378483999
2012-11-30,87.06726498655999
2012-12-31,84.38698846816
2013-01-31,84.77584421099
2013-02-28,91.95349166537
2013-03-31,93.77317996526
2013-04-30,96.768365207
2013-05-31,99.84686642305
2013-06-30,100.30697155202
2013-07-31,101.44626860352001
2013-08-31,102.30022988922
2013-09-30,101.51738246948
2013-10-31,100.28016679702999
2013-11-30,99.15874073258
2013-12-31,100.57346438919001
2014-01-31,100.69751917978
2014-02-28,103.69363223544
2014-03-31,105.39969555719999
2014-04-30,107.26983762117
2014-05-31,110.04544447880001
2014-06-30,105.62387674282
2014-07-31,107.18010483977001
2014-08-31,104.72571602017
2014-09-30,106.18608463644999
2014-10-31,111.66882659111
2014-11-30,120.13302424591001
2014-12-31,119.23937936566
2015-01-31,120.46373610626
2015-02-28,121.56619111379
2015-03-31,125.95985488462
2015-04-30,129.49079876802
2015-05-31,131.94856100983
2015-06-30,135.73306566031
2015-07-31,139.34394614570002
2015-08-31,141.41700417420998
2015-09-30,142.61215266045002
2015-10-31,142.18966610193
2015-11-30,142.50122570442002
2015-12-31,145.85310164122
2016-01-31,147.29285464971
2016-02-29,145.22658572768
2016-03-31,143.43871176075
2016-04-30,142.68435053598
2016-05-31,147.5817863698
2016-06-30,172.50259562761
2016-07-31,171.50016798291998
2016-08-31,170.65099432385998
2016-09-30,166.32337920147
2016-10-31,164.6750380888
2016-11-30,160.78854024348
2016-12-31,156.63167808175
2017-01-31,153.46050727353
2017-02-28,155.11385558888
2017-03-31,159.09189436823002
2017-04-30,161.0118716728
2017-05-31,158.92915749208
2017-06-30,158.09080557275
2017-07-31,157.46833157604001
2017-08-31,160.92010778058
2017-09-30,163.27063207958
2017-10-31,161.4843920276
2017-11-30,158.63023947165
2017-12-31,154.52795113576002
2018-01-31,155.49342018323
2018-02-28,158.81028314639
2018-03-31,164.87589500113
2018-04-30,169.63385319079
2018-05-31,176.10451503213
2018-06-30,178.19517549312
2018-07-31,177.72836423171
2018-08-31,183.58752643489998
2018-09-30,183.74296100257
2018-10-31,181.76150697539998
2018-11-30,179.70879770469
2018-12-31,178.80042796651
2019-01-31,179.53866166181
2019-02-28,183.46713158047
2019-03-31,180.15138108472001
2019-04-30,180.74779848995001
2019-05-31,183.89649730749
2019-06-30,177.54189699559
2019-07-31,174.32100501176998
2019-08-31,178.15524236759
2019-09-30,179.81302286908
2019-10-31,176.93556003733
2019-11-30,178.76311276728
2019-12-31,176.93047685042
2020-01-31,178.0187155944
2020-02-29,181.7815473039
2020-03-31,221.89110721106
2020-04-30,233.81158860875
2020-05-31,234.43906004322
2020-06-30,226.80996174832
2020-07-31,216.3660016204
2020-08-31,214.95672692812
2020-09-30,207.05856076976002
2020-10-31,204.80884326609
2020-11-30,197.72734824997
2020-12-31,190.07620027835
2021-01-31,194.1304847315
2021-02-28,197.7950155501
2021-03-31,203.13077207385
2021-04-30,211.22390872138
2021-05-31,214.08113683091
2021-06-30,204.63311519332999
2021-07-31,204.92969480413
2021-08-31,203.58417827531
2021-09-30,207.58886201054
2021-10-31,212.18169075072
2021-11-30,211.99153433859
2021-12-31,214.34257608615
2022-01-31,217.77956140116
2022-02-28,226.60695688197
2022-03-31,233.32629483646
2022-04-30,245.35185511005
2022-05-31,246.65583887089002
2022-06-30,246.21037389098
2022-07-31,244.64636591634
2022-08-31,241.16138523671
2022-09-30,238.52698654628
2022-10-31,236.39452786810998
2022-11-30,234.36901348854002
2022-12-31,228.00925101521
2023-01-31,221.38089904637
2023-02-28,226.56784110105
2023-03-31,232.76746891385997
2023-04-30,235.79135990711998
2023-05-31,240.81992231319
2023-06-30,242.32656897452
2023-07-31,238.54241480691002
2023-08-31,233.12759063139998
2023-09-30,225.95898855292998
2023-10-31,220.30468562168
2023-11-30,217.14264053488998
2023-12-31,219.33982027894
2024-01-31,220.58753826177
2024-02-29,222.67608729343
2024-03-31,226.63806443112
2024-04-30,236.03029281245
2024-05-31,241.99868074903
2024-06-30,252.27832382871
2024-07-31,256.92777570065
2024-08-31,258.86742853367
2024-09-30,258.7705883033
2024-10-31,263.87357008452
2024-11-30,263.07615143095
2024-12-31,265.87270002813
