period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Non G-10 Developed Countries,country_data,34,SLOVAKIA,163.0,1.0,164.0,200.0,0.0,200.0,8.0,372.0,272.0,1.0,273.0,61.0,0.0,61.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Non G-10 Developed Countries,country_data,35,SPAIN,13946.0,341.0,14287.0,1489.0,371.0,1860.0,1046.0,17193.0,12280.0,309.0,12589.0,167.0,0.0,167.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Non G-10 Developed Countries,country_data,36,OTHER NON G-10 DEV.,392.0,220.0,612.0,0.0,0.0,0.0,17.0,629.0,425.0,122.0,547.0,0.0,0.0,0.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Non G-10 Developed Countries,subtotal,37,Total,49995.0,1763.0,51758.0,19431.0,13170.0,32601.0,2867.0,87226.0,49596.0,1506.0,51102.0,3001.0,0.0,3001.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Non G-10 Developed Countries,empty,38,,,,,,,,,,,,,,,
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,region_header,39,Eastern Europe,,,,,,,,,,,,,,
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,40,BULGARIA,18.0,3.0,21.0,45.0,0.0,45.0,2.0,68.0,41.0,4.0,45.0,34.0,0.0,34.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,41,CZECH REPUBLIC,300.0,36.0,336.0,778.0,0.0,778.0,83.0,1197.0,325.0,36.0,361.0,376.0,0.0,376.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,42,HUNGARY,210.0,11.0,221.0,454.0,0.0,454.0,8.0,683.0,159.0,10.0,169.0,207.0,0.0,207.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,43,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,44,POLAND,892.0,81.0,973.0,2845.0,1979.0,4824.0,57.0,5854.0,907.0,80.0,987.0,557.0,0.0,557.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,45,ROMANIA,85.0,3.0,88.0,393.0,0.0,393.0,4.0,485.0,121.0,3.0,124.0,190.0,0.0,190.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,46,RUSSIA,3710.0,51.0,3761.0,1268.0,863.0,2131.0,134.0,6026.0,3444.0,64.0,3508.0,403.0,0.0,403.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,47,TURKEY,3600.0,85.0,3685.0,1045.0,0.0,1045.0,143.0,4873.0,3220.0,80.0,3300.0,307.0,0.0,307.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,country_data,48,OTHER E. EUROPE,446.0,13.0,459.0,106.0,2.0,108.0,3.0,570.0,650.0,8.0,658.0,6.0,0.0,6.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,subtotal,49,Total,9261.0,283.0,9544.0,6934.0,2844.0,9778.0,434.0,19756.0,8867.0,285.0,9152.0,2080.0,0.0,2080.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Eastern Europe,empty,50,,,,,,,,,,,,,,,
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,region_header,51,Latin America and Caribbean,,,,,,,,,,,,,,
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,52,ANGUILLA,65.0,0.0,65.0,0.0,0.0,0.0,1.0,66.0,70.0,0.0,70.0,0.0,0.0,0.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,53,ARGENTINA,1476.0,320.0,1796.0,1411.0,341.0,1752.0,40.0,3588.0,1900.0,400.0,2300.0,454.0,59.0,513.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,54,BRAZIL,21402.0,1357.0,22759.0,4165.0,83.0,4248.0,766.0,27773.0,17573.0,1523.0,19096.0,676.0,2.0,678.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,55,CHILE,2507.0,95.0,2602.0,82.0,1.0,83.0,307.0,2992.0,2639.0,137.0,2776.0,0.0,0.0,0.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,56,COLOMBIA,1554.0,233.0,1787.0,778.0,1458.0,2236.0,57.0,4080.0,1769.0,215.0,1984.0,2.0,0.0,2.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,57,COSTA RICA,288.0,19.0,307.0,31.0,2.0,33.0,15.0,355.0,347.0,44.0,391.0,10.0,0.0,10.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,58,DOMINICAN REPUBLIC,210.0,84.0,294.0,76.0,1.0,77.0,0.0,371.0,387.0,154.0,541.0,1.0,0.0,1.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,59,ECUADOR,226.0,153.0,379.0,287.0,2.0,289.0,0.0,668.0,518.0,147.0,665.0,61.0,0.0,61.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,60,EL SALVADOR,131.0,30.0,161.0,21.0,0.0,21.0,0.0,182.0,222.0,63.0,285.0,3.0,0.0,3.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,61,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,62,GUATEMALA,612.0,160.0,772.0,4.0,1.0,5.0,15.0,792.0,634.0,206.0,840.0,3.0,0.0,3.0
