period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,31,NORWAY,4242.0,0.0,65.0,4307.0,3871.0,1.0,11365.0,56.0,152.0,11573.0,11146.0,0.0,1951.0,2.0,171.0,2124.0,1919.0,2.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,32,PORTUGAL,1621.0,1.0,4.0,1626.0,1619.0,0.0,1620.0,45.0,6.0,1671.0,1602.0,0.0,114.0,0.0,5.0,119.0,116.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,33,SLOVAKIA,209.0,5.0,0.0,214.0,207.0,0.0,1169.0,0.0,58.0,1227.0,1169.0,0.0,163.0,12.0,0.0,175.0,163.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,34,SPAIN,13554.0,184.0,1920.0,15658.0,13325.0,3.0,20442.0,341.0,365.0,21148.0,19733.0,0.0,5727.0,20.0,198.0,5945.0,5743.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,423.0,1.0,82.0,506.0,900.0,0.0,31414.0,0.0,268.0,31682.0,31414.0,0.0,394.0,1.0,4.0,399.0,474.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,39,BULGARIA,47.0,0.0,4.0,51.0,54.0,0.0,72.0,290.0,0.0,362.0,72.0,9.0,72.0,0.0,0.0,72.0,72.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,40,CZECH REPUBLIC,3575.0,36.0,47.0,3658.0,3634.0,0.0,3869.0,3040.0,11.0,6920.0,3863.0,0.0,123.0,12.0,0.0,135.0,123.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,41,HUNGARY,1428.0,45.0,50.0,1523.0,1568.0,6.0,3032.0,1510.0,28.0,4570.0,3027.0,0.0,145.0,16.0,8.0,169.0,145.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,43,POLAND,1015.0,509.0,44.0,1568.0,1158.0,525.0,584.0,7762.0,0.0,8346.0,441.0,362.0,627.0,313.0,290.0,1230.0,626.0,14.0
