period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,10,BELGIUM,25409.0,9544.0,665.0,8879.0,922.0,35875.0,6368.0,343.0,18147.0,19028.0,6234.0,7114.0,160.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,11,CANADA,145384.0,79879.0,14683.0,65196.0,7247.0,232510.0,74139.0,15134.0,31657.0,32550.0,13533.0,14435.0,447.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,12,FRANCE,255645.0,34544.0,2628.0,31916.0,18000.0,308189.0,325988.0,4886.0,289648.0,297292.0,91935.0,99535.0,545.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,13,GERMANY,164976.0,277945.0,1822.0,276123.0,32641.0,475562.0,75123.0,3821.0,220254.0,229042.0,69572.0,78360.0,769.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,14,ITALY,62578.0,8437.0,559.0,7878.0,5140.0,76155.0,9335.0,784.0,170748.0,174187.0,43952.0,47391.0,450.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,15,JAPAN,139622.0,386240.0,30924.0,355316.0,13357.0,539219.0,66813.0,6678.0,86311.0,91086.0,32831.0,37606.0,295.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,16,LUXEMBOURG,82958.0,10480.0,1472.0,9008.0,6351.0,99789.0,36586.0,3919.0,31581.0,33604.0,12261.0,14276.0,1159.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,17,NETHERLANDS,51959.0,9700.0,240.0,9460.0,9992.0,71651.0,34388.0,3245.0,157862.0,163471.0,51718.0,57328.0,654.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,18,SWEDEN,24003.0,649.0,10.0,639.0,1010.0,25662.0,9561.0,417.0,31840.0,33044.0,11230.0,12433.0,110.0
2023Q2,2023,Q2,Table 1,1,All Banks,G-10 and Luxembourg,country_data,19,SWITZERLAND,77948.0,34912.0,7169.0,27743.0,5199.0,118059.0,19903.0,4882.0,80941.0,82517.0,27648.0,29224.0,492.0
