country,Reporting country,usd_billions,share_pct
Brazil,Brazil,3664.1984079999997,47.700996547373634
Brazil,Spain,2017.204817,26.26022646617079
Brazil,United States,954.7,12.428404887778557
Brazil,United Kingdom,376.17400000000004,4.897080528181849
Brazil,France,266.127,3.4644748167695028
Brazil,Japan,181.5485,2.3634212472702054
Brazil,Germany,77.28,1.0060407769220978
Brazil,Switzerland,32.127296,0.4182371872185069
Brazil,Netherlands,31.743852,0.41324546491433867
Brazil,Portugal,19.344371000000002,0.25182745897915765
Brazil,Australia,18.453463000000003,0.24022950638487567
Brazil,Korea,18.30934,0.23835329501204508
Brazil,India,11.170492,0.14541887228625877
Brazil,Chile,8.72649,0.11360254631732555
Brazil,Panama,5.697914000000001,0.07417616236277562
Brazil,Canada,3.9979359999999997,0.0520456345694206
Brazil,Austria,2.095352,0.027277556340647928
Brazil,Chinese Taipei,0.375,0.004881797248263286
Brazil,Denmark,0.069273,0.0009018046420771802
Brazil,Ireland,0.04822,0.0006277340354966817
Brazil,Belgium,0.042,0.0005467612918054881
Brazil,Greece,0.0016480000000000002,2.1453871640367722e-05
Brazil,Türkiye,0.000696,9.060615692776659e-06
Brazil,Sweden,-7.838883,-0.10204756655695427
Chile,Chile,812.019193,42.5329105453135
Chile,Spain,522.272455,27.356210050562524
Chile,Brazil,183.362958,9.604403882529997
Chile,United States,128.174,6.713650764945667
Chile,France,77.012,4.033826460202503
Chile,Japan,73.82267,3.866771926567256
Chile,United Kingdom,49.014,2.5673137968156325
Chile,Switzerland,17.183443999999998,0.9000549405885827
Chile,Germany,15.288,0.8007731122886805
Chile,Chinese Taipei,14.596,0.7645267102934054
Chile,Korea,6.544817999999999,0.34281228932646374
Chile,Panama,4.007814,0.20992606555822513
Chile,Belgium,1.354,0.07092142818150664
Chile,Portugal,1.212481,0.06350877707750469
Chile,Greece,1.204026,0.06306591099532254
Chile,Austria,0.830954,0.04352470046760389
Chile,Australia,0.778124,0.0407575076678779
Chile,Canada,0.6597440000000001,0.034556858725391375
Chile,Türkiye,0.026064000000000004,0.0013652113028971855
Chile,Ireland,0.020106000000000002,0.0010531360672211023
Chile,Denmark,0.004617,0.00024183473701182873
Chile,Sweden,-0.232457,-0.012175910214762546
Mexico,Spain,2513.146649,55.845791300139105
Mexico,United States,1142.92,25.397352684592576
Mexico,United Kingdom,415.98900000000003,9.243883514078835
Mexico,Japan,168.13481000000002,3.736201193545448
Mexico,France,102.326,2.2738332611238055
Mexico,Germany,35.333999999999996,0.7851731177662425
Mexico,Brazil,30.424158000000002,0.6760692531916221
Mexico,Korea,21.224708,0.4716440299439099
Mexico,Switzerland,20.530714,0.45622246904814195
Mexico,Italy,15.197094,0.33770163799645275
Mexico,Australia,9.242883,0.20539036798150798
Mexico,Panama,7.61684,0.16925731619195752
Mexico,Chinese Taipei,6.513,0.14472837821960544
Mexico,Sweden,5.544067,0.12319727094285786
Mexico,Portugal,2.354679,0.05232440855178294
Mexico,Austria,0.9381980000000001,0.02084813066004566
Mexico,Greece,0.9048630000000001,0.020107378243655282
Mexico,Chile,0.731042,0.016244821598405772
Mexico,Belgium,0.532,0.011821817474716735
Mexico,Finland,0.305,0.006777545732685347
Mexico,Denmark,0.22937300000000002,0.005097003269977823
Mexico,Ireland,0.014846,0.00032989981622113656
Mexico,Türkiye,0.000144,3.199890444284229e-06
Peru,Spain,304.028148,69.17876624758652
Peru,United States,55.79,12.694493566933982
Peru,France,18.619,4.2365795971095865
Peru,Japan,17.8365,4.058529028618354
Peru,United Kingdom,8.780000000000001,1.9978070177035376
Peru,Germany,7.4,1.6838009033036647
Peru,Chile,5.115402,1.1639619605893747
Peru,Switzerland,3.926567,0.8934536569570759
Peru,Brazil,3.9010830000000003,0.8876550107111583
Peru,Panama,3.644196,0.8292027725156218
Peru,Chinese Taipei,3.14,0.7144776805910146
Peru,Canada,2.244562,0.510729124746092
Peru,Netherlands,2.2073620000000003,0.502264612097052
Peru,Australia,1.0028029999999999,0.22817845908589524
Peru,Portugal,0.5912160000000001,0.13452568038480806
Peru,Belgium,0.432,0.09829756624691664
Peru,Sweden,0.42500199999999994,0.09670523668998163
Peru,Korea,0.311182,0.07080655847187041
Peru,Austria,0.08395599999999999,0.0191034038699679
Peru,Greece,0.0014260000000000002,0.00032447298487986843
Peru,Denmark,0.0014160000000000002,0.0003221975782537824
Peru,Türkiye,4.2e-05,9.55670782956134e-06
Peru,Mexico,2.5e-05,5.688516565215084e-06
