period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,40,BULGARIA,169.0,5.0,174.0,41.0,0.0,41.0,30.0,245.0,181.0,5.0,186.0,39.0,0.0,39.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,41,CZECH REPUBLIC,240.0,13.0,253.0,514.0,0.0,514.0,100.0,867.0,353.0,4.0,357.0,335.0,0.0,335.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,42,HUNGARY,143.0,15.0,158.0,296.0,0.0,296.0,57.0,511.0,237.0,15.0,252.0,213.0,0.0,213.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,43,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,44,POLAND,863.0,79.0,942.0,2280.0,1351.0,3631.0,405.0,4978.0,851.0,79.0,930.0,548.0,13.0,561.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,45,ROMANIA,85.0,7.0,92.0,263.0,0.0,263.0,7.0,362.0,179.0,5.0,184.0,178.0,0.0,178.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,46,RUSSIA,2970.0,68.0,3038.0,1286.0,624.0,1910.0,53.0,5001.0,2890.0,70.0,2960.0,457.0,2.0,459.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,47,TURKEY,1719.0,101.0,1820.0,798.0,0.0,798.0,38.0,2656.0,1683.0,87.0,1770.0,376.0,0.0,376.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Eastern Europe,country_data,48,OTHER E. EUROPE,310.0,129.0,439.0,14.0,1.0,15.0,26.0,480.0,380.0,36.0,416.0,27.0,0.0,27.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,52,ANGUILLA,35.0,1.0,36.0,0.0,0.0,0.0,0.0,36.0,38.0,1.0,39.0,0.0,0.0,0.0
