date,BANORTE,BBVA MEXICO,BMONEX,HSBC,SANTANDER
2022-01-01,43.2618586181124,54.9366269400096,5.9941671974077,57.9087337920659,45.5960530033802
2022-02-01,43.483657956663805,55.9324357269096,6.34568242585643,57.2373389662269,216.608222636485
2022-03-01,46.0975614848306,72.697336061958,6.25391018745436,55.2038392133719,70.63764276640231
2022-04-01,59.6805063679681,231.82404442359098,11.7340068089658,152.403980162396,69.1739029027082
2022-05-01,75.5285568999566,243.318303262317,11.364821168065701,153.01748807185,66.9776654504631
2022-06-01,79.6073773126442,94.08365347841101,20.497010196800602,66.015910521549,75.6066622466187
2022-07-01,71.7420580450294,66.360923011807,27.194115550255702,43.5626803678513,72.0505149231026
2022-08-01,100.943615041136,92.4454110670434,29.4776819240291,41.7603324414214,69.4452928055215
2022-09-01,102.16514276462901,99.6723468127333,20.949200142816302,43.9623171704636,92.6066040737129
2022-10-01,97.75013320696699,96.8072935643889,22.6516403392736,52.911354371991,92.6844621278955
2022-11-01,82.2465697329884,100.171097040103,26.2263246944373,53.89732351875811,87.22087798188869
2022-12-01,42.3017389158898,101.89096127882699,10.1818993388942,55.5634259225783,87.0465735092839
2023-01-01,43.1517664915474,96.5731064549268,11.1448612108244,53.4829061275762,53.7324664665304
2023-02-01,42.690973591888,102.426970450433,15.791697706265001,63.851234519598094,69.1136328067687
2023-03-01,42.7293399238893,132.66087633387102,46.0006119153613,78.1163814815633,56.448105185250604
2023-04-01,43.9535675934994,132.195491358599,46.5006718834902,78.6519343968394,62.2970377871107
2023-05-01,45.5340050192193,162.30323154466,46.6547713675579,82.59235773468859,61.8305608610233
2023-06-01,45.2252274314667,170.108298616448,41.2501308973758,91.6729382614808,88.3239223875352
2023-07-01,48.3379190267602,182.01260258698,53.5678672823866,75.32118257658149,98.6322621281478
2023-08-01,49.539419675538305,175.281220958777,41.1520031686085,77.7522607807508,90.67296694813601
2023-09-01,44.6359053991316,171.820943820199,39.407699257640694,75.65925474616189,87.3781722523341
2023-10-01,46.6862587578561,181.46838331360098,36.8683824311764,76.0990632468797,96.6752129990263
2023-11-01,45.781519446535604,174.01052019001298,39.7634314267873,78.7760343026547,115.955296953145
2023-12-01,50.831828835942794,156.218609257407,43.4099041862255,75.8350826649303,125.491094918164
2024-01-01,53.8820528024232,154.128679718916,50.4856696442353,77.0681452768767,129.73193538092
2024-02-01,38.839282732041795,148.468268398347,44.5531173037133,66.6329613434542,124.14441188710799
2024-03-01,37.5821063628732,149.846120129512,42.9702978672503,66.5476937282648,113.701344765559
2024-04-01,36.5778730262544,148.14685825872002,42.4363769486803,49.0174578553442,87.8798768303488
2024-05-01,41.8679479439528,152.212377837758,42.2312217988201,65.7682855457227,88.47107651917399
2024-06-01,46.2462458913986,146.598223804911,40.563938313571605,48.2312955113101,89.4191529223553
2024-07-01,44.3797986377116,138.622619798413,40.967925082700795,49.8112660450278,99.2085081202026
2024-08-01,44.8348796717936,150.72698372492002,41.2882637393525,48.1057629889791,108.359418271366
2024-09-01,45.374109614855605,152.964366890315,41.4696841530389,49.3484176473585,112.175618574558
2024-10-01,44.910505499280696,143.24658073653399,41.7570811296252,48.3251871553584,139.476551486454
2024-11-01,38.998499617971,149.077456881174,41.507604131790195,38.8376468485059,166.480484638028
2024-12-01,40.1163154827983,152.716501404657,40.0179289575347,38.9310652595432,174.929617333471
2025-01-01,39.499670745392,148.446439798325,35.264165720523,36.2245837405252,150.77333401401202
2025-02-01,39.312453423048105,150.426602686059,22.1599562305105,34.696431561066596,124.321071241501
2025-03-01,39.0367445964702,204.557559847329,18.367900788947797,32.6788881889144,124.62623632999
2025-04-01,43.3516151443622,208.72729628505598,39.071376713518596,36.2565352564594,125.129389289966
2025-05-01,42.5312377555878,131.75835593025698,38.8108938327815,37.890969888245,122.05022821812899
2025-06-01,40.1063743807165,129.50521611566302,23.387872894965298,40.6316611089939,87.1917102811653
2025-07-01,40.4829974856375,139.043638783428,27.9925792248004,36.1929093699705,86.7281831892647
2025-08-01,34.8450104255798,160.323733226107,27.382155268011303,34.326884067295,96.85140090713159
