year_month,date,lc_usd_millions,total_liabilities_usd_millions,lc_pct_liabilities,n_banks
2022-01,2022-01-01,272.0901754492896,492920.5137746047,0.055199604773135263,49
2022-02,2022-02-01,442.9655655460601,498252.7234842113,0.08890379212550291,49
2022-03,2022-03-01,315.567679933681,526372.1480462973,0.05995143951004131,49
2022-04,2022-04-01,594.9707692954731,518485.11020271265,0.11475175614259334,49
2022-05,2022-05-01,677.6151351930193,552653.8181825303,0.12261113791295962,49
2022-06,2022-06-01,464.8386799761819,544417.1550084242,0.08538281273832914,49
2022-07,2022-07-01,400.9812335011631,534354.3595125916,0.0750403222810638,49
2022-08,2022-08-01,459.4307878981715,552550.1500354157,0.08314734651121249,50
2022-09,2022-09-01,484.5896597233305,549565.9136848232,0.08817680421155875,50
2022-10,2022-10-01,476.05415413555824,567388.8833316606,0.08390262271974869,50
2022-11,2022-11-01,461.74526437774864,582037.5348568416,0.07933255790647933,50
2022-12,2022-12-01,410.8518010050879,579280.4017397901,0.07092451251089286,50
2023-01,2023-01-01,383.29782266383484,601221.8376473235,0.06375314379193878,50
2023-02,2023-02-01,419.64089084570975,624452.7640988497,0.06720138254993478,50
2023-03,2023-03-01,483.3352265697148,635662.8990619321,0.07603640660529157,50
2023-04,2023-04-01,480.0583628542029,645010.1012225673,0.07442648757659595,50
2023-05,2023-05-01,504.6329280789273,666190.8898007125,0.07574899864359982,50
2023-06,2023-06-01,522.3653656952907,668386.963640727,0.0781531349519369,50
2023-07,2023-07-01,542.7640204681547,693452.8438110889,0.07826978075181346,49
2023-08,2023-08-01,516.5889629078039,691323.2781470801,0.07472465910483905,49
2023-09,2023-09-01,491.4890666528559,671086.0649809104,0.07323785909141724,49
2023-10,2023-10-01,516.6250844494115,659761.8254759904,0.07830478583338589,49
2023-11,2023-11-01,530.9642381425919,700525.2614083466,0.07579515934587902,49
2023-12,2023-12-01,532.3418959244684,697644.1501681701,0.07630564891802577,49
2024-01,2024-01-01,549.7060281437682,706553.088920193,0.07780109333098661,50
2024-02,2024-02-01,508.2868549292228,715406.7333746349,0.07104865403371173,50
2024-03,2024-03-01,500.42715379841667,734681.7193919091,0.0681148231390073,50
2024-04,2024-04-01,447.4035405049195,718802.6588411295,0.0622428889211726,50
2024-05,2024-05-01,476.052590898525,729718.182889028,0.06523786881858756,50
2024-06,2024-06-01,451.9726096385208,679672.366814823,0.06649860016475569,50
2024-07,2024-07-01,455.35220310141386,677792.8319298545,0.06718161975907982,50
2024-08,2024-08-01,466.1129027133544,647599.1386220917,0.07197552851986665,50
2024-09,2024-09-01,474.08022593407685,642508.0591883145,0.07378588006086431,50
2024-10,2024-10-01,487.1762676491448,656572.2312543717,0.07419995005247201,50
2024-11,2024-11-01,504.3294910149726,654586.4700657934,0.07704551103298572,51
2024-12,2024-12-01,518.7099901086918,668867.0781796952,0.077550533884901,51
2025-01,2025-01-01,483.4664174929625,664105.2465867931,0.07279966842270345,51
2025-02,2025-02-01,441.0927819627278,654227.8695675911,0.06742188807307552,52
2025-03,2025-03-01,491.42815549162833,666167.607501552,0.0737694463011673,52
2025-04,2025-04-01,523.690726715818,693897.1104366606,0.0754709479026748,52
2025-05,2025-05-01,456.92379228839036,716793.7550945171,0.06374550406457433,52
2025-06,2025-06-01,403.29532367621516,716664.1114920684,0.056273966731300265,52
2025-07,2025-07-01,413.85327802730734,725491.7891588995,0.05704451576317756,52
2025-08,2025-08-01,421.2580021354045,730555.8602099137,0.05766266826117344,52
