date,year,month,lc_usd_millions,total_liab_usd_millions,lc_pct_liabilities
2022-01-01,2022,1,272.0901754492896,492920.5137746047,0.055199604773135263
2022-02-01,2022,2,442.9655655460601,498252.7234842113,0.08890379212550291
2022-03-01,2022,3,315.567679933681,526372.1480462973,0.05995143951004131
2022-04-01,2022,4,594.9707692954731,518485.11020271265,0.11475175614259334
2022-05-01,2022,5,677.6151351930193,552653.8181825303,0.12261113791295962
2022-06-01,2022,6,464.8386799761819,544417.1550084242,0.08538281273832914
2022-07-01,2022,7,400.9812335011631,534354.3595125916,0.0750403222810638
2022-08-01,2022,8,459.4307878981715,552550.1500354157,0.08314734651121249
2022-09-01,2022,9,484.5896597233305,549565.9136848232,0.08817680421155875
2022-10-01,2022,10,476.05415413555824,567388.8833316606,0.08390262271974869
2022-11-01,2022,11,461.74526437774864,582037.5348568416,0.07933255790647933
2022-12-01,2022,12,410.8518010050879,579280.4017397901,0.07092451251089286
2023-01-01,2023,1,383.29782266383484,601221.8376473235,0.06375314379193878
2023-02-01,2023,2,419.64089084570975,624452.7640988497,0.06720138254993478
2023-03-01,2023,3,483.3352265697148,635662.8990619321,0.07603640660529157
2023-04-01,2023,4,480.0583628542029,645010.1012225673,0.07442648757659595
2023-05-01,2023,5,504.6329280789273,666190.8898007125,0.07574899864359982
2023-06-01,2023,6,522.3653656952907,668386.963640727,0.0781531349519369
2023-07-01,2023,7,542.7640204681547,693452.8438110889,0.07826978075181346
2023-08-01,2023,8,516.5889629078039,691323.2781470801,0.07472465910483905
2023-09-01,2023,9,491.4890666528559,671086.0649809104,0.07323785909141724
2023-10-01,2023,10,516.6250844494115,659761.8254759904,0.07830478583338589
2023-11-01,2023,11,530.9642381425919,700525.2614083466,0.07579515934587902
2023-12-01,2023,12,532.3418959244684,697644.1501681701,0.07630564891802577
2024-01-01,2024,1,549.7060281437682,706553.088920193,0.07780109333098661
2024-02-01,2024,2,508.2868549292228,715406.7333746349,0.07104865403371173
2024-03-01,2024,3,500.42715379841667,734681.7193919091,0.0681148231390073
2024-04-01,2024,4,447.4035405049195,718802.6588411295,0.0622428889211726
2024-05-01,2024,5,476.052590898525,729718.182889028,0.06523786881858756
2024-06-01,2024,6,451.9726096385208,679672.366814823,0.06649860016475569
2024-07-01,2024,7,455.35220310141386,677792.8319298545,0.06718161975907982
2024-08-01,2024,8,466.1129027133544,647599.1386220917,0.07197552851986665
2024-09-01,2024,9,474.08022593407685,642508.0591883145,0.07378588006086431
2024-10-01,2024,10,487.1762676491448,656572.2312543717,0.07419995005247201
2024-11-01,2024,11,504.3294910149726,654586.4700657934,0.07704551103298572
2024-12-01,2024,12,518.7099901086918,668867.0781796952,0.077550533884901
2025-01-01,2025,1,483.4664174929625,664105.2465867931,0.07279966842270345
2025-02-01,2025,2,441.0927819627278,654227.8695675911,0.06742188807307552
2025-03-01,2025,3,491.42815549162833,666167.607501552,0.0737694463011673
2025-04-01,2025,4,523.690726715818,693897.1104366606,0.0754709479026748
2025-05-01,2025,5,456.92379228839036,716793.7550945171,0.06374550406457433
2025-06-01,2025,6,403.29532367621516,716664.1114920684,0.056273966731300265
2025-07-01,2025,7,413.85327802730734,725491.7891588995,0.05704451576317756
2025-08-01,2025,8,421.2580021354045,730555.8602099137,0.05766266826117344
