period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,country_data,42,ROMANIA,576.0,702.0,1017.0,1329.0,2607.0,180.0,1.0,2426.0
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,country_data,43,RUSSIA,8273.0,778.0,4401.0,3960.0,13011.0,1034.0,3990.0,15964.0
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,country_data,44,TURKEY,18056.0,764.0,16592.0,2754.0,21574.0,1560.0,2611.0,22625.0
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,country_data,45,OTHER E. EUROPE,2576.0,11.0,1787.0,340.0,2927.0,456.0,20.0,2492.0
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,subtotal,46,Total,36087.0,3694.0,29482.0,22711.0,62492.0,4249.0,7018.0,65255.0
2015Q2,2015,Q2,Table 2,2,LFI,Eastern Europe,empty,47,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,region_header,48,Latin America and Caribbean,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,49,ANGUILLA,2779.0,0.0,2763.0,0.0,2779.0,53.0,7.0,2732.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,50,ARGENTINA,1491.0,567.0,1534.0,3993.0,6051.0,715.0,48.0,5382.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,51,BRAZIL,38387.0,3883.0,25789.0,28499.0,70769.0,6445.0,15811.0,80134.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,52,CHILE,7141.0,235.0,4756.0,2480.0,9856.0,685.0,355.0,9527.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,53,COLOMBIA,5650.0,113.0,4268.0,3933.0,9696.0,1404.0,258.0,8553.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,54,COSTA RICA,826.0,387.0,715.0,626.0,1839.0,119.0,18.0,1736.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,55,DOMINICAN REPUBLIC,1139.0,83.0,917.0,336.0,1558.0,310.0,7.0,1254.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,56,ECUADOR,770.0,586.0,715.0,0.0,1356.0,126.0,0.0,1230.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,57,EL SALVADOR,458.0,1708.0,1355.0,0.0,2166.0,106.0,28.0,2087.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,58,GUATEMALA,1286.0,318.0,1362.0,791.0,2395.0,170.0,157.0,2381.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,59,HONDURAS,333.0,63.0,243.0,128.0,524.0,145.0,2.0,381.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,60,MEXICO,28922.0,6197.0,21791.0,67853.0,102972.0,6628.0,1450.0,97797.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,61,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,62,PERU,2653.0,1185.0,2594.0,855.0,4693.0,493.0,321.0,4518.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,63,URUGUAY,1007.0,263.0,725.0,284.0,1554.0,156.0,3.0,1400.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,64,VENEZUELA,1929.0,1.0,1597.0,921.0,2851.0,312.0,29.0,2566.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,country_data,65,OTHER LAT. AM. & CAR.,27436.0,812.0,22513.0,943.0,29191.0,14548.0,766.0,15405.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,subtotal,66,Total,122207.0,16401.0,93637.0,111642.0,250250.0,32415.0,19260.0,237083.0
2015Q2,2015,Q2,Table 2,2,LFI,Latin America and Caribbean,empty,67,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,region_header,68,Asia and Pacific,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,69,CHINA-MAINLAND,55586.0,6730.0,53547.0,26301.0,88617.0,6445.0,10706.0,92882.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,70,INDIA,41453.0,4517.0,39801.0,29592.0,75562.0,4029.0,9385.0,80915.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,71,INDONESIA,9038.0,3460.0,10244.0,3758.0,16256.0,2937.0,783.0,14102.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,72,"KOREA, SOUTH",31925.0,5464.0,32891.0,45754.0,83143.0,2632.0,3191.0,83699.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,73,KUWAIT,6424.0,71.0,6040.0,252.0,6747.0,130.0,32.0,6646.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,74,MALAYSIA,5409.0,1591.0,3772.0,9073.0,16073.0,469.0,577.0,16180.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,75,PAKISTAN,379.0,38.0,262.0,763.0,1180.0,168.0,1.0,1011.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,76,PHILIPPINES,2918.0,885.0,2837.0,3956.0,7759.0,652.0,246.0,7357.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,77,QATAR,2965.0,0.0,1059.0,63.0,3028.0,494.0,137.0,2671.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,78,SAUDI ARABIA,16101.0,289.0,15208.0,1926.0,18316.0,806.0,607.0,18117.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,79,TAIWAN,18877.0,3787.0,22143.0,17926.0,40590.0,891.0,1548.0,41251.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,80,THAILAND,2915.0,241.0,1948.0,7358.0,10514.0,632.0,295.0,10181.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,81,UNITED ARAB EMIRATES,8985.0,2368.0,7706.0,2896.0,14249.0,2306.0,893.0,12832.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,82,WEST BANK AND GAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,country_data,83,OTHER ASIA AND PACIFIC,6337.0,1733.0,4650.0,1918.0,9988.0,2305.0,364.0,8045.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,subtotal,84,Total,209312.0,31174.0,202108.0,151536.0,392022.0,24896.0,28765.0,395889.0
2015Q2,2015,Q2,Table 2,2,LFI,Asia and Pacific,empty,85,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Africa,region_header,86,Africa,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,87,ALGERIA,156.0,251.0,285.0,1177.0,1584.0,350.0,0.0,1233.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,88,EGYPT,381.0,91.0,291.0,1566.0,2038.0,257.0,0.0,1780.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,89,GHANA,678.0,0.0,250.0,0.0,678.0,357.0,123.0,444.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,90,KENYA,500.0,189.0,443.0,596.0,1285.0,42.0,12.0,1255.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,91,MOROCCO,472.0,0.0,385.0,348.0,820.0,72.0,2.0,751.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,92,NIGERIA,1996.0,220.0,1425.0,1677.0,3893.0,183.0,80.0,3789.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,93,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,94,SOUTH AFRICA,7781.0,1052.0,6870.0,5105.0,13938.0,800.0,1386.0,14525.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,country_data,95,OTHER AFRICA,2983.0,400.0,1883.0,1084.0,4467.0,1261.0,69.0,3282.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,subtotal,96,Total,14947.0,2203.0,11832.0,11553.0,28703.0,3322.0,1712.0,27099.0
2015Q2,2015,Q2,Table 2,2,LFI,Africa,empty,97,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,region_header,98,Banking Centers,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,99,BAHAMAS,10360.0,435.0,10034.0,98.0,10893.0,5427.0,734.0,6199.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,100,BAHRAIN,1244.0,52.0,1081.0,424.0,1720.0,862.0,39.0,896.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,101,BERMUDA,15075.0,115.0,9493.0,0.0,15190.0,3797.0,3468.0,14865.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,102,CAYMAN ISLANDS,308345.0,1219.0,213887.0,0.0,309564.0,36211.0,2944.0,276300.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,103,HONG KONG,22259.0,14293.0,30675.0,25419.0,61971.0,15186.0,6298.0,53082.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,104,LEBANON,1153.0,169.0,814.0,29.0,1351.0,220.0,7.0,1139.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,105,MAURITIUS,1786.0,132.0,865.0,14.0,1932.0,1101.0,58.0,889.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,106,PANAMA,3374.0,1296.0,2430.0,0.0,4670.0,1731.0,173.0,3115.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,107,SINGAPORE,33927.0,11848.0,41848.0,22576.0,68351.0,7213.0,4789.0,65925.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,country_data,108,OTHER BANKING CENTERS,13680.0,1450.0,9032.0,899.0,16029.0,4349.0,1875.0,13558.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,subtotal,109,Total,411203.0,31009.0,320159.0,49459.0,491671.0,76097.0,20385.0,435968.0
2015Q2,2015,Q2,Table 2,2,LFI,Banking Centers,empty,110,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,region_header,111,International & Regional Organizations,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,country_data,112,AFRICAN,250.0,0.0,106.0,0.0,250.0,0.0,11.0,261.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,organization_data,113,ASIAN,934.0,0.0,567.0,0.0,934.0,0.0,349.0,1283.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,organization_data,114,EUROPEAN,11444.0,0.0,4708.0,0.0,11444.0,0.0,975.0,12419.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,country_data,115,INTERNATIONAL,3376.0,0.0,2093.0,0.0,3376.0,0.0,433.0,3809.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,country_data,116,LATIN AMERICAN,864.0,0.0,413.0,0.0,864.0,15.0,28.0,878.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,organization_data,117,MIDDLE EASTERN,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,subtotal,118,Total,16878.0,0.0,7897.0,0.0,16878.0,15.0,1796.0,18660.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,empty,119,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,country_data,120,UNITED STATES,145569.0,13078.0,111564.0,6936744.0,7095391.0,258611.0,318291.0,7155077.0
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,empty,121,,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,International & Regional Organizations,grand_total,122,Grand Total,1858349.0,283486.0,1547291.0,7839950.0,9981785.0,526001.0,526010.0,9981790.0
