period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,country_data,82,TAIWAN,11285.0,10431.0,21716.0,33591.0,8223.0,1430.0,12849.0,97.0,10059.0,0.0,2209.0,10059.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,country_data,83,THAILAND,1498.0,5854.0,7352.0,8969.0,1150.0,2544.0,3350.0,96.0,547.0,0.0,498.0,547.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,country_data,84,UNITED ARAB EMIRATES,7221.0,2417.0,9638.0,9650.0,3227.0,48.0,599.0,41.0,1350.0,0.0,325.0,1350.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,country_data,85,WEST BANK AND GAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,country_data,86,OTHER ASIA AND PACIFIC,4328.0,2023.0,6351.0,13267.0,-1743.0,686.0,1870.0,47.0,723.0,0.0,47.0,723.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,subtotal,87,Total,47888.0,113269.0,161157.0,235195.0,55518.0,31495.0,98951.0,1601.0,50949.0,0.0,21491.0,50949.0
2018Q4,2018,Q4,Table 3,3,LFI,Asia and Pacific,empty,88,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Africa,region_header,89,Africa,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,90,ALGERIA,171.0,1019.0,1190.0,976.0,219.0,326.0,40.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,91,EGYPT,233.0,689.0,922.0,1123.0,244.0,421.0,3578.0,43.0,447.0,0.0,447.0,447.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,92,GHANA,0.0,0.0,0.0,142.0,0.0,0.0,204.0,29.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,93,KENYA,428.0,320.0,748.0,1025.0,-40.0,281.0,94.0,21.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,94,MOROCCO,196.0,407.0,603.0,976.0,-222.0,98.0,47.0,3.0,85.0,0.0,85.0,85.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,95,NIGERIA,614.0,641.0,1255.0,4799.0,356.0,227.0,1801.0,103.0,5008.0,0.0,422.0,5008.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,96,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,97,SOUTH AFRICA,604.0,4041.0,4645.0,8130.0,3658.0,1768.0,6192.0,556.0,857.0,0.0,643.0,857.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,98,SOUTH SUDAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,country_data,99,OTHER AFRICA,669.0,1082.0,1751.0,5327.0,109.0,275.0,545.0,51.0,160.0,0.0,139.0,160.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,subtotal,100,Total,2915.0,8199.0,11114.0,22499.0,4324.0,3396.0,12501.0,806.0,6557.0,0.0,1736.0,6557.0
2018Q4,2018,Q4,Table 3,3,LFI,Africa,empty,101,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,region_header,102,Banking Centers,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,103,BAHAMAS,2935.0,210.0,3145.0,3466.0,770.0,53.0,868.0,0.0,3699.0,0.0,773.0,3699.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,104,BAHRAIN,342.0,276.0,618.0,1364.0,-227.0,148.0,97.0,26.0,264.0,0.0,250.0,264.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,105,BERMUDA,452.0,0.0,452.0,18059.0,2749.0,132.0,4860.0,85.0,2356.0,0.0,327.0,2356.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,106,CAYMAN ISLANDS,12098.0,3.0,12101.0,220319.0,17660.0,69597.0,25861.0,690.0,181776.0,0.0,35671.0,181776.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,107,HONG KONG,56063.0,29545.0,85608.0,60889.0,-2285.0,7810.0,15336.0,163.0,1979.0,0.0,191.0,1979.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,108,LEBANON,161.0,45.0,206.0,3253.0,-44.0,0.0,782.0,92.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,109,MAURITIUS,413.0,61.0,474.0,1999.0,6181.0,0.0,773.0,0.0,72.0,0.0,28.0,72.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,110,PANAMA,938.0,14.0,952.0,1255.0,-37.0,552.0,401.0,38.0,70.0,0.0,46.0,70.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,111,SINGAPORE,50749.0,19152.0,69901.0,62848.0,19534.0,8531.0,5343.0,99.0,23389.0,0.0,11243.0,23389.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,country_data,112,OTHER BANKING CENTERS,24221.0,2742.0,26963.0,20715.0,-16820.0,395.0,6390.0,120.0,1637.0,0.0,247.0,1637.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,subtotal,113,Total,148372.0,52048.0,200420.0,394167.0,27481.0,87218.0,60711.0,1313.0,215242.0,0.0,48776.0,215242.0
2018Q4,2018,Q4,Table 3,3,LFI,Banking Centers,empty,114,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,region_header,115,International & Regional Organizations,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,116,AFRICAN,0.0,0.0,0.0,158.0,0.0,136.0,289.0,8.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,organization_data,117,ASIAN,0.0,0.0,0.0,698.0,0.0,1260.0,441.0,139.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,organization_data,118,CARIBBEAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,organization_data,119,EUROPEAN,0.0,0.0,0.0,4806.0,0.0,6185.0,6131.0,3030.0,6.0,0.0,0.0,6.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,120,INTERNATIONAL,0.0,0.0,0.0,1387.0,0.0,2086.0,2016.0,218.0,416.0,0.0,238.0,416.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,121,LATIN AMERICAN,0.0,0.0,0.0,25.0,0.0,1034.0,1115.0,25.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,organization_data,122,MIDDLE EASTERN,0.0,0.0,0.0,53.0,0.0,0.0,1.0,1.0,12.0,0.0,6.0,12.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,subtotal,123,Total,0.0,0.0,0.0,7127.0,0.0,10701.0,9993.0,3421.0,434.0,0.0,244.0,434.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,empty,124,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,125,UNITED STATES,0.0,0.0,0.0,135875.0,-690567.0,1436597.0,811616.0,61337.0,697531.0,0.0,608430.0,697531.0
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,empty,126,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,International & Regional Organizations,grand_total,127,Grand Total,1370140.0,738859.0,2108999.0,1913580.0,38.0,1702349.0,1494933.0,138719.0,1484559.0,8.0,926196.0,1484559.0
