anio,amount_usd,yoy_growth
2010,9235236517.583261,
2011,39732235911.587166,330.22
2012,40629859499.24611,2.26
2013,47866849572.1251,17.81
2014,58433053865.194145,22.07
2015,67304843781.0914,15.18
2016,61224294147.82179,-9.03
2017,63080347261.15902,3.03
2018,75231991924.6732,19.26
2019,69108619775.46938,-8.14
2020,57545714448.30005,-16.73
2021,55529697242.91421,-3.5
2022,72062458287.41975,29.77
2023,73915782753.32504,2.57
2024,68458384957.87307,-7.38
