period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,41,CZECH REPUBLIC,754.0,10.0,764.0,602.0,0.0,602.0,111.0,1477.0,770.0,10.0,780.0,418.0,0.0,418.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,42,HUNGARY,396.0,4.0,400.0,185.0,0.0,185.0,40.0,625.0,410.0,4.0,414.0,363.0,0.0,363.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,43,KOSOVO,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,44,POLAND,1045.0,23.0,1068.0,2110.0,1454.0,3564.0,1349.0,5981.0,1122.0,23.0,1145.0,576.0,10.0,586.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,45,ROMANIA,149.0,17.0,166.0,359.0,0.0,359.0,5.0,530.0,158.0,17.0,175.0,251.0,0.0,251.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,46,RUSSIA,112.0,35.0,147.0,4744.0,35.0,4779.0,18.0,4944.0,108.0,35.0,143.0,23.0,3.0,26.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,47,TURKEY,2571.0,81.0,2652.0,546.0,0.0,546.0,34.0,3232.0,3825.0,82.0,3907.0,340.0,0.0,340.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,48,OTHER E. EUROPE,1166.0,35.0,1201.0,93.0,0.0,93.0,9.0,1303.0,1248.0,36.0,1284.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,52,ANGUILLA,11.0,1.0,12.0,0.0,0.0,0.0,4.0,16.0,11.0,1.0,12.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,53,ARGENTINA,539.0,88.0,627.0,535.0,0.0,535.0,24.0,1186.0,800.0,160.0,960.0,38.0,0.0,38.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,54,BRAZIL,21189.0,796.0,21985.0,10840.0,1.0,10841.0,1240.0,34066.0,20792.0,936.0,21728.0,3043.0,0.0,3043.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,55,CHILE,1872.0,63.0,1935.0,32.0,0.0,32.0,358.0,2325.0,1734.0,135.0,1869.0,13.0,0.0,13.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,56,COLOMBIA,1310.0,102.0,1412.0,932.0,0.0,932.0,332.0,2676.0,1476.0,88.0,1564.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,57,COSTA RICA,45.0,32.0,77.0,24.0,0.0,24.0,30.0,131.0,96.0,31.0,127.0,2.0,0.0,2.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,58,DOMINICAN REPUBLIC,356.0,66.0,422.0,86.0,0.0,86.0,5.0,513.0,365.0,91.0,456.0,21.0,0.0,21.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,59,ECUADOR,251.0,88.0,339.0,404.0,0.0,404.0,3.0,746.0,456.0,162.0,618.0,419.0,0.0,419.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,60,EL SALVADOR,108.0,26.0,134.0,46.0,0.0,46.0,0.0,180.0,138.0,41.0,179.0,46.0,0.0,46.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,61,FRENCH GUIANA,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,62,GUATEMALA,379.0,34.0,413.0,8.0,0.0,8.0,1.0,422.0,233.0,65.0,298.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,63,HONDURAS,79.0,24.0,103.0,42.0,0.0,42.0,6.0,151.0,89.0,27.0,116.0,3.0,0.0,3.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,64,MEXICO,10651.0,2549.0,13200.0,15421.0,18362.0,33783.0,4938.0,51921.0,10847.0,3512.0,14359.0,5769.0,288.0,6057.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,65,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,66,PERU,1425.0,253.0,1678.0,499.0,0.0,499.0,292.0,2469.0,1337.0,360.0,1697.0,196.0,0.0,196.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,67,URUGUAY,156.0,63.0,219.0,74.0,0.0,74.0,33.0,326.0,207.0,37.0,244.0,46.0,0.0,46.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,68,VENEZUELA,70.0,516.0,586.0,0.0,0.0,0.0,0.0,586.0,74.0,632.0,706.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Latin America and Caribbean,country_data,69,OTHER LAT. AM. & CAR.,5866.0,239.0,6105.0,492.0,5.0,497.0,335.0,6937.0,6860.0,943.0,7803.0,422.0,0.0,422.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,73,CHINA-MAINLAND,49273.0,850.0,50123.0,7526.0,616.0,8142.0,259.0,58524.0,48234.0,746.0,48980.0,64.0,1.0,65.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,74,INDIA,17084.0,955.0,18039.0,11613.0,0.0,11613.0,132.0,29784.0,16089.0,962.0,17051.0,1953.0,0.0,1953.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,75,INDONESIA,1135.0,510.0,1645.0,1360.0,0.0,1360.0,15.0,3020.0,1347.0,437.0,1784.0,961.0,0.0,961.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,76,"KOREA, SOUTH",26061.0,47.0,26108.0,4824.0,4504.0,9328.0,384.0,35820.0,22073.0,48.0,22121.0,1692.0,6.0,1698.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,77,KUWAIT,327.0,77.0,404.0,24.0,0.0,24.0,4.0,432.0,480.0,77.0,557.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,78,MALAYSIA,764.0,181.0,945.0,1233.0,0.0,1233.0,56.0,2234.0,727.0,181.0,908.0,1106.0,0.0,1106.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,79,PAKISTAN,29.0,72.0,101.0,209.0,0.0,209.0,0.0,310.0,29.0,72.0,101.0,9.0,0.0,9.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,80,PHILIPPINES,486.0,313.0,799.0,556.0,0.0,556.0,12.0,1367.0,441.0,315.0,756.0,233.0,0.0,233.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,81,QATAR,4228.0,73.0,4301.0,1.0,0.0,1.0,27.0,4329.0,4258.0,70.0,4328.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,82,SAUDI ARABIA,4317.0,168.0,4485.0,175.0,0.0,175.0,38.0,4698.0,4786.0,116.0,4902.0,72.0,0.0,72.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,83,TAIWAN,31129.0,371.0,31500.0,3580.0,0.0,3580.0,50.0,35130.0,30025.0,406.0,30431.0,2173.0,0.0,2173.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,84,THAILAND,1413.0,135.0,1548.0,1038.0,0.0,1038.0,148.0,2734.0,1387.0,124.0,1511.0,69.0,0.0,69.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,85,UNITED ARAB EMIRATES,3790.0,1208.0,4998.0,1381.0,179.0,1560.0,18.0,6576.0,3857.0,1189.0,5046.0,1148.0,1.0,1149.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,86,WEST BANK AND GAZA,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Asia and Pacific,country_data,87,OTHER ASIA AND PACIFIC,2713.0,211.0,2924.0,1520.0,0.0,1520.0,100.0,4544.0,3993.0,197.0,4190.0,414.0,0.0,414.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,91,ALGERIA,0.0,2.0,2.0,275.0,0.0,275.0,0.0,277.0,0.0,2.0,2.0,34.0,0.0,34.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,92,EGYPT,110.0,64.0,174.0,127.0,0.0,127.0,0.0,301.0,751.0,64.0,815.0,49.0,0.0,49.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,93,GHANA,2.0,6.0,8.0,0.0,0.0,0.0,2.0,10.0,1.0,6.0,7.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,94,KENYA,17.0,12.0,29.0,340.0,0.0,340.0,8.0,377.0,17.0,12.0,29.0,110.0,0.0,110.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,95,MOROCCO,105.0,3.0,108.0,137.0,0.0,137.0,16.0,261.0,105.0,3.0,108.0,6.0,0.0,6.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,96,NIGERIA,66.0,30.0,96.0,176.0,0.0,176.0,220.0,492.0,475.0,30.0,505.0,68.0,0.0,68.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,97,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,98,SOUTH AFRICA,1043.0,25.0,1068.0,1944.0,0.0,1944.0,96.0,3108.0,906.0,27.0,933.0,267.0,0.0,267.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,99,SOUTH SUDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Africa,country_data,100,OTHER AFRICA,965.0,51.0,1016.0,942.0,0.0,942.0,46.0,2004.0,1892.0,51.0,1943.0,217.0,0.0,217.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,104,BAHAMAS,372.0,96.0,468.0,16.0,0.0,16.0,150.0,634.0,439.0,270.0,709.0,6.0,0.0,6.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,105,BAHRAIN,89.0,6.0,95.0,7.0,0.0,7.0,0.0,102.0,174.0,6.0,180.0,3.0,0.0,3.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,106,BERMUDA,7142.0,11.0,7153.0,1.0,0.0,1.0,90.0,7244.0,5300.0,24.0,5324.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,107,CAYMAN ISLANDS,36874.0,12.0,36886.0,223.0,0.0,223.0,539.0,37648.0,35421.0,66.0,35487.0,156.0,0.0,156.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,108,HONG KONG,8195.0,1961.0,10156.0,6282.0,16115.0,22397.0,690.0,33243.0,7520.0,1883.0,9403.0,3364.0,1619.0,4983.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,109,LEBANON,15.0,73.0,88.0,1.0,0.0,1.0,0.0,89.0,15.0,73.0,88.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,110,MAURITIUS,577.0,18.0,595.0,273.0,0.0,273.0,1.0,869.0,960.0,18.0,978.0,258.0,0.0,258.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,111,PANAMA,921.0,92.0,1013.0,130.0,0.0,130.0,169.0,1312.0,1798.0,343.0,2141.0,143.0,0.0,143.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,112,SINGAPORE,3686.0,2357.0,6043.0,5929.0,11738.0,17667.0,825.0,24535.0,2946.0,2428.0,5374.0,4845.0,2868.0,7713.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Banking Centers,country_data,113,OTHER BANKING CENTERS,8666.0,634.0,9300.0,376.0,2.0,378.0,427.0,10105.0,8300.0,438.0,8738.0,246.0,9.0,255.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,International & Regional Organizations,country_data,117,AFRICAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,International & Regional Organizations,country_data,121,INTERNATIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,International & Regional Organizations,country_data,122,LATIN AMERICAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,International & Regional Organizations,country_data,126,UNITED STATES,73777.0,2635.0,76412.0,1474990.0,1882248.0,3357238.0,41244.0,3474894.0,60357.0,2479.0,62836.0,8980.0,482.0,9462.0
