period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,41,KOSOVO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,42,POLAND,4443.0,1514.0,4974.0,9980.0,15937.0,1071.0,531.0,15398.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,43,ROMANIA,1264.0,404.0,1371.0,2570.0,4238.0,258.0,76.0,4055.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,44,RUSSIA,2802.0,34.0,1974.0,8920.0,11756.0,35.0,5.0,11726.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,45,TURKEY,12245.0,2702.0,9608.0,1723.0,16670.0,2607.0,1798.0,13690.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,46,OTHER E. EUROPE,4966.0,8.0,4151.0,1430.0,6404.0,739.0,196.0,5860.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,subtotal,47,Total,31964.0,5304.0,27632.0,30417.0,67685.0,5421.0,2833.0,62923.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,empty,48,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,region_header,49,Latin America and Caribbean,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,50,ANGUILLA,115.0,0.0,111.0,0.0,115.0,26.0,11.0,99.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,51,ARGENTINA,2196.0,10885.0,2799.0,2905.0,15986.0,1289.0,334.0,5477.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,52,BRAZIL,61825.0,8251.0,53187.0,52788.0,122864.0,5564.0,10651.0,123680.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,53,CHILE,9547.0,10448.0,7791.0,3289.0,23284.0,896.0,400.0,12355.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,54,COLOMBIA,5200.0,1246.0,2931.0,4588.0,11034.0,1373.0,610.0,9028.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,55,COSTA RICA,536.0,311.0,652.0,957.0,1804.0,160.0,27.0,1559.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,2326.0,1062.0,2002.0,366.0,3754.0,416.0,253.0,2578.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,57,ECUADOR,1254.0,963.0,1603.0,2.0,2219.0,740.0,87.0,1250.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,58,EL SALVADOR,434.0,205.0,593.0,0.0,639.0,185.0,35.0,488.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,59,FRENCH GUIANA,3.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,60,GUATEMALA,1746.0,171.0,1672.0,298.0,2215.0,318.0,297.0,2055.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,61,HONDURAS,707.0,49.0,722.0,389.0,1145.0,162.0,21.0,1002.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,62,MEXICO,32789.0,9577.0,31679.0,87766.0,130132.0,10139.0,5467.0,123012.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,63,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,64,PERU,5493.0,1209.0,4327.0,2009.0,8711.0,1718.0,683.0,6692.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,65,URUGUAY,1288.0,106.0,1110.0,342.0,1736.0,329.0,136.0,1545.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,66,VENEZUELA,1291.0,13482.0,965.0,0.0,14773.0,414.0,90.0,967.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,67,OTHER LAT. AM. & CAR.,41753.0,1157.0,35529.0,839.0,43749.0,9826.0,2744.0,36397.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,subtotal,68,Total,168503.0,59122.0,147676.0,156538.0,384163.0,33556.0,21846.0,328186.0
2024Q1,2024,Q1,Table 2,2,All Banks,Latin America and Caribbean,empty,69,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Asia and Pacific,region_header,70,Asia and Pacific,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Asia and Pacific,country_data,71,CHINA-MAINLAND,89636.0,2811.0,85800.0,42195.0,134642.0,3421.0,4398.0,135604.0
2024Q1,2024,Q1,Table 2,2,All Banks,Asia and Pacific,country_data,72,INDIA,28719.0,1813.0,24728.0,59136.0,89668.0,4188.0,3035.0,88514.0
2024Q1,2024,Q1,Table 2,2,All Banks,Asia and Pacific,country_data,73,INDONESIA,7343.0,3330.0,8549.0,5375.0,16048.0,1607.0,844.0,15285.0
