period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,country_data,43,ROMANIA,75.0,0.0,68.0,0.0,75.0,66.0,59.0,68.0
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,country_data,44,RUSSIA,915.0,0.0,157.0,17.0,932.0,2.0,1.0,931.0
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,country_data,45,TURKEY,289.0,2170.0,86.0,0.0,2459.0,107.0,76.0,258.0
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,country_data,46,OTHER E. EUROPE,272.0,2.0,222.0,1.0,275.0,43.0,2.0,232.0
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,subtotal,47,Total,2160.0,2176.0,1060.0,318.0,4654.0,643.0,242.0,2081.0
2024Q1,2024,Q1,Table 2,2,All Others,Eastern Europe,empty,48,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,region_header,49,Latin America and Caribbean,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,50,ANGUILLA,102.0,0.0,100.0,0.0,102.0,26.0,11.0,87.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,51,ARGENTINA,772.0,9770.0,477.0,335.0,10877.0,576.0,284.0,1030.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,52,BRAZIL,5300.0,4265.0,3239.0,805.0,10370.0,981.0,1426.0,6550.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,53,CHILE,2056.0,10431.0,1388.0,14.0,12501.0,314.0,131.0,1888.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,54,COLOMBIA,864.0,1246.0,536.0,0.0,2110.0,281.0,235.0,819.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,55,COSTA RICA,170.0,114.0,132.0,0.0,284.0,59.0,15.0,125.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,709.0,1008.0,432.0,0.0,1717.0,172.0,41.0,573.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,57,ECUADOR,416.0,309.0,262.0,2.0,727.0,205.0,79.0,286.0
