period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,region_header,9,G-10 and Luxembourg,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,10,BELGIUM,21474.0,10260.0,885.0,9375.0,811.0,32545.0,6721.0,331.0,13550.0,14382.0,5071.0,5904.0,105.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,11,CANADA,131842.0,81806.0,13445.0,68361.0,10795.0,224443.0,77685.0,14876.0,26946.0,27447.0,10740.0,11251.0,462.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,12,FRANCE,213397.0,29322.0,2085.0,27237.0,18008.0,260727.0,235403.0,4638.0,217217.0,223038.0,73427.0,79203.0,491.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,13,GERMANY,152037.0,254801.0,1852.0,252949.0,30138.0,436976.0,83634.0,4143.0,162686.0,167855.0,55283.0,60452.0,845.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,14,ITALY,43558.0,8588.0,449.0,8139.0,4980.0,57126.0,8442.0,752.0,141005.0,143872.0,36410.0,39276.0,322.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,15,JAPAN,154317.0,336060.0,30791.0,305269.0,13340.0,503717.0,61795.0,6981.0,77744.0,85023.0,29745.0,37023.0,194.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,16,LUXEMBOURG,83656.0,10575.0,1437.0,9138.0,6674.0,100905.0,36102.0,4845.0,22918.0,24916.0,9706.0,11705.0,764.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,17,NETHERLANDS,44496.0,13210.0,75.0,13135.0,10820.0,68526.0,34711.0,3243.0,117539.0,121477.0,41062.0,44999.0,699.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,18,SWEDEN,18793.0,949.0,16.0,933.0,1399.0,21141.0,9370.0,378.0,22614.0,23254.0,8681.0,9319.0,130.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,19,SWITZERLAND,69320.0,37217.0,7462.0,29755.0,4785.0,111322.0,19374.0,4769.0,58776.0,58433.0,21899.0,21555.0,419.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,20,UNITED KINGDOM,141464.0,355160.0,90771.0,264389.0,64434.0,561058.0,154109.0,16426.0,269908.0,274535.0,93485.0,98099.0,2332.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,subtotal,21,Total,1074354.0,1137948.0,149268.0,988680.0,166184.0,2378486.0,727346.0,61382.0,1130903.0,1164232.0,385509.0,418786.0,6763.0
2023Q1,2023,Q1,Table 1,1,All Banks,G-10 and Luxembourg,empty,22,,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,region_header,23,Non G-10 Developed Countries,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,24,AUSTRALIA,28748.0,91627.0,4245.0,87382.0,7010.0,127385.0,21220.0,2487.0,18005.0,18727.0,8708.0,9431.0,228.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,25,AUSTRIA,8805.0,93.0,0.0,93.0,976.0,9874.0,1204.0,72.0,5226.0,6266.0,1805.0,2843.0,51.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,26,CYPRUS,1778.0,0.0,0.0,0.0,85.0,1863.0,163.0,155.0,0.0,0.0,0.0,0.0,28.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,27,DENMARK,9823.0,464.0,11.0,453.0,3808.0,14095.0,4730.0,105.0,13949.0,14308.0,5002.0,5361.0,26.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,28,FINLAND,11084.0,86.0,0.0,86.0,3107.0,14277.0,2507.0,256.0,13177.0,14027.0,4880.0,5729.0,68.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,29,GREECE,3594.0,164.0,0.0,164.0,185.0,3943.0,37.0,679.0,5338.0,5582.0,1700.0,1944.0,215.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,30,IRELAND,85768.0,27882.0,4582.0,23300.0,5424.0,119074.0,28214.0,10835.0,9399.0,9687.0,4100.0,4387.0,326.0
2023Q1,2023,Q1,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,31,ISRAEL,14469.0,4158.0,266.0,3892.0,1700.0,20327.0,1659.0,814.0,1978.0,2068.0,839.0,928.0,354.0
