period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,8,BELGIUM,2342.0,4151.0,6493.0,14371.0,13908.0,1563.0,5356.0,943.0,3647.0,0.0,334.0,3647.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,9,CANADA,10230.0,39631.0,49861.0,55777.0,20252.0,24157.0,24028.0,4580.0,57262.0,549.0,16370.0,56877.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,10,FRANCE,4842.0,52342.0,57184.0,108479.0,24160.0,9191.0,35218.0,10081.0,143646.0,20.0,74367.0,143612.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,11,GERMANY,32302.0,146783.0,179085.0,134995.0,315338.0,17740.0,35991.0,8488.0,74283.0,1.0,28785.0,74283.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,12,ITALY,1260.0,11389.0,12649.0,57435.0,-4896.0,1244.0,30030.0,10532.0,7683.0,0.0,847.0,7683.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,13,JAPAN,6875.0,86748.0,93623.0,129989.0,272130.0,8100.0,126456.0,26770.0,200560.0,0.0,108094.0,200551.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,14,LUXEMBOURG,86207.0,48907.0,135114.0,102615.0,-107645.0,2698.0,8838.0,6631.0,10883.0,0.0,1221.0,10816.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,15,NETHERLANDS,29156.0,13039.0,42195.0,80879.0,-35670.0,5062.0,13908.0,2393.0,4152.0,0.0,772.0,4110.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,16,SWEDEN,37.0,559.0,596.0,18890.0,-235.0,1808.0,5732.0,581.0,2038.0,0.0,632.0,2038.0
2022Q4,2022,Q4,Table 3,3,All Banks,G-10 and Luxembourg,country_data,17,SWITZERLAND,10812.0,3280.0,14092.0,51876.0,25737.0,1216.0,7212.0,558.0,6070.0,0.0,1364.0,6051.0
