period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,32,PORTUGAL,1.0,0.0,0.0,1.0,3.0,0.0,155.0,0.0,0.0,155.0,155.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,33,SLOVAKIA,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,34,SPAIN,502.0,198.0,1254.0,1954.0,320.0,0.0,447.0,32.0,0.0,479.0,447.0,0.0,184.0,0.0,0.0,184.0,184.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,62.0,118.0,54.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,39,BULGARIA,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,40,CZECH REPUBLIC,49.0,0.0,0.0,49.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,41,HUNGARY,40.0,15.0,0.0,55.0,61.0,9.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,43,POLAND,199.0,32.0,0.0,231.0,179.0,0.0,1.0,3.0,2.0,6.0,1.0,0.0,1.0,7.0,0.0,8.0,1.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,44,ROMANIA,1.0,0.0,0.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,45,RUSSIA,80.0,2.0,0.0,82.0,71.0,0.0,2.0,30.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,46,TURKEY,40.0,0.0,0.0,40.0,40.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,3.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Eastern Europe,country_data,47,OTHER E. EUROPE,18.0,0.0,0.0,18.0,29.0,0.0,21.0,0.0,2.0,23.0,21.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,51,ANGUILLA,30.0,0.0,0.0,30.0,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.0,0.0,0.0,133.0,76.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,52,ARGENTINA,5.0,200.0,0.0,205.0,56.0,34.0,16.0,48.0,0.0,64.0,10.0,1.0,8.0,2.0,0.0,10.0,6.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,53,BRAZIL,2729.0,631.0,1.0,3361.0,2355.0,175.0,228.0,126.0,72.0,426.0,195.0,0.0,423.0,1.0,0.0,424.0,422.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,54,CHILE,722.0,2.0,16.0,740.0,681.0,0.0,67.0,2.0,1.0,70.0,67.0,0.0,48.0,0.0,6.0,54.0,70.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,55,COLOMBIA,390.0,0.0,15.0,405.0,341.0,0.0,8.0,0.0,0.0,8.0,5.0,0.0,25.0,0.0,0.0,25.0,20.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,56,COSTA RICA,39.0,0.0,0.0,39.0,44.0,0.0,14.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,57,DOMINICAN REPUBLIC,102.0,0.0,0.0,102.0,294.0,0.0,23.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,58,ECUADOR,53.0,3.0,0.0,56.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,59,EL SALVADOR,29.0,0.0,0.0,29.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,60,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,61,GUATEMALA,388.0,0.0,0.0,388.0,406.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,62,HONDURAS,19.0,0.0,0.0,19.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,17.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,63,MEXICO,307.0,273.0,8.0,588.0,280.0,9.0,1968.0,586.0,12.0,2566.0,1966.0,0.0,68.0,202.0,21.0,291.0,112.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,64,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,65,PERU,272.0,0.0,1.0,273.0,267.0,0.0,332.0,0.0,0.0,332.0,332.0,0.0,39.0,0.0,0.0,39.0,39.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,66,URUGUAY,3.0,0.0,0.0,3.0,3.0,0.0,14.0,0.0,0.0,14.0,14.0,0.0,20.0,0.0,3.0,23.0,21.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,67,VENEZUELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Latin America and Caribbean,country_data,68,OTHER LAT. AM. & CAR.,9.0,3.0,0.0,12.0,40.0,3.0,14.0,0.0,0.0,14.0,81.0,0.0,249.0,0.0,1.0,250.0,335.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,72,CHINA-MAINLAND,2812.0,510.0,101.0,3423.0,1861.0,221.0,11.0,325.0,56.0,392.0,11.0,30.0,62.0,411.0,0.0,473.0,21.0,135.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,73,INDIA,184.0,532.0,0.0,716.0,855.0,10.0,0.0,706.0,0.0,706.0,0.0,8.0,11.0,2.0,0.0,13.0,12.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,74,INDONESIA,302.0,0.0,0.0,302.0,656.0,0.0,10.0,2.0,19.0,31.0,10.0,1.0,27.0,0.0,0.0,27.0,27.0,0.0
