period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,9,BELGIUM,387.0,21.0,408.0,32.0,0.0,32.0,0.0,440.0,357.0,20.0,377.0,1.0,0.0,1.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,10,CANADA,7791.0,728.0,8519.0,15025.0,6641.0,21666.0,581.0,30766.0,6821.0,705.0,7526.0,4220.0,18.0,4238.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,11,FRANCE,2178.0,112.0,2290.0,7722.0,5277.0,12999.0,0.0,15289.0,2042.0,74.0,2116.0,373.0,0.0,373.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,12,GERMANY,3251.0,608.0,3859.0,4221.0,58.0,4279.0,0.0,8138.0,3066.0,640.0,3706.0,43.0,0.0,43.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,13,ITALY,773.0,31.0,804.0,5217.0,513.0,5730.0,0.0,6534.0,596.0,28.0,624.0,104.0,0.0,104.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,14,JAPAN,978.0,129.0,1107.0,6249.0,1102.0,7351.0,2.0,8460.0,275.0,126.0,401.0,525.0,0.0,525.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,15,LUXEMBOURG,3309.0,80.0,3389.0,72.0,4.0,76.0,3.0,3468.0,3335.0,70.0,3405.0,2.0,0.0,2.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,16,NETHERLANDS,2409.0,96.0,2505.0,1210.0,85.0,1295.0,19.0,3819.0,3952.0,100.0,4052.0,36.0,0.0,36.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,17,SWEDEN,408.0,156.0,564.0,122.0,16.0,138.0,0.0,702.0,450.0,156.0,606.0,5.0,0.0,5.0
2015Q2,2015,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,18,SWITZERLAND,923.0,157.0,1080.0,180.0,0.0,180.0,13.0,1273.0,1157.0,153.0,1310.0,45.0,0.0,45.0
