date,B. BBVA Perú,BanBif (Banco Interamericano de Finanzas),Banco de Crédito del Perú,Interbank,Scotiabank Perú
2010-10-01,721.1407046034531,166.0405071446442,753.7492724543408,418.10934284642036,712.9815801208052
2010-11-01,747.9951704072269,162.4026427588397,774.2230664125899,475.2383628167128,711.9905142529464
2010-12-01,804.9076935023322,160.83921758464768,745.3004601060992,458.33096389432836,706.9879050201157
2011-01-01,786.1434052050641,152.31643524871058,767.8293920391012,402.9586303466435,681.8989648883596
2011-02-01,823.6348051713577,153.33673920501639,759.548198248586,371.01901117517764,660.1401713250923
2011-03-01,847.7840688155171,156.1996599871639,768.0179470405761,407.79540647864184,733.7799542893825
2011-04-01,834.6440587603659,181.06074915302293,907.9519717166347,421.4162527110356,767.9807878340058
2011-05-01,930.1309776573836,193.14354911691373,1072.9098351753532,487.4780694080252,784.9995239281973
2011-06-01,947.8259920304089,191.1973127855371,1000.062885755857,465.37298266041006,693.0759664338718
2011-07-01,952.9712751496792,187.88674437061917,943.2820926000298,497.816810612588,797.8746627518982
2011-08-01,962.7564868091977,194.39615564927195,851.6603956177341,479.9548897796034,777.8285760827318
2011-09-01,948.4305922810681,193.31244203410586,767.2342966182367,392.4402532609876,732.6496189458129
2011-10-01,912.3291830261169,193.51897015256193,758.539512038714,392.91128701562496,667.3528204942562
2011-11-01,905.681592917439,186.12380600148074,740.1014680821912,369.3454270862645,598.5428838504253
2011-12-01,880.7425566560366,185.05951096855486,767.6730495846931,480.267416667903,631.4084824458625
2012-01-01,911.9117677052345,194.84261878346243,772.9931862842067,339.60359065660396,636.1071172479179
2012-02-01,890.6472595964882,194.95914558565283,694.2964857126844,333.73361525126046,632.7715758004861
2012-03-01,866.3146837956369,188.34605490666468,636.3572783267106,328.79265721943216,623.7092157620505
2012-04-01,860.4165690567326,186.27419295486374,635.6906755637256,391.7739291924045,639.3809079016187
2012-05-01,836.7938432972959,192.68866514150773,786.9134053577352,408.9339177336632,670.4175737426661
2012-06-01,827.6438297450114,199.31281911109443,885.8743949301678,426.44009123076404,682.5603807653421
2012-07-01,872.6054871476931,198.69976822486777,1094.9968676543308,532.3062735042413,707.2499125822528
2012-08-01,1003.214047301076,197.53235666015405,1221.6673568976748,544.0570709995027,663.5774881699417
2012-09-01,988.7249270176653,208.01125711811565,1115.6760331139594,461.7478668937379,594.8143942385403
2012-10-01,1000.2980558606858,197.40586774019368,1031.031378242758,501.5432540401897,627.8091610136161
2012-11-01,1015.7583787597931,193.08628526332117,1032.51848486388,435.98276929341534,590.4512388854424
2012-12-01,1041.3606700893556,182.3490847781784,967.6235676869411,397.64803513873704,670.66923934786
2013-01-01,1011.4885938870384,188.51933803749898,1030.8094128689856,357.09185791043643,694.7452255249098
2013-02-01,1002.610618022335,195.48042135322072,1084.94224893543,401.52171599752717,678.9739863866452
2013-03-01,1003.5645679328317,200.12345452229297,992.4790782628837,425.7745972669366,667.9658365566488
2013-04-01,1046.4192498053308,214.22421226989218,932.0489203023994,376.5142070534867,690.7022066225667
2013-05-01,1074.0813122469863,214.6941559042745,923.6910612020455,439.21946009499453,698.6799972378519
2013-06-01,1094.4150488303562,210.53351079808868,1044.279797772108,424.79912571777606,691.8024379424339
2013-07-01,1090.4373529725476,217.53691379791692,1064.4504211782819,429.1676618024975,739.9064381975012
2013-08-01,1174.1328531930055,222.7660045873845,1028.1553709976142,478.8351300637531,867.0869065391591
2013-09-01,1195.0672869212265,225.8345229965159,1015.3395824275287,472.70334150652013,852.4551378892921
2013-10-01,1270.0790989550303,227.45590414024215,1025.9945090083597,479.62282966993354,804.353434163303
2013-11-01,1368.4966034918593,224.2973534740078,1094.5140711760932,481.7401795308488,880.0399909275928
2013-12-01,1394.3236842718723,217.31430136937277,1087.3491804640848,505.34405210054,936.2890095570098
2014-01-01,1379.547792399816,229.79171655033113,1148.8187572086601,477.356851433228,938.1036451263146
2014-02-01,1350.67844922154,244.32975718468794,1075.8318346343372,477.3534347200407,856.798192151122
2014-03-01,1384.020534751041,253.66434048830854,908.9659649250807,443.52735933373657,926.9524738121507
2014-04-01,1346.2275046713664,245.2686608595025,840.2908642099264,500.5963334330278,919.1670805169845
2014-05-01,1403.6598564551105,245.84508901619245,957.0473937942753,538.1173677352901,938.8216700086739
2014-06-01,1552.8841178249677,244.94407952952994,1015.7301334942086,573.3977147969392,929.8296310167304
2014-07-01,1553.4913601258133,230.83110609407422,1106.4246300271645,607.3262062549147,965.725304296232
2014-08-01,1424.3157619141389,244.67355830315384,1044.2411276361595,625.5022081431745,1366.1729907246581
2014-09-01,1433.6323787265694,259.27405733208866,992.0828909628559,535.413189669365,1404.909148025178
2014-10-01,1392.4479333401732,255.0222183988235,991.4812975753223,491.2430260148424,1233.5495488081795
2014-11-01,1449.0239104135287,255.63381668150075,949.6324277796799,495.5314166986167,1238.0995962378483
2014-12-01,1585.1126517477367,255.82697986917148,940.8706430526669,449.07543856423985,1225.0797450754785
2015-01-01,1493.2722334793266,258.0242430723977,947.9004242752093,492.1940697793765,1315.854292433405
2015-02-01,1661.6968958222942,264.37159504038726,957.6392884006463,517.4604151179319,1134.3234231405495
2015-03-01,1644.5972710417623,255.73458040405387,946.8047349093148,508.60070503453164,1158.6710051152136
2015-04-01,1586.1240752373346,273.8983028512071,1103.3161244398277,516.2267988109315,1278.3808830270107
2015-05-01,1693.922625660999,275.78199164687595,1190.884248722333,506.6099674139519,1464.1129591526549
2015-06-01,1876.7279563160514,279.5101871728741,1206.5301930800206,518.256742054605,1466.7560698163063
2015-07-01,1940.2074765312163,292.51782551771726,1251.785595190953,532.8564376139603,1406.1105478868387
2015-08-01,1832.0149160150702,319.09095170465076,1240.0926526403557,520.3955316935335,1442.9734889599158
2015-09-01,1851.7423807685168,326.9250137979157,1181.3164824866635,586.1422806754748,1439.222126730555
2015-10-01,1741.577737589731,319.6249682138945,1098.0124458389096,631.4130053564913,1271.122424108772
2015-11-01,1677.155936047028,306.8083816684937,1008.5091310954474,578.2678527882252,1309.1187321467698
2015-12-01,1756.3720865174475,278.27469740720096,1041.1731254475142,452.55252792605353,1224.9742243693788
