"date","hhi","cr5"
2010-10-01,1977.54147521444,91.3736141066405
2010-11-01,2012.83676991077,92.5696856730825
2010-12-01,2040.51279112221,92.8114770039032
2011-01-01,2063.64284518167,92.4542582452177
2011-02-01,2081.54013258728,92.1573354563349
2011-03-01,2078.49426007945,92.4919935462245
2011-04-01,2087.3133736039,92.8252603333754
2011-05-01,2142.3379120383,93.7606483148101
2011-06-01,2129.75162188233,93.3542993005394
2011-07-01,2090.13336831407,93.3025375136629
2011-08-01,2052.71724876915,92.6315789000767
2011-09-01,2054.86296830902,91.7433397071309
2011-10-01,2032.32896075327,91.5560469296485
2011-11-01,2005.30868027844,90.2662448205299
2011-12-01,1979.92852773693,91.3946664780792
2012-01-01,2052.11056574482,91.1610702519686
2012-02-01,2016.85411742624,90.625589105251
2012-03-01,2017.88767380478,90.7489361140416
2012-04-01,1977.66209701533,90.7958250890756
2012-05-01,1982.71857412394,91.1962171126366
2012-06-01,1994.57348973804,91.2477581287171
2012-07-01,2067.41359362734,92.2906012649646
2012-08-01,2170.34500300055,93.0361542928514
2012-09-01,2155.64537947479,92.4085612768495
2012-10-01,2094.67302185767,92.1356386904341
2012-11-01,2130.01902544199,91.6142499793445
2012-12-01,2055.58215222235,89.8233649094863
2013-01-01,2073.27546875217,89.6215911478712
2013-02-01,2085.35644354091,90.3896295786918
2013-03-01,2030.37540731514,90.1658489173275
2013-04-01,2021.90190288946,89.6607786921661
2013-05-01,2008.06414201064,90.0828924768794
2013-06-01,2028.41660222587,89.4522869693229
2013-07-01,2020.76897939954,89.6228614511625
2013-08-01,2006.41567484049,89.9939294925793
2013-09-01,1998.5822688611,89.6532466471512
2013-10-01,2048.06495776624,90.2263538217287
2013-11-01,2094.41553399605,90.5943854258152
2013-12-01,2084.50419955691,90.4475720753094
2014-01-01,2094.53179002818,90.5799843969147
2014-02-01,2024.81744309878,89.160048334381
2014-03-01,2001.84713918967,88.1996023458338
2014-04-01,1962.91051531301,88.0047343804464
2014-05-01,1965.5968504268,88.2756066279677
2014-06-01,2012.43569491884,88.4218556019734
2014-07-01,1978.85857743464,88.3613027752836
2014-08-01,1946.72673335307,88.277634667757
2014-09-01,1974.8039925717,87.7026500479343
2014-10-01,1921.64308842014,87.0297919543155
2014-11-01,1907.15303273058,86.5820793291165
2014-12-01,2001.80267894488,86.881232159262
2015-01-01,1983.5551583573,87.273072070031
2015-02-01,1988.11063307477,86.9188077403593
2015-03-01,1989.77935621665,86.9732549427253
