"date","bank_type","tf_usd_millions"
2024-04-01,"Large Domestic",643.101331429333
2024-04-01,"Other Domestic",2220.97687554549
2024-05-01,"Consumer/Retail",0
2024-05-01,"Foreign",2644.08105645554
2024-05-01,"Large Domestic",701.754570089107
2024-05-01,"Other Domestic",2489.54391314121
2024-06-01,"Consumer/Retail",0
2024-06-01,"Foreign",2609.5716532569
2024-06-01,"Large Domestic",701.320769504951
2024-06-01,"Other Domestic",2698.89627315268
2024-07-01,"Consumer/Retail",0
2024-07-01,"Foreign",2680.55781931127
2024-07-01,"Large Domestic",706.488229749799
2024-07-01,"Other Domestic",2696.52141250201
2024-08-01,"Consumer/Retail",0
2024-08-01,"Foreign",2596.07607712525
2024-08-01,"Large Domestic",744.606728309942
2024-08-01,"Other Domestic",2606.31472887828
2024-09-01,"Consumer/Retail",0
2024-09-01,"Foreign",2636.63929310512
2024-09-01,"Large Domestic",678.729945175474
2024-09-01,"Other Domestic",2502.9103556203
2024-10-01,"Consumer/Retail",0
2024-10-01,"Foreign",2497.84050260554
2024-10-01,"Large Domestic",624.348570238
2024-10-01,"Other Domestic",2453.7739744647
2024-11-01,"Consumer/Retail",0
2024-11-01,"Foreign",2446.23518949744
2024-11-01,"Large Domestic",614.182438266396
2024-11-01,"Other Domestic",2470.33182356067
2024-12-01,"Consumer/Retail",0
2024-12-01,"Foreign",2408.66060383676
2024-12-01,"Large Domestic",626.486607458608
2024-12-01,"Other Domestic",2382.34259509924
