"date","bank_type","tf_usd_millions"
2013-11-01,"Foreign",991.60055891174
2013-11-01,"Large Domestic",1850.23678302271
2013-11-01,"Other Domestic",1627.63190780848
2013-12-01,"Consumer/Retail",0
2013-12-01,"Foreign",1074.52082210662
2013-12-01,"Large Domestic",1899.66773637241
2013-12-01,"Other Domestic",1603.73446671315
2014-01-01,"Consumer/Retail",0
2014-01-01,"Foreign",1084.43157439322
2014-01-01,"Large Domestic",1856.90464383304
2014-01-01,"Other Domestic",1666.32494500585
2014-02-01,"Consumer/Retail",0
2014-02-01,"Foreign",1049.56925833095
2014-02-01,"Large Domestic",1828.03188394158
2014-02-01,"Other Domestic",1614.31170740608
2014-03-01,"Consumer/Retail",0
2014-03-01,"Foreign",1114.73941840054
2014-03-01,"Large Domestic",1827.54789408478
2014-03-01,"Other Domestic",1498.92395052141
2014-04-01,"Consumer/Retail",0
2014-04-01,"Foreign",1108.16763464003
2014-04-01,"Large Domestic",1846.82383810439
2014-04-01,"Other Domestic",1421.53493893755
2014-05-01,"Consumer/Retail",0
2014-05-01,"Foreign",1144.72761407763
2014-05-01,"Large Domestic",1941.7772241904
2014-05-01,"Other Domestic",1539.33862290372
2014-06-01,"Consumer/Retail",0
2014-06-01,"Foreign",1155.52060717503
2014-06-01,"Large Domestic",2126.28183262191
2014-06-01,"Other Domestic",1600.23226448949
2014-07-01,"Consumer/Retail",0
2014-07-01,"Foreign",1224.11011260276
2014-07-01,"Large Domestic",2160.81756638073
2014-07-01,"Other Domestic",1696.06818585317
2014-08-01,"Consumer/Retail",0
2014-08-01,"Foreign",1624.34275452692
2014-08-01,"Large Domestic",2049.81797005731
2014-08-01,"Other Domestic",1669.82460413839
2014-09-01,"Consumer/Retail",0
2014-09-01,"Foreign",1658.79076265477
2014-09-01,"Large Domestic",1969.04556839593
2014-09-01,"Other Domestic",1646.0198890157
2014-10-01,"Consumer/Retail",0
2014-10-01,"Foreign",1514.35951153859
2014-10-01,"Large Domestic",1883.69095935502
2014-10-01,"Other Domestic",1645.66119369721
2014-11-01,"Consumer/Retail",0
2014-11-01,"Foreign",1538.83943977817
2014-11-01,"Large Domestic",1944.55532711215
2014-11-01,"Other Domestic",1636.63379908942
2014-12-01,"Consumer/Retail",0
2014-12-01,"Foreign",1495.22946122442
2014-12-01,"Large Domestic",2034.18809031198
2014-12-01,"Other Domestic",1615.86881640389
2015-01-01,"Consumer/Retail",0
2015-01-01,"Foreign",1558.41117224383
2015-01-01,"Large Domestic",1985.4663032587
2015-01-01,"Other Domestic",1620.65398435365
2015-02-01,"Consumer/Retail",0
2015-02-01,"Foreign",1413.29357090468
2015-02-01,"Large Domestic",2179.15731094023
2015-02-01,"Other Domestic",1642.42323635218
2015-03-01,"Consumer/Retail",0
2015-03-01,"Foreign",1436.37057292648
2015-03-01,"Large Domestic",2153.19797607629
2015-03-01,"Other Domestic",1626.25703657458
2015-04-01,"Consumer/Retail",0
2015-04-01,"Foreign",1542.71995140802
2015-04-01,"Large Domestic",2102.35087404827
2015-04-01,"Other Domestic",1800.74123927122
2015-05-01,"Consumer/Retail",0
2015-05-01,"Foreign",1686.86974826636
2015-05-01,"Large Domestic",2200.53259307495
2015-05-01,"Other Domestic",1889.29623163611
2015-06-01,"Consumer/Retail",0
2015-06-01,"Foreign",1642.49176763337
2015-06-01,"Large Domestic",2394.98469837066
2015-06-01,"Other Domestic",1924.97248376636
2015-07-01,"Consumer/Retail",0
2015-07-01,"Foreign",1596.20119968671
2015-07-01,"Large Domestic",2473.06391414518
