"date","tf_total","credit_total","tf_pct_total"
2010-10-01,3033.72197134994,188212.599712034,1.61185912951181
2010-11-01,3102.36524599478,191244.010668431,1.62220256475038
2010-12-01,3099.14930023854,195324.478155356,1.58666713435351
2011-01-01,3018.94891669011,197524.219322999,1.52839430376556
2011-02-01,3003.21066296083,199637.340192818,1.50433313730799
2011-03-01,3150.08567217785,202628.916545675,1.55460816051286
2011-04-01,3353.67098244029,207660.446989599,1.6149782161493
2011-05-01,3699.48589054069,216030.416396955,1.71248380308766
2011-06-01,3532.27988895315,218867.838674033,1.61388713405897
2011-07-01,3622.4433713712,221287.79478114,1.63698290497852
2011-08-01,3526.43940946129,223426.738584729,1.57834260652915
2011-09-01,3307.1253050366,223033.491744133,1.48279313531556
2011-10-01,3194.38406397621,228593.532441229,1.39740789245535
2011-11-01,3101.70782389856,232247.947121363,1.33551571169658
2011-12-01,3222.45392408039,238018.951569249,1.35386443089296
2012-01-01,3132.32202384741,240106.668227339,1.30455436617931
2012-02-01,3030.49956316084,240336.200491594,1.26094177945816
2012-03-01,2913.00372567284,244337.766418866,1.19220363203251
2012-04-01,2988.61348746731,248246.324822678,1.20389032530575
2012-05-01,3175.29333667023,248599.69793408,1.27727159890283
2012-06-01,3311.67754447149,255851.560301419,1.29437457429222
2012-07-01,3690.36311653798,261313.164937146,1.41223773299965
2012-08-01,3901.76093113435,265557.316873003,1.46927261394205
2012-09-01,3645.7384811877,269414.226927741,1.35320933967066
2012-10-01,3644.72180865893,271150.662570255,1.34416850547602
2012-11-01,3566.90925025596,276634.682075041,1.28939337016621
2012-12-01,3628.95623018106,282499.826460221,1.28458706529225
2013-01-01,3662.79418406291,274910.693950221,1.33235784007957
2013-02-01,3721.14478881332,276770.923658816,1.34448544652779
2013-03-01,3648.7290632156,280052.666032349,1.30287246142271
2013-04-01,3635.8247648573,278646.678167019,1.30481539876029
2013-05-01,3719.20338542199,275592.000316113,1.34953241790616
2013-06-01,3874.50118771066,278906.413562022,1.38917608176445
2013-07-01,3951.55737119439,282720.009042342,1.39769285682308
2013-08-01,4190.25626133134,287299.676040407,1.45849668857337
2013-09-01,4195.49766730127,291451.668678922,1.43951746315896
2013-10-01,4219.9486232812,295558.505011008,1.42778791736141
2013-11-01,4469.46924974293,300614.562836225,1.48677735621807
2013-12-01,4577.92302519217,303113.193092281,1.51030147467004
2014-01-01,4607.66116323212,303627.226340857,1.51753886460086
2014-02-01,4491.91284967862,307678.84654103,1.4599355464886
2014-03-01,4441.21126300673,310580.538689308,1.42997088025838
2014-04-01,4376.52641168198,314475.693213985,1.39168988450372
2014-05-01,4625.84346117175,320310.03660467,1.44417687007448
2014-06-01,4882.03470428643,323033.792382293,1.51130773913238
2014-07-01,5080.99586483666,325211.426369701,1.56236695664579
2014-08-01,5343.98532872262,322888.82738652,1.65505427114872
2014-09-01,5273.85622006641,320953.37427082,1.64318453795607
2014-10-01,5043.71166459081,321273.783601057,1.56991074965951
2014-11-01,5120.02856597974,324506.181385407,1.57779076630248
2014-12-01,5145.28636794029,323932.255749581,1.58838345876797
2015-01-01,5164.53145985619,319675.101872495,1.61555636632474
2015-02-01,5234.87411819709,317913.516249725,1.64663465081649
2015-03-01,5215.82558557736,327857.534978587,1.59088171815786
2015-04-01,5445.81206472751,330736.152194694,1.64657296415595
2015-05-01,5776.69857297742,332151.975398388,1.73917333053605
2015-06-01,5962.44894977038,331948.378360531,1.79619764350665
2015-07-01,6070.45073062126,333494.339973793,1.82025599927672
2015-08-01,5972.22939764067,335549.175552035,1.77983730337449
2015-09-01,6010.24493652153,341121.515234416,1.76190731692527
2015-10-01,5677.20082138338,337267.686323701,1.68329224873756
2015-11-01,5475.93564934699,334743.304343546,1.63586114443295
2015-12-01,5298.59149447163,331920.594130959,1.59634309776545
2016-01-01,5331.65135335907,329163.42164701,1.6197581513406
2016-02-01,5314.80587386605,325862.943181475,1.63099425236156
2016-03-01,5081.730116807,342001.257972034,1.48588053358054
2016-04-01,4977.91662258055,347790.610663641,1.43129701318902
2016-05-01,4864.9935712194,339722.767817224,1.43204813809737
2016-06-01,4963.43102574519,347380.461276078,1.42881698282983
2016-07-01,5269.60531212202,345516.328876694,1.52513929783116
2016-08-01,5342.03027832656,342840.913208724,1.55816592259346
2016-09-01,5152.19210171896,343689.297163817,1.49908424388997
2016-10-01,5014.95810371284,345510.328074495,1.45146402183138
2016-11-01,4906.21633738427,344411.820923122,1.42452030950454
2016-12-01,5004.76345097987,350505.466715913,1.42787029767962
2017-01-01,5241.125101066,354277.776209317,1.47938297376277
2017-02-01,5254.64961227436,356434.038458718,1.47422777998318
2017-03-01,5252.41973258275,358332.952982281,1.46579310913738
2017-04-01,5218.45461357557,360017.495745562,1.44950028130401
2017-05-01,5348.89197374465,358370.334969319,1.49255991688112
2017-06-01,5193.24916335885,359283.354660211,1.44544663592064
2017-07-01,5085.5345294693,363666.358893027,1.39840664529688
2017-08-01,5014.63200078934,364379.870115256,1.37620994244363
2017-09-01,5303.61504155876,365217.997480547,1.45217789871959
2017-10-01,5284.50377942706,369567.840003861,1.42991440471981
2017-11-01,5574.48993768756,375764.228040614,1.48350734894463
2017-12-01,5308.78177562481,378820.669083122,1.40139707489401
2018-01-01,5513.77566089241,380306.842519714,1.44982289152649
2018-02-01,5749.18149596653,377766.614396604,1.52188713265452
2018-03-01,5938.18672381439,384816.651268175,1.54312104329293
2018-04-01,6083.00967657918,387262.011796776,1.57077366002307
2018-05-01,6605.73057612706,389415.344307697,1.69632005330215
2018-06-01,6728.16313890094,391514.676021429,1.71849576809547
2018-07-01,6665.97908556462,392677.428549436,1.69757123809967
2018-08-01,6426.33868760499,391919.079148161,1.63971060086503
2018-09-01,6675.60636353636,395953.399131318,1.68595758444857
2018-10-01,6497.77032429335,393308.756275179,1.65207873474019
2018-11-01,6230.33717468672,394574.635578127,1.57900093237319
2018-12-01,6117.91301670665,400874.451561599,1.52614191123292
2019-01-01,6010.09962412665,401155.423128136,1.49819727657201
2019-02-01,5909.33973434331,402036.582320157,1.46985125090868
2019-03-01,5720.76204831491,405842.300729136,1.40960221200131
2019-04-01,5826.5174448353,409113.687008991,1.4241805223953
2019-05-01,5854.39804718116,406344.366475337,1.44074792963482
2019-06-01,5990.76072814286,416401.297617796,1.43869886151066
2019-07-01,5775.07836276583,415958.903114729,1.38837714964667
2019-08-01,5844.67870453195,411395.99864873,1.42069410585649
2019-09-01,5727.23571544781,414136.224643648,1.3829352214663
2019-10-01,5617.74035562157,422850.763251015,1.32853972224871
2019-11-01,5581.19857268369,422138.285456983,1.32212565525579
2019-12-01,5250.81043747435,431632.01385958,1.21650161917382
2020-01-01,5205.76792985437,424240.976270305,1.22707805729202
2020-02-01,5152.628601766,418831.025086132,1.23024042946827
2020-03-01,5605.61546773687,429521.713781845,1.30508313965798
2020-04-01,5650.1918038349,438278.144696165,1.28917945651885
2020-05-01,5589.64478686265,462998.150662855,1.20727151476959
2020-06-01,5401.60701213182,452460.587402212,1.19382928867793
2020-07-01,5211.72528768795,459113.001605819,1.13517266325701
2020-08-01,4686.63789394016,461069.079521543,1.01647195661083
2020-09-01,4104.43975879608,453505.060172075,0.905048282645119
2020-10-01,3811.02685452407,453230.922403569,0.840857643673887
2020-11-01,3588.47454711672,453480.810102384,0.791317839073837
2020-12-01,3537.95450404846,449858.977283172,0.786458575399603
2021-01-01,3849.20254657655,445770.240423041,0.863494732829991
2021-02-01,3993.09185283096,442508.062806311,0.902377196814776
2021-03-01,4096.86656369371,433467.05685034,0.945139082416637
2021-04-01,4249.92211398686,434462.553188514,0.978202167896117
2021-05-01,4628.39180315756,439184.402777325,1.05386069584631
2021-06-01,4769.05347034043,440138.33200785,1.08353513509825
2021-07-01,5040.91247326252,426903.935287991,1.18080721599858
2021-08-01,5034.33332906035,423832.847164078,1.18781103511579
2021-09-01,4916.63891740402,418286.579732376,1.17542353870156
2021-10-01,4932.71472505762,431437.195430203,1.14332161837345
2021-11-01,4932.540714669,428087.448856188,1.15222736098624
2021-12-01,5086.02873287462,438698.268037111,1.15934552366283
2022-01-01,5293.21541594734,450145.786381904,1.17588913993667
2022-02-01,5323.27491877045,459854.188538414,1.1576006159017
2022-03-01,5659.48778337891,472213.170189428,1.19850274000376
2022-04-01,5838.24861987437,460902.554703018,1.26669912333991
2022-05-01,6052.42061597398,476378.721401373,1.27050607931636
2022-06-01,6278.66047006248,469689.343037788,1.33676877347361
2022-07-01,6632.22995180247,464962.658500191,1.42640055723953
2022-08-01,6520.02092095999,468782.410559805,1.39084163016569
2022-09-01,6206.8966808509,454161.889985944,1.36667052381762
2022-10-01,6056.75181536168,453512.422300594,1.3355205982312
2022-11-01,6143.66556827604,465533.650888676,1.31970386169682
2022-12-01,6057.58552616115,467320.889687238,1.29623683850625
2023-01-01,6258.37906928993,461139.514875718,1.35715523554225
2023-02-01,6412.73080785298,462290.041131063,1.38716611592222
2023-03-01,6359.90307585309,469519.533692635,1.35455558703475
2023-04-01,6273.72251898707,476370.598121269,1.31698357197729
2023-05-01,6118.78187407136,478528.686259395,1.27866563693416
2023-06-01,6171.67683372746,481892.505077077,1.2807165018556
2023-07-01,6115.45145509718,482960.025367213,1.2662438160275
2023-08-01,6059.16577432963,475234.158263739,1.2749853243855
2023-09-01,6107.16786392483,465233.294654943,1.31271083434698
2023-10-01,5956.41727833711,460061.889262931,1.29469913012789
2023-11-01,6093.04639841104,469449.140975564,1.29791405853871
2023-12-01,5989.33980344336,472672.553640995,1.26712239949358
2024-01-01,5794.22863590519,457382.721525241,1.26682280795022
2024-02-01,5637.84376555071,456630.032823813,1.23466337303443
2024-03-01,5422.48377466792,464890.475920651,1.16640027179078
2024-04-01,5385.61365134408,466038.262309405,1.15561619869069
2024-05-01,5835.37953968585,469801.391014798,1.24209498977453
2024-06-01,6009.78869591454,461965.773167392,1.30091644121369
2024-07-01,6083.56746156309,470361.727753162,1.2933806265708
2024-08-01,5946.99753431346,466731.533954573,1.27417950184876
2024-09-01,5818.27959390089,470020.807818335,1.23787702525495
2024-10-01,5575.96304730823,462291.43433007,1.20615755197555
2024-11-01,5530.74945132451,467636.59859102,1.18270243774515
2024-12-01,5417.48980639461,466317.407159918,1.16176014946333
