"date","size_category","tf_usd_millions"
2010-10-01,"Corporate",1221.10802577647
2010-10-01,"Large",1242.76724711391
2010-10-01,"Medium",540.382205043068
2010-10-01,"Small",25.6866568033168
2010-10-01,"Micro",3.77783661317416
2010-11-01,"Corporate",1193.38877617334
2010-11-01,"Large",1282.86096488108
2010-11-01,"Medium",596.841851792645
2010-11-01,"Small",24.4282659361987
2010-11-01,"Micro",4.84538721151811
2010-12-01,"Corporate",1132.19857132125
2010-12-01,"Large",1292.85304354684
2010-12-01,"Medium",645.056977078364
2010-12-01,"Small",24.4309549008438
2010-12-01,"Micro",4.60975339124862
2011-01-01,"Corporate",1077.18938852938
2011-01-01,"Large",1292.62208908127
2011-01-01,"Medium",621.764048288425
2011-01-01,"Small",22.572870277387
2011-01-01,"Micro",4.80052051365292
2011-02-01,"Corporate",947.333525503621
2011-02-01,"Large",1384.69414240874
2011-02-01,"Medium",645.65122755775
2011-02-01,"Small",20.995818429493
2011-02-01,"Micro",4.53594906122743
2011-03-01,"Corporate",1000.68805079512
2011-03-01,"Large",1456.75063552378
2011-03-01,"Medium",668.051940216073
2011-03-01,"Small",20.8310630678172
2011-03-01,"Micro",3.76398257505528
2011-04-01,"Corporate",1225.09430485151
2011-04-01,"Large",1445.89680220781
2011-04-01,"Medium",656.455025972783
2011-04-01,"Small",21.7563971507548
2011-04-01,"Micro",4.46845225742434
2011-05-01,"Corporate",1490.62413037165
2011-05-01,"Large",1491.62597363383
2011-05-01,"Medium",690.113021096543
2011-05-01,"Small",21.7355164337053
2011-05-01,"Micro",5.38724900494817
2011-06-01,"Corporate",1337.09638028517
2011-06-01,"Large",1520.56446124691
2011-06-01,"Medium",647.317455652554
2011-06-01,"Small",20.5216162701877
2011-06-01,"Micro",6.77997549832678
2011-07-01,"Corporate",1330.51796420123
2011-07-01,"Large",1559.91455723569
2011-07-01,"Medium",696.664783155666
2011-07-01,"Small",27.1451987770152
2011-07-01,"Micro",8.20086800160631
2011-08-01,"Corporate",1309.94338930287
2011-08-01,"Large",1500.38019500899
2011-08-01,"Medium",674.288429781071
2011-08-01,"Small",31.6961660530272
2011-08-01,"Micro",10.1312293153398
2011-09-01,"Corporate",1157.48440212712
2011-09-01,"Large",1486.06028113711
2011-09-01,"Medium",627.990338893896
2011-09-01,"Small",27.2255888344089
2011-09-01,"Micro",8.36469404405668
2011-10-01,"Corporate",1093.96410343172
2011-10-01,"Large",1388.10130391563
2011-10-01,"Medium",682.46455324517
2011-10-01,"Small",24.8568031879133
2011-10-01,"Micro",4.99730019578146
2011-11-01,"Corporate",1016.74774663828
2011-11-01,"Large",1380.28818149944
2011-11-01,"Medium",674.749778844872
2011-11-01,"Small",23.3891674861163
2011-11-01,"Micro",6.5329494298408
2011-12-01,"Corporate",1096.43532972041
2011-12-01,"Large",1350.72142812964
2011-12-01,"Medium",746.126740803916
2011-12-01,"Small",23.1295629301394
2011-12-01,"Micro",6.0408624962919
2012-01-01,"Corporate",1093.09655205607
2012-01-01,"Large",1320.48186709176
2012-01-01,"Medium",689.338957235277
2012-01-01,"Small",22.5800653033908
2012-01-01,"Micro",6.82458216091612
2012-02-01,"Corporate",967.825582921726
2012-02-01,"Large",1295.55246354568
2012-02-01,"Medium",740.853161827013
2012-02-01,"Small",21.8054935027088
2012-02-01,"Micro",4.46286136372128
2012-03-01,"Corporate",903.26582583777
2012-03-01,"Large",1304.10395251518
2012-03-01,"Medium",678.945971658295
2012-03-01,"Small",22.3613344778469
2012-03-01,"Micro",4.32664118374691
2012-04-01,"Corporate",984.466179633911
2012-04-01,"Large",1327.60702813128
2012-04-01,"Medium",647.9378407246
2012-04-01,"Small",22.0873585326107
2012-04-01,"Micro",6.51508044491605
2012-05-01,"Corporate",1024.36540725434
2012-05-01,"Large",1393.64116652891
2012-05-01,"Medium",725.005843068521
2012-05-01,"Small",23.9225295634847
2012-05-01,"Micro",8.35839025497214
2012-06-01,"Corporate",1211.72440638409
2012-06-01,"Large",1340.24483121279
2012-06-01,"Medium",723.549760860449
2012-06-01,"Small",24.8004577751151
2012-06-01,"Micro",11.3580882390384
2012-07-01,"Corporate",1385.62341776654
2012-07-01,"Large",1589.54425066373
2012-07-01,"Medium",681.483775634248
2012-07-01,"Small",26.6015205887946
2012-07-01,"Micro",7.11015188467537
2012-08-01,"Corporate",1529.92289600429
2012-08-01,"Large",1594.39646679692
2012-08-01,"Medium",739.418534245106
2012-08-01,"Small",31.9122295636517
2012-08-01,"Micro",6.11080452438417
2012-09-01,"Corporate",1322.05889849902
2012-09-01,"Large",1596.9767633799
2012-09-01,"Medium",693.402554705
2012-09-01,"Small",29.8633609129046
2012-09-01,"Micro",3.4369036908748
2012-10-01,"Corporate",1233.69495453003
2012-10-01,"Large",1679.09938959772
2012-10-01,"Medium",698.273453276508
2012-10-01,"Small",28.6900595402476
2012-10-01,"Micro",4.96395171442897
2012-11-01,"Corporate",1136.76295221438
2012-11-01,"Large",1679.72311146359
2012-11-01,"Medium",720.958719169318
2012-11-01,"Small",25.6880447219421
2012-11-01,"Micro",3.77642268672923
2012-12-01,"Corporate",1183.94333973585
2012-12-01,"Large",1688.98531217275
2012-12-01,"Medium",723.840519282018
2012-12-01,"Small",28.4206554514814
2012-12-01,"Micro",3.76640353895595
2013-01-01,"Corporate",1228.8297836639
2013-01-01,"Large",1687.39088067715
2013-01-01,"Medium",720.037479298056
2013-01-01,"Small",23.7649976524367
2013-01-01,"Micro",2.77104277136438
2013-02-01,"Corporate",1295.87001925886
2013-02-01,"Large",1699.63526895166
2013-02-01,"Medium",702.254888558291
2013-02-01,"Small",21.6283668998029
2013-02-01,"Micro",1.75624514471193
2013-03-01,"Corporate",1233.98836364022
2013-03-01,"Large",1691.90199158078
2013-03-01,"Medium",694.665148627678
2013-03-01,"Small",25.6887819301293
2013-03-01,"Micro",2.48477743678826
2013-04-01,"Corporate",1201.93625477225
2013-04-01,"Large",1708.11770854281
2013-04-01,"Medium",701.104181564922
2013-04-01,"Small",22.3980750822151
2013-04-01,"Micro",2.26854489510489
2013-05-01,"Corporate",1222.10745710267
2013-05-01,"Large",1807.66100186701
2013-05-01,"Medium",666.759674377055
2013-05-01,"Small",20.1004239788089
2013-05-01,"Micro",2.57482809645598
2013-06-01,"Corporate",1229.82250738798
2013-06-01,"Large",1962.36410923856
2013-06-01,"Medium",657.263816971505
2013-06-01,"Small",22.556981246182
2013-06-01,"Micro",2.49377286643429
2013-07-01,"Corporate",1342.53603029457
2013-07-01,"Large",1952.70421497906
2013-07-01,"Medium",625.88275878521
2013-07-01,"Small",23.0676317405777
2013-07-01,"Micro",7.36673539496761
2013-08-01,"Corporate",1552.20348007978
2013-08-01,"Large",1975.09401836022
2013-08-01,"Medium",631.486395551519
2013-08-01,"Small",23.64124389714
2013-08-01,"Micro",7.8311234426755
2013-09-01,"Corporate",1587.64174666116
2013-09-01,"Large",1941.62639834405
2013-09-01,"Medium",633.050963472108
2013-09-01,"Small",22.0878410862459
2013-09-01,"Micro",11.0907177377061
2013-10-01,"Corporate",1604.57961711949
2013-10-01,"Large",1933.06515582661
2013-10-01,"Medium",653.422024124387
2013-10-01,"Small",22.6973653070049
2013-10-01,"Micro",6.18446090371865
2013-11-01,"Corporate",1754.56200221365
2013-11-01,"Large",2030.01903064839
2013-11-01,"Medium",655.341608972437
2013-11-01,"Small",23.1856711510997
2013-11-01,"Micro",6.36093675735504
2013-12-01,"Corporate",1882.4464736637
2013-12-01,"Large",2067.96573410562
2013-12-01,"Medium",601.807075015195
2013-12-01,"Small",23.0110912724802
2013-12-01,"Micro",2.69265113518538
2014-01-01,"Corporate",1986.58364107997
2014-01-01,"Large",2052.18505443433
2014-01-01,"Medium",552.151826265812
2014-01-01,"Small",21.0720092584063
2014-01-01,"Micro",-4.33136780639903
2014-02-01,"Corporate",1913.72430286388
2014-02-01,"Large",1969.94958102057
2014-02-01,"Medium",584.125687291101
2014-02-01,"Small",21.4877781066991
2014-02-01,"Micro",2.62550039637194
2014-03-01,"Corporate",1913.31207407197
2014-03-01,"Large",1894.94154161654
2014-03-01,"Medium",604.919377709364
2014-03-01,"Small",22.9813343808948
2014-03-01,"Micro",5.05693522796028
2014-04-01,"Corporate",1760.84920754112
2014-04-01,"Large",1955.24153384605
2014-04-01,"Medium",605.763576636046
2014-04-01,"Small",20.5342286797693
2014-04-01,"Micro",34.1378649789931
2014-05-01,"Corporate",1951.41680195171
2014-05-01,"Large",2023.08804105465
2014-05-01,"Medium",596.497571172473
2014-05-01,"Small",21.2077444267746
2014-05-01,"Micro",33.6333025661414
2014-06-01,"Corporate",2053.74363287216
2014-06-01,"Large",2163.56326661662
2014-06-01,"Medium",605.500278743029
2014-06-01,"Small",23.3843944015444
2014-06-01,"Micro",35.8431316530816
2014-07-01,"Corporate",2270.95167808993
2014-07-01,"Large",2147.3037115698
2014-07-01,"Medium",605.486519744084
2014-07-01,"Small",20.7303131817857
2014-07-01,"Micro",36.5236422510544
2014-08-01,"Corporate",2446.69965429134
2014-08-01,"Large",2239.51807048979
2014-08-01,"Medium",602.425090130445
2014-08-01,"Small",19.8565921275623
2014-08-01,"Micro",35.4859216834851
2014-09-01,"Corporate",2343.97957768209
2014-09-01,"Large",2244.77735857716
2014-09-01,"Medium",627.555801999032
2014-09-01,"Small",20.420952365636
2014-09-01,"Micro",37.1225294424846
2014-10-01,"Corporate",2140.98670084128
2014-10-01,"Large",2202.98473786806
2014-10-01,"Medium",672.545562268732
2014-10-01,"Small",20.7643784720085
2014-10-01,"Micro",6.43028514072706
2014-11-01,"Corporate",2183.42954937355
2014-11-01,"Large",2208.1251217753
2014-11-01,"Medium",698.892060492264
2014-11-01,"Small",20.849541808161
2014-11-01,"Micro",8.73229253046694
2014-12-01,"Corporate",2193.13802090574
2014-12-01,"Large",2224.88243717209
2014-12-01,"Medium",701.570926860114
2014-12-01,"Small",21.4367924723247
2014-12-01,"Micro",4.25819053002348
2015-01-01,"Corporate",2268.56466264422
2015-01-01,"Large",2171.63820978918
2015-01-01,"Medium",702.41346773329
2015-01-01,"Small",18.7559095701912
2015-01-01,"Micro",3.15921011930054
2015-02-01,"Corporate",2350.2318871567
2015-02-01,"Large",2166.18925096284
2015-02-01,"Medium",697.880447880453
2015-02-01,"Small",16.9511200387722
2015-02-01,"Micro",3.62141215831987
2015-03-01,"Corporate",2353.6576141096
2015-03-01,"Large",2148.31282629897
2015-03-01,"Medium",694.88392256503
2015-03-01,"Small",16.7636141095979
2015-03-01,"Micro",2.20760849415865
2015-04-01,"Corporate",2437.41057037558
2015-04-01,"Large",2295.66864781525
2015-04-01,"Medium",694.838270557775
2015-04-01,"Small",15.1328177561131
2015-04-01,"Micro",2.76175822279048
2015-05-01,"Corporate",2741.00447843957
2015-05-01,"Large",2347.63942085748
2015-05-01,"Medium",669.152185196796
2015-05-01,"Small",15.7085833475824
2015-05-01,"Micro",3.19390513599949
2015-06-01,"Corporate",2887.15468106442
2015-06-01,"Large",2385.11912661676
2015-06-01,"Medium",670.971891419226
2015-06-01,"Small",15.4069948100151
2015-06-01,"Micro",3.79625585996477
2015-07-01,"Corporate",2975.32500819574
2015-07-01,"Large",2437.63954604468
2015-07-01,"Medium",636.62811547041
2015-07-01,"Small",18.0801434380776
2015-07-01,"Micro",2.77791747235189
2015-08-01,"Corporate",2834.59815723241
2015-08-01,"Large",2457.2689096319
2015-08-01,"Medium",659.376562615032
2015-08-01,"Small",18.9521281514422
2015-08-01,"Micro",2.03364000988203
2015-09-01,"Corporate",2849.74172787185
2015-09-01,"Large",2471.05219617913
2015-09-01,"Medium",669.3287525245
2015-09-01,"Small",18.3241668217343
2015-09-01,"Micro",1.7980931243022
2015-10-01,"Corporate",2569.30614705864
2015-10-01,"Large",2399.77554433934
2015-10-01,"Medium",688.350055018858
2015-10-01,"Small",18.2032999574157
2015-10-01,"Micro",1.5657750091252
2015-11-01,"Corporate",2482.79038796458
2015-11-01,"Large",2281.87167722036
2015-11-01,"Medium",693.053191814493
2015-11-01,"Small",15.7574253857316
2015-11-01,"Micro",2.46296696182663
2015-12-01,"Corporate",2435.08935178859
2015-12-01,"Large",2151.4170020508
2015-12-01,"Medium",693.398763182258
2015-12-01,"Small",15.976667450854
2015-12-01,"Micro",2.70970999912109
2016-01-01,"Corporate",2528.7543633268
2016-01-01,"Large",2106.64326145425
2016-01-01,"Medium",680.769378845932
2016-01-01,"Small",12.6791720125605
2016-01-01,"Micro",2.80517771952063
2016-02-01,"Corporate",2597.02810949423
2016-02-01,"Large",2040.9525806286
2016-02-01,"Medium",663.126334689246
2016-02-01,"Small",12.8828101551641
2016-02-01,"Micro",0.816038898817122
