period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,25,DENMARK,2434.0,7.0,640.0,3081.0,1661.0,0.0,946.0,414.0,431.0,1791.0,471.0,1.0,1426.0,9.0,1312.0,2747.0,1491.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,26,FINLAND,6571.0,20.0,465.0,7056.0,6209.0,0.0,3426.0,3.0,125.0,3554.0,3311.0,0.0,421.0,2.0,199.0,622.0,437.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,27,GREECE,1452.0,0.0,656.0,2108.0,1454.0,0.0,1196.0,4.0,729.0,1929.0,1196.0,0.0,447.0,69.0,0.0,516.0,447.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,28,IRELAND,1944.0,691.0,130.0,2765.0,1511.0,412.0,1440.0,5899.0,44.0,7383.0,1453.0,68.0,72768.0,4557.0,6456.0,83781.0,75063.0,1968.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,29,ISRAEL,736.0,60.0,139.0,935.0,755.0,8.0,3223.0,2475.0,106.0,5804.0,3269.0,6.0,696.0,30.0,508.0,1234.0,853.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,446.0,145.0,98.0,689.0,448.0,0.0,561.0,1195.0,226.0,1982.0,560.0,0.0,722.0,11.0,256.0,989.0,793.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,31,NORWAY,2451.0,1.0,277.0,2729.0,2020.0,0.0,14040.0,60.0,29.0,14129.0,13739.0,3.0,893.0,2.0,24.0,919.0,906.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,32,PORTUGAL,743.0,0.0,27.0,770.0,702.0,0.0,1160.0,2.0,119.0,1281.0,1150.0,0.0,256.0,0.0,5.0,261.0,265.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,33,SLOVAKIA,11.0,3.0,1.0,15.0,11.0,0.0,854.0,55.0,0.0,909.0,854.0,0.0,165.0,11.0,0.0,176.0,165.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,34,SPAIN,3981.0,71.0,2004.0,6056.0,3907.0,0.0,13636.0,406.0,435.0,14477.0,13397.0,0.0,6354.0,64.0,186.0,6604.0,6356.0,0.0
