period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,8,BELGIUM,3286.0,2049.0,5335.0,1308.0,19512.0,249.0,6.0,1.0,22.0,0.0,0.0,22.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,9,CANADA,2740.0,5088.0,7828.0,8649.0,6733.0,20573.0,2097.0,171.0,11975.0,803.0,1158.0,11767.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,10,FRANCE,8.0,343.0,351.0,449.0,740.0,5005.0,422.0,59.0,14678.0,0.0,3498.0,14678.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,11,GERMANY,822.0,5149.0,5971.0,2950.0,15697.0,9747.0,556.0,10.0,23379.0,0.0,632.0,23379.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,12,ITALY,0.0,785.0,785.0,2764.0,763.0,1560.0,223.0,7.0,0.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,13,JAPAN,27.0,4288.0,4315.0,5725.0,11363.0,2787.0,678.0,70.0,7843.0,0.0,179.0,7843.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,14,LUXEMBOURG,12887.0,6673.0,19560.0,21310.0,-11418.0,324.0,341.0,5.0,7586.0,0.0,7.0,7579.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,15,NETHERLANDS,2340.0,2281.0,4621.0,6878.0,1026.0,4523.0,402.0,19.0,94.0,0.0,6.0,88.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,16,SWEDEN,6.0,39.0,45.0,1040.0,77.0,2245.0,185.0,57.0,7.0,0.0,0.0,7.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,17,SWITZERLAND,12.0,26.0,38.0,680.0,296.0,1013.0,497.0,118.0,254.0,2.0,4.0,254.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,86355.0,54399.0,140754.0,63913.0,-27490.0,8830.0,1197.0,93.0,25015.0,196.0,5703.0,25004.0
2021Q4,2021,Q4,Table 3,3,All Others,G-10 and Luxembourg,subtotal,19,Total,108483.0,81120.0,189603.0,115666.0,17299.0,56856.0,6604.0,610.0,90853.0,1001.0,11187.0,90621.0
