period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,31,NORWAY,3458.0,2.0,292.0,3752.0,3796.0,1.0,15087.0,62.0,29.0,15178.0,14230.0,3.0,1586.0,6.0,29.0,1621.0,1595.0,2.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,32,PORTUGAL,743.0,0.0,27.0,770.0,705.0,0.0,1310.0,2.0,119.0,1431.0,1300.0,0.0,260.0,7.0,5.0,272.0,268.0,7.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,33,SLOVAKIA,12.0,3.0,1.0,16.0,11.0,0.0,854.0,55.0,0.0,909.0,854.0,0.0,165.0,11.0,0.0,176.0,165.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,34,SPAIN,5237.0,273.0,2276.0,7786.0,4458.0,0.0,14797.0,457.0,435.0,15689.0,14558.0,0.0,6738.0,64.0,186.0,6988.0,6739.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,177.0,0.0,47.0,224.0,280.0,0.0,27362.0,0.0,12.0,27374.0,27362.0,0.0,741.0,0.0,104.0,845.0,975.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,39,BULGARIA,6.0,4.0,0.0,10.0,9.0,0.0,36.0,684.0,0.0,720.0,36.0,346.0,11.0,0.0,9.0,20.0,9.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,40,CZECH REPUBLIC,3378.0,41.0,61.0,3480.0,3430.0,1.0,321.0,2955.0,52.0,3328.0,321.0,0.0,127.0,48.0,5.0,180.0,127.0,1.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,41,HUNGARY,297.0,30.0,22.0,349.0,1063.0,9.0,581.0,931.0,44.0,1556.0,579.0,0.0,129.0,26.0,3.0,158.0,129.0,3.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Eastern Europe,country_data,43,POLAND,845.0,1051.0,93.0,1989.0,863.0,190.0,800.0,6998.0,1.0,7799.0,774.0,393.0,940.0,481.0,373.0,1794.0,940.0,16.0
