date,hhi,country
2022-01-01,1657.6652391447706,Chile
2022-02-01,1735.015929434443,Chile
2022-03-01,1654.998750099175,Chile
2022-04-01,1628.5030030852115,Chile
2022-05-01,1602.3030184958673,Chile
2022-06-01,1613.2990493729671,Chile
2022-07-01,1645.963310271102,Chile
2022-08-01,1655.3767217451839,Chile
2022-09-01,1728.203679295376,Chile
2022-10-01,1716.6956062720299,Chile
2022-11-01,1698.6192784950954,Chile
2022-12-01,1665.8081113240244,Chile
2023-01-01,1713.3627655316131,Chile
2023-02-01,1700.5576347210765,Chile
2023-03-01,1719.8165994595108,Chile
2023-04-01,1657.2778427926544,Chile
2023-05-01,1675.7274843421344,Chile
2023-06-01,1660.6636756654987,Chile
2023-07-01,1615.3221491546485,Chile
2023-08-01,1631.1335024571003,Chile
2023-09-01,1634.4257882091958,Chile
2023-10-01,1626.0423211982659,Chile
2023-11-01,1650.1624511739158,Chile
2023-12-01,1669.0267890774444,Chile
2024-01-01,1573.1240743134451,Chile
2024-02-01,1587.9117213706531,Chile
2024-03-01,1593.8525494315497,Chile
2024-04-01,1585.3170725276566,Chile
2024-05-01,1554.9674484692312,Chile
2024-06-01,1553.0815778191786,Chile
2024-07-01,1541.8001291476028,Chile
2024-08-01,1556.2747094633185,Chile
2024-09-01,1525.9668833136511,Chile
2024-10-01,1481.7869400119046,Chile
2024-11-01,1489.104111495923,Chile
2024-12-01,1469.0005475994105,Chile
2022-01-01,1835.314608216464,Peru
2022-02-01,1811.1010912603415,Peru
2022-03-01,1873.1884177893317,Peru
2022-04-01,1865.420433998948,Peru
2022-05-01,1835.7304548815448,Peru
2022-06-01,1854.9232549690641,Peru
2022-07-01,1830.1358881717756,Peru
2022-08-01,1819.082125001955,Peru
2022-09-01,1765.853351987929,Peru
2022-10-01,1795.5337014830052,Peru
2022-11-01,1809.0994593097798,Peru
2022-12-01,1846.7427772748267,Peru
2023-01-01,1802.1277160298216,Peru
2023-02-01,1790.1923691872062,Peru
2023-03-01,1765.2553056729198,Peru
2023-04-01,1780.8303136698155,Peru
2023-05-01,1760.4332187072225,Peru
2023-06-01,1761.3163016237163,Peru
2023-07-01,1707.867585959018,Peru
2023-08-01,1703.8858609296103,Peru
2023-09-01,1713.4468478260121,Peru
2023-10-01,1731.7265837093596,Peru
2023-11-01,1766.2093081187,Peru
2023-12-01,1798.985205244275,Peru
2024-01-01,1789.4265091150594,Peru
2024-02-01,1750.3251059487466,Peru
2024-03-01,1731.9321819350637,Peru
2024-04-01,1718.302274292557,Peru
2024-05-01,1687.8640371045062,Peru
2024-06-01,1709.4169172138932,Peru
2024-07-01,1712.2341067631958,Peru
2024-08-01,1687.9663687827567,Peru
2024-09-01,1726.736837650929,Peru
2024-10-01,1731.8651738701515,Peru
2024-11-01,1712.3007587132836,Peru
2024-12-01,1713.140061806732,Peru
