year,size_category,tf_usd_millions,country,tf_total,tf_pct
2010,Large,7365.176628812886,Peru,9235.236517583264,79.7508175864266
2010,Medium,1782.2810339140772,Peru,9235.236517583264,19.29870480870452
2010,Micro,13.232977215940886,Peru,9235.236517583264,0.14328790811958303
2010,Small,74.54587764035931,Peru,9235.236517583264,0.8071896967492821
2011,Large,31340.738766786926,Peru,39732.235911587166,78.8798768751068
2011,Medium,8031.637343508721,Peru,39732.235911587166,20.214410690052414
2011,Micro,74.00403239355182,Peru,39732.235911587166,0.1862569037348586
2011,Small,285.8557688979652,Peru,39732.235911587166,0.7194555311059168
2012,Large,31787.107015938207,Peru,40629.85949924611,78.23582805283395
2012,Medium,8463.009091686352,Peru,40629.85949924611,20.829530783495287
2012,Micro,71.01028168735941,Peru,40629.85949924611,0.17477363338821544
2012,Small,308.7331099341793,Peru,40629.85949924611,0.7598675302825202
2013,Large,39594.06924898015,Peru,47866.8495721251,82.71709879155586
2013,Medium,7943.076015318362,Peru,47866.8495721251,16.59410653995485
2013,Micro,55.87583658246801,Peru,47866.8495721251,0.11673180307861096
2013,Small,273.82847124412336,Peru,47866.8495721251,0.5720628654106898
2014,Large,50485.37529760565,Peru,58433.0538651941,86.39865959098447
2014,Medium,7457.434279312498,Peru,58433.0538651941,12.762355868849342
2014,Micro,235.51822859439088,Peru,58433.0538651941,0.40305651170951085
2014,Small,254.72605968156662,Peru,58433.0538651941,0.4359280284566734
2015,Large,58898.46703170859,Peru,67304.84378109139,87.50999738336147
2015,Medium,8170.275625978121,Peru,67304.84378109139,12.139208958796331
2015,Micro,32.08825256714287,Peru,67304.84378109139,0.04767599293671897
2015,Small,204.01287083752737,Peru,67304.84378109139,0.3031176649054829
2016,Large,53014.08151337114,Peru,61224.29414782181,86.58994317741306
2016,Medium,8009.177664748924,Peru,61224.29414782181,13.08169865611079
2016,Micro,21.580173563190215,Peru,61224.29414782181,0.035247729457013224
2016,Small,179.45479613855855,Peru,61224.29414782181,0.29311043701913064
2017,Large,55221.65848935323,Peru,63080.34726115902,87.54177947171085
2017,Medium,7631.847284915027,Peru,63080.34726115902,12.098613302362473
2017,Micro,25.489381419311478,Peru,63080.34726115902,0.04040780136130649
2017,Small,201.35210547145417,Peru,63080.34726115902,0.31919942456536593
2018,Large,68207.5247530038,Peru,75231.99192467323,90.66292544971726
2018,Medium,6782.070069088055,Peru,75231.99192467323,9.014875049272481
2018,Micro,26.509590109051096,Peru,75231.99192467323,0.03523712376989045
2018,Small,215.8875124723139,Peru,75231.99192467323,0.28696237724035456
2019,Large,61817.60777491933,Peru,69108.61977546936,89.44992386732916
2019,Medium,7016.5893056357045,Peru,69108.61977546936,10.152987179359494
2019,Micro,41.15144290489445,Peru,69108.61977546936,0.0595460349788399
2019,Small,233.27125200942805,Peru,69108.61977546936,0.3375429183324965
2020,Large,52171.05913806566,Peru,57545.71444830003,90.66019883189904
2020,Medium,5222.892550650288,Peru,57545.71444830003,9.076075604800453
2020,Micro,13.91368030403268,Peru,57545.71444830003,0.0241784821640071
2020,Small,137.84907928004773,Peru,57545.71444830003,0.23954708113649975
2021,Large,51340.20475794524,Peru,55529.697242914226,92.45540189667867
2021,Medium,4159.152734061444,Peru,55529.697242914226,7.489961120924652
2021,Micro,6.414527648697226,Peru,55529.697242914226,0.011551526421325377
2021,Small,23.925223258845303,Peru,55529.697242914226,0.04308545597535784
2022,Large,66450.52416172494,Peru,72062.45828741975,92.21240260315334
2022,Medium,5546.247629300839,Peru,72062.45828741975,7.696445224196677
2022,Micro,10.192780724351985,Peru,72062.45828741975,0.014144369990402316
2022,Small,55.49371566963192,Peru,72062.45828741975,0.07700780265959882
2023,Large,68260.82548993133,Peru,73915.78275332504,92.34945900219216
2023,Medium,5571.934734523587,Peru,73915.78275332504,7.538220562607704
2023,Micro,21.000161681071695,Peru,73915.78275332504,0.028410930519608166
2023,Small,62.022367189047955,Peru,73915.78275332504,0.083909504680525
2024,Large,62881.804448295494,Peru,68458.38495787307,91.85405774178106
2024,Medium,5113.529134651191,Peru,68458.38495787307,7.469543924820722
2024,Micro,11.096616067172969,Peru,68458.38495787307,0.016209286961708844
2024,Small,451.9547588592241,Peru,68458.38495787307,0.6601890464365198
