date,size_category,tf_usd_millions,country,tf_total,tf_pct
2010-10-01,Large,2463.8752728903823,Peru,3033.721971349941,81.21625172507191
2010-10-01,Medium,540.3822050430679,Peru,3033.721971349941,17.812515785769563
2010-10-01,Micro,3.777836613174161,Peru,3033.721971349941,0.12452810932747094
2010-10-01,Small,25.68665680331676,Peru,3033.721971349941,0.8467043798310478
2010-11-01,Large,2476.2497410544147,Peru,3102.365245994777,79.81812406683282
2010-11-01,Medium,596.8418517926452,Peru,3102.365245994777,19.238284485141826
2010-11-01,Micro,4.845387211518107,Peru,3102.365245994777,0.15618364787233258
2010-11-01,Small,24.42826593619874,Peru,3102.365245994777,0.7874078001530018
2010-12-01,Large,2425.0516148680877,Peru,3099.1493002385446,78.24894446619365
2010-12-01,Medium,645.0569770783643,Peru,3099.1493002385446,20.814001346392498
2010-12-01,Micro,4.609753391248622,Peru,3099.1493002385446,0.1487425401187934
2010-12-01,Small,24.430954900843805,Peru,3099.1493002385446,0.7883116472950603
2011-01-01,Large,2369.811477610648,Peru,3018.948916690113,78.49789920290668
2011-01-01,Medium,621.7640482884246,Peru,3018.948916690113,20.595381553196617
2011-01-01,Micro,4.8005205136529225,Peru,3018.948916690113,0.15901297591070446
2011-01-01,Small,22.57287027738701,Peru,3018.948916690113,0.7477062679859864
2011-02-01,Large,2332.027667912357,Peru,3003.2106629608274,77.65115170486378
2011-02-01,Medium,645.6512275577501,Peru,3003.2106629608274,21.498699226154542
2011-02-01,Micro,4.535949061227425,Peru,3003.2106629608274,0.15103665943818576
2011-02-01,Small,20.995818429492957,Peru,3003.2106629608274,0.6991124095435065
2011-03-01,Large,2457.438686318905,Peru,3150.0856721778505,78.01180482243598
2011-03-01,Medium,668.0519402160733,Peru,3150.0856721778505,21.20742131290059
2011-03-01,Micro,3.763982575055276,Peru,3150.0856721778505,0.11948826053524443
2011-03-01,Small,20.831063067817155,Peru,3150.0856721778505,0.6612856041281996
2011-04-01,Large,2670.991107059323,Peru,3353.670982440285,79.64380289672266
2011-04-01,Medium,656.4550259727831,Peru,3353.670982440285,19.574222677476737
2011-04-01,Micro,4.46845225742434,Peru,3353.670982440285,0.13324062738476775
2011-04-01,Small,21.756397150754832,Peru,3353.670982440285,0.6487337984158446
2011-05-01,Large,2982.2501040054894,Peru,3699.4858905406863,80.61255515613355
2011-05-01,Medium,690.1130210965434,Peru,3699.4858905406863,18.654295259271343
2011-05-01,Micro,5.38724900494817,Peru,3699.4858905406863,0.14562155835552637
2011-05-01,Small,21.735516433705346,Peru,3699.4858905406863,0.5875280262395773
2011-06-01,Large,2857.660841532081,Peru,3532.27988895315,80.90131392104935
2011-06-01,Medium,647.3174556525545,Peru,3532.27988895315,18.32576907840669
2011-06-01,Micro,6.779975498326782,Peru,3532.27988895315,0.19194332588225732
2011-06-01,Small,20.5216162701877,Peru,3532.27988895315,0.5809736746617105
2011-07-01,Large,2890.4325214369173,Peru,3622.4433713712046,79.79234525184036
2011-07-01,Medium,696.6647831556656,Peru,3622.4433713712046,19.231902661654498
2011-07-01,Micro,8.200868001606315,Peru,3622.4433713712046,0.22639050941193978
2011-07-01,Small,27.145198777015203,Peru,3622.4433713712046,0.7493615770931961
2011-08-01,Large,2810.3235843118564,Peru,3526.439409461294,79.69294968664065
2011-08-01,Medium,674.2884297810706,Peru,3526.439409461294,19.120941876159335
2011-08-01,Micro,10.131229315339763,Peru,3526.439409461294,0.2872934464195836
2011-08-01,Small,31.696166053027216,Peru,3526.439409461294,0.8988149907804367
2011-09-01,Large,2643.5446832642338,Peru,3307.125305036596,79.9348207108524
2011-09-01,Medium,627.9903388938964,Peru,3307.125305036596,18.98900951643703
2011-09-01,Micro,8.364694044056677,Peru,3307.125305036596,0.25292945602386585
2011-09-01,Small,27.225588834408924,Peru,3307.125305036596,0.8232403166866896
2011-10-01,Large,2482.065407347347,Peru,3194.384063976212,77.70090751885965
2011-10-01,Medium,682.4645532451705,Peru,3194.384063976212,21.364511579602365
2011-10-01,Micro,4.997300195781462,Peru,3194.384063976212,0.15644018050732036
2011-10-01,Small,24.856803187913272,Peru,3194.384063976212,0.7781407210306687
2011-11-01,Large,2397.0359281377264,Peru,3101.7078238985555,77.28116457870868
2011-11-01,Medium,674.7497788448725,Peru,3101.7078238985555,21.75413730609788
2011-11-01,Micro,6.532949429840796,Peru,3101.7078238985555,0.21062426897545403
2011-11-01,Small,23.389167486116257,Peru,3101.7078238985555,0.7540738462179932
2011-12-01,Large,2447.1567578500453,Peru,3222.4539240803933,75.94078349928314
2011-12-01,Medium,746.1267408039164,Peru,3222.4539240803933,23.153992528127212
2011-12-01,Micro,6.040862496291899,Peru,3222.4539240803933,0.18746156310103976
2011-12-01,Small,23.12956293013942,Peru,3222.4539240803933,0.7177624094886015
2012-01-01,Large,2413.5784191478297,Peru,3132.322023847413,77.05396829484489
2012-01-01,Medium,689.3389572352768,Peru,3132.322023847413,22.00728252035101
2012-01-01,Micro,6.824582160916116,Peru,3132.322023847413,0.21787613498734465
2012-01-01,Small,22.58006530339084,Peru,3132.322023847413,0.7208730498167577
2012-02-01,Large,2263.378046467402,Peru,3030.499563160845,74.68663166896066
2012-02-01,Medium,740.8531618270126,Peru,3030.499563160845,24.44656883745908
2012-02-01,Micro,4.46286136372128,Peru,3030.499563160845,0.1472648740152421
2012-02-01,Small,21.805493502708764,Peru,3030.499563160845,0.7195346195650129
2012-03-01,Large,2207.36977835295,Peru,2913.0037256728383,75.77641452700502
2012-03-01,Medium,678.9459716582945,Peru,2913.0037256728383,23.307418582222144
2012-03-01,Micro,4.326641183746914,Peru,2913.0037256728383,0.14852851527841962
2012-03-01,Small,22.361334477846917,Peru,2913.0037256728383,0.7676383754944204
2012-04-01,Large,2312.073207765187,Peru,2988.6134874673135,77.36273751894704
2012-04-01,Medium,647.9378407246002,Peru,2988.6134874673135,21.680215372168853
2012-04-01,Micro,6.515080444916053,Peru,2988.6134874673135,0.2179967557610545
2012-04-01,Small,22.087358532610747,Peru,2988.6134874673135,0.7390503531230657
2012-05-01,Large,2418.0065737832556,Peru,3175.2933366702337,76.15065184241826
2012-05-01,Medium,725.0058430685212,Peru,3175.2933366702337,22.83272019928708
2012-05-01,Micro,8.358390254972138,Peru,3175.2933366702337,0.26323206610376193
2012-05-01,Small,23.922529563484737,Peru,3175.2933366702337,0.7533958921908948
2012-06-01,Large,2551.9692375968853,Peru,3311.6775444714876,77.05971379541892
2012-06-01,Medium,723.5497608604488,Peru,3311.6775444714876,21.848436363266778
