date,country,tf_pct_exports
2022-01-01,Peru,7.445348703051861
2022-02-01,Peru,7.48762989940826
2022-03-01,Peru,7.960541318792455
2022-04-01,Peru,8.211983336086533
2022-05-01,Peru,8.513234101091516
2022-06-01,Peru,8.831459314284539
2022-07-01,Peru,9.328784262439967
2022-08-01,Peru,9.170952907279778
2022-09-01,Peru,8.730517562826105
2022-10-01,Peru,8.519326294061159
2022-11-01,Peru,8.64157773230581
2022-12-01,Peru,8.52049897779529
2023-01-01,Peru,8.636450739850366
2023-02-01,Peru,8.849453367519782
2023-03-01,Peru,8.776552045937354
2023-04-01,Peru,8.657624424924665
2023-05-01,Peru,8.443809117063006
2023-06-01,Peru,8.516803211603872
2023-07-01,Peru,8.439213198679814
2023-08-01,Peru,8.361539969889106
2023-09-01,Peru,8.427781991602554
2023-10-01,Peru,8.2197488903766
2023-11-01,Peru,8.408294622759266
2023-12-01,Peru,8.265181383864702
2024-01-01,Peru,6.925911823431442
2024-02-01,Peru,6.738983089573376
2024-03-01,Peru,6.481560678261131
2024-04-01,Peru,6.437489372293402
2024-05-01,Peru,6.9750999982427135
2024-06-01,Peru,7.183573379799261
2024-07-01,Peru,7.271762033964036
2024-08-01,Peru,7.108518342128675
2024-09-01,Peru,6.9546602254732734
2024-10-01,Peru,6.665016315901004
2024-11-01,Peru,6.610971955783235
2024-12-01,Peru,6.475591327363298
2022-01-01,Brazil,10.277038935507225
2022-02-01,Brazil,11.388251281527658
2022-03-01,Brazil,12.264570523789939
2022-04-01,Brazil,13.466954939559447
2022-05-01,Brazil,13.000113394229329
2022-06-01,Brazil,12.734611909046773
2022-07-01,Brazil,11.901997302665958
2022-08-01,Brazil,12.245262710356105
2022-09-01,Brazil,11.894863521807778
2022-10-01,Brazil,11.75857075222269
2022-11-01,Brazil,11.603973471962119
2022-12-01,Brazil,11.35848895359631
2023-01-01,Brazil,10.818882215097931
2023-02-01,Brazil,11.134448011351825
2023-03-01,Brazil,11.351813137378564
2023-04-01,Brazil,11.938551057424554
2023-05-01,Brazil,12.283443104088695
2023-06-01,Brazil,12.694779182380858
2023-07-01,Brazil,12.628615222275217
2023-08-01,Brazil,12.083403244071208
2023-09-01,Brazil,11.632487542709102
2023-10-01,Brazil,11.055073532696417
2023-11-01,Brazil,11.266843695673757
2023-12-01,Brazil,11.383393408163831
2024-01-01,Brazil,11.549537244726189
2024-02-01,Brazil,11.541464312785303
2024-03-01,Brazil,11.709671373429346
2024-04-01,Brazil,11.840750078592835
2024-05-01,Brazil,12.130789989888504
2024-06-01,Brazil,12.045442756048388
2024-07-01,Brazil,11.928571514270015
2024-08-01,Brazil,11.995752614405596
2024-09-01,Brazil,12.015172028651524
2024-10-01,Brazil,12.072275618082786
2024-11-01,Brazil,11.656571572658656
2024-12-01,Brazil,11.220217909963232
2022-01-01,Chile,21.991018361282457
2022-02-01,Chile,22.121237740883522
2022-03-01,Chile,22.112955173519914
2022-04-01,Chile,25.760978798707455
2022-05-01,Chile,25.254894737663275
2022-06-01,Chile,29.379263291654446
2022-07-01,Chile,30.055433010987564
2022-08-01,Chile,30.250090892512517
2022-09-01,Chile,32.8004888026778
2022-10-01,Chile,31.944976442799078
2022-11-01,Chile,30.136933752907275
2022-12-01,Chile,29.637168732800728
2023-01-01,Chile,30.649024798338765
2023-02-01,Chile,32.98913633302581
2023-03-01,Chile,32.801498487980666
2023-04-01,Chile,33.761325925857065
2023-05-01,Chile,34.44200000094115
2023-06-01,Chile,33.22110635630174
2023-07-01,Chile,34.12897334441648
2023-08-01,Chile,35.11912339958067
2023-09-01,Chile,35.21407053820361
2023-10-01,Chile,34.60188893511036
2023-11-01,Chile,35.712714556283196
2023-12-01,Chile,33.958091747534546
2024-01-01,Chile,31.538651922157275
2024-02-01,Chile,32.65204853796666
2024-03-01,Chile,32.99204618179902
2024-04-01,Chile,32.39612563743782
2024-05-01,Chile,31.97973720011357
2024-06-01,Chile,32.560781717068245
2024-07-01,Chile,32.28867081506876
2024-08-01,Chile,30.424920972169538
2024-09-01,Chile,29.59722857560541
2024-10-01,Chile,31.34964203025846
