date,country,lc_pct_liabilities
2022-01-01,Mexico,0.055199604773135263
2022-02-01,Mexico,0.08890379212550291
2022-03-01,Mexico,0.05995143951004131
2022-04-01,Mexico,0.11475175614259334
2022-05-01,Mexico,0.12261113791295962
2022-06-01,Mexico,0.08538281273832914
2022-07-01,Mexico,0.0750403222810638
2022-08-01,Mexico,0.08314734651121249
2022-09-01,Mexico,0.08817680421155875
2022-10-01,Mexico,0.08390262271974869
2022-11-01,Mexico,0.07933255790647933
2022-12-01,Mexico,0.07092451251089286
2023-01-01,Mexico,0.06375314379193878
2023-02-01,Mexico,0.06720138254993478
2023-03-01,Mexico,0.07603640660529157
2023-04-01,Mexico,0.07442648757659595
2023-05-01,Mexico,0.07574899864359982
2023-06-01,Mexico,0.0781531349519369
2023-07-01,Mexico,0.07826978075181346
2023-08-01,Mexico,0.07472465910483905
2023-09-01,Mexico,0.07323785909141724
2023-10-01,Mexico,0.07830478583338589
2023-11-01,Mexico,0.07579515934587902
2023-12-01,Mexico,0.07630564891802577
2024-01-01,Mexico,0.07780109333098661
2024-02-01,Mexico,0.07104865403371173
2024-03-01,Mexico,0.0681148231390073
2024-04-01,Mexico,0.0622428889211726
2024-05-01,Mexico,0.06523786881858756
2024-06-01,Mexico,0.06649860016475569
2024-07-01,Mexico,0.06718161975907982
2024-08-01,Mexico,0.07197552851986665
2024-09-01,Mexico,0.07378588006086431
2024-10-01,Mexico,0.07419995005247201
2024-11-01,Mexico,0.07704551103298572
2024-12-01,Mexico,0.077550533884901
2022-01-01,Chile,0.09912167539645232
2022-02-01,Chile,0.09704028114496013
2022-03-01,Chile,0.09591852510071243
2022-04-01,Chile,0.10057057281918111
2022-05-01,Chile,0.09749162604745633
2022-06-01,Chile,0.10414193446977073
2022-07-01,Chile,0.10744182700672199
2022-08-01,Chile,0.1041366037642132
2022-09-01,Chile,0.10855634060586301
2022-10-01,Chile,0.1159574486953757
2022-11-01,Chile,0.10718837838469347
2022-12-01,Chile,0.0968868997158201
2023-01-01,Chile,0.0883977054082933
2023-02-01,Chile,0.08655121017562091
2023-03-01,Chile,0.0847102681082268
2023-04-01,Chile,0.08260947850046235
2023-05-01,Chile,0.08399519516006076
2023-06-01,Chile,0.08256141670634408
2023-07-01,Chile,0.08409949922442057
2023-08-01,Chile,0.08828879962977236
2023-09-01,Chile,0.09506220268487912
2023-10-01,Chile,0.09412790577771454
2023-11-01,Chile,0.093044784393834
2023-12-01,Chile,0.0916677158639683
2024-01-01,Chile,0.09468221194683002
2024-02-01,Chile,0.0874177372445212
2024-03-01,Chile,0.08825124412837317
2024-04-01,Chile,0.08755512737543282
2024-05-01,Chile,0.08083410623812144
2024-06-01,Chile,0.08393315290475627
2024-07-01,Chile,0.09068094933107808
2024-08-01,Chile,0.08911309767065066
2024-09-01,Chile,0.08912218231447135
2024-10-01,Chile,0.0999138401019805
2024-11-01,Chile,0.10957680059757226
2024-12-01,Chile,0.11155422021145217
