period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased.1,Trade_Finance,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents.1,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents.2,Fair_Value_of_Derivatives_3.1,Total_Claims.1,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims.1,Claims_on_Local_Residents.3,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents.4,Fair_Value_of_Derivatives_3.2,Total_Claims.2,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims.2,Claims_on_Local_Residents.5,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Remaining_Maturity_less_than,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local.1,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households.1,Total_Other.1,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households.2,Total_Other.2,Claims_on_Local_Residents_Corporate.1,Households.3,Total_Other.3
2015Q2,2015,2,Table 1,1,All Others,Latin America and Caribbean,country_data,68,URUGUAY,51.0,597.0,395.0,202.0,30.0,678.0,26.0,11.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 1,1,All Others,Latin America and Caribbean,country_data,69,VENEZUELA,868.0,0.0,0.0,0.0,0.0,868.0,31.0,36.0,1667.0,1603.0,426.0,362.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 1,1,All Others,Banking Centers,country_data,105,BAHAMAS,363.0,15.0,15.0,0.0,6.0,384.0,7.0,45.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 1,1,All Others,Banking Centers,country_data,108,CAYMAN ISLANDS,11312.0,45.0,40.0,5.0,207.0,11564.0,1792.0,77.0,76.0,76.0,74.0,74.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 1,1,All Others,Banking Centers,country_data,112,PANAMA,698.0,0.0,0.0,0.0,2.0,700.0,14.0,37.0,344.0,304.0,120.0,80.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,51,ANGUILLA,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,52,ARGENTINA,,,,,,,,,,,,,,26.0,140.0,0.0,166.0,7.0,2.0,4.0,2.0,0.0,6.0,1.0,0.0,14.0,6.0,0.0,20.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,53,BRAZIL,,,,,,,,,,,,,,5159.0,39.0,142.0,5340.0,3627.0,0.0,2120.0,0.0,0.0,2120.0,2056.0,0.0,164.0,7.0,1.0,172.0,137.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,54,CHILE,,,,,,,,,,,,,,410.0,61.0,220.0,691.0,357.0,0.0,60.0,3.0,1.0,64.0,60.0,0.0,41.0,0.0,0.0,41.0,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,55,COLOMBIA,,,,,,,,,,,,,,1470.0,0.0,18.0,1488.0,1594.0,0.0,59.0,0.0,0.0,59.0,59.0,0.0,35.0,0.0,0.0,35.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,56,COSTA RICA,,,,,,,,,,,,,,108.0,0.0,0.0,108.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,57,DOMINICAN REPUBLIC,,,,,,,,,,,,,,199.0,0.0,0.0,199.0,242.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,58,ECUADOR,,,,,,,,,,,,,,1.0,25.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,59,EL SALVADOR,,,,,,,,,,,,,,66.0,0.0,0.0,66.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
