year,quarter,period,bank_group,country_region,Trade_Finance
2015,4,2015Q4,All Others,ECUADOR,12.0
2015,4,2015Q4,All Others,EL SALVADOR,26.0
2015,4,2015Q4,All Others,GUATEMALA,149.0
2015,4,2015Q4,All Others,HONDURAS,15.0
2015,4,2015Q4,All Others,MEXICO,291.0
2015,4,2015Q4,All Others,PERU,54.0
2015,4,2015Q4,All Others,URUGUAY,1.0
2015,4,2015Q4,All Others,VENEZUELA,0.0
2015,4,2015Q4,All Others,BAHAMAS,0.0
2015,4,2015Q4,All Others,CAYMAN ISLANDS,21.0
2015,4,2015Q4,All Others,PANAMA,80.0
2015,4,2015Q4,LFI,ANGUILLA,0.0
2015,4,2015Q4,LFI,ARGENTINA,310.0
2015,4,2015Q4,LFI,BRAZIL,8481.0
2015,4,2015Q4,LFI,CHILE,2711.0
2015,4,2015Q4,LFI,COLOMBIA,1421.0
2015,4,2015Q4,LFI,COSTA RICA,270.0
2015,4,2015Q4,LFI,DOMINICAN REPUBLIC,391.0
2015,4,2015Q4,LFI,ECUADOR,153.0
2015,4,2015Q4,LFI,EL SALVADOR,158.0
2015,4,2015Q4,LFI,GUATEMALA,815.0
2015,4,2015Q4,LFI,HONDURAS,111.0
2015,4,2015Q4,LFI,MEXICO,1268.0
2015,4,2015Q4,LFI,PERU,980.0
2015,4,2015Q4,LFI,URUGUAY,77.0
2015,4,2015Q4,LFI,VENEZUELA,8.0
2015,4,2015Q4,LFI,BAHAMAS,12.0
2015,4,2015Q4,LFI,CAYMAN ISLANDS,118.0
2015,4,2015Q4,LFI,PANAMA,228.0
2015,4,2015Q4,All Banks,ANGUILLA,1.0
2015,4,2015Q4,All Banks,ARGENTINA,315.0
2015,4,2015Q4,All Banks,BRAZIL,8970.0
2015,4,2015Q4,All Banks,CHILE,2728.0
2015,4,2015Q4,All Banks,COLOMBIA,1452.0
2015,4,2015Q4,All Banks,COSTA RICA,316.0
2015,4,2015Q4,All Banks,DOMINICAN REPUBLIC,421.0
2015,4,2015Q4,All Banks,ECUADOR,165.0
2015,4,2015Q4,All Banks,EL SALVADOR,184.0
2015,4,2015Q4,All Banks,GUATEMALA,964.0
2015,4,2015Q4,All Banks,HONDURAS,126.0
2015,4,2015Q4,All Banks,MEXICO,1559.0
2015,4,2015Q4,All Banks,PERU,1034.0
2015,4,2015Q4,All Banks,URUGUAY,78.0
2015,4,2015Q4,All Banks,VENEZUELA,8.0
2015,4,2015Q4,All Banks,BAHAMAS,12.0
2015,4,2015Q4,All Banks,CAYMAN ISLANDS,139.0
2015,4,2015Q4,All Banks,PANAMA,308.0
2016,1,2016Q1,All Others,ANGUILLA,1.0
2016,1,2016Q1,All Others,ARGENTINA,4.0
2016,1,2016Q1,All Others,BRAZIL,445.0
2016,1,2016Q1,All Others,CHILE,28.0
2016,1,2016Q1,All Others,COLOMBIA,57.0
2016,1,2016Q1,All Others,COSTA RICA,51.0
2016,1,2016Q1,All Others,DOMINICAN REPUBLIC,40.0
2016,1,2016Q1,All Others,ECUADOR,8.0
2016,1,2016Q1,All Others,EL SALVADOR,19.0
2016,1,2016Q1,All Others,GUATEMALA,142.0
2016,1,2016Q1,All Others,HONDURAS,19.0
2016,1,2016Q1,All Others,MEXICO,273.0
2016,1,2016Q1,All Others,PERU,28.0
2016,1,2016Q1,All Others,URUGUAY,0.0
2016,1,2016Q1,All Others,VENEZUELA,0.0
2016,1,2016Q1,All Others,BAHAMAS,0.0
2016,1,2016Q1,All Others,CAYMAN ISLANDS,20.0
2016,1,2016Q1,All Others,PANAMA,62.0
2016,1,2016Q1,LFI,ANGUILLA,0.0
2016,1,2016Q1,LFI,ARGENTINA,250.0
2016,1,2016Q1,LFI,BRAZIL,8060.0
2016,1,2016Q1,LFI,CHILE,3330.0
2016,1,2016Q1,LFI,COLOMBIA,1594.0
2016,1,2016Q1,LFI,COSTA RICA,314.0
2016,1,2016Q1,LFI,DOMINICAN REPUBLIC,490.0
2016,1,2016Q1,LFI,ECUADOR,144.0
2016,1,2016Q1,LFI,EL SALVADOR,175.0
2016,1,2016Q1,LFI,GUATEMALA,929.0
2016,1,2016Q1,LFI,HONDURAS,131.0
2016,1,2016Q1,LFI,MEXICO,1353.0
2016,1,2016Q1,LFI,PERU,918.0
2016,1,2016Q1,LFI,URUGUAY,93.0
2016,1,2016Q1,LFI,VENEZUELA,8.0
2016,1,2016Q1,LFI,BAHAMAS,4.0
2016,1,2016Q1,LFI,CAYMAN ISLANDS,117.0
2016,1,2016Q1,LFI,PANAMA,238.0
2016,1,2016Q1,All Banks,ANGUILLA,1.0
2016,1,2016Q1,All Banks,ARGENTINA,254.0
2016,1,2016Q1,All Banks,BRAZIL,8505.0
2016,1,2016Q1,All Banks,CHILE,3358.0
2016,1,2016Q1,All Banks,COLOMBIA,1651.0
2016,1,2016Q1,All Banks,COSTA RICA,365.0
2016,1,2016Q1,All Banks,DOMINICAN REPUBLIC,530.0
2016,1,2016Q1,All Banks,ECUADOR,152.0
2016,1,2016Q1,All Banks,EL SALVADOR,194.0
2016,1,2016Q1,All Banks,GUATEMALA,1071.0
2016,1,2016Q1,All Banks,HONDURAS,150.0
2016,1,2016Q1,All Banks,MEXICO,1626.0
2016,1,2016Q1,All Banks,PERU,946.0
2016,1,2016Q1,All Banks,URUGUAY,93.0
2016,1,2016Q1,All Banks,VENEZUELA,8.0
2016,1,2016Q1,All Banks,BAHAMAS,4.0
2016,1,2016Q1,All Banks,CAYMAN ISLANDS,137.0
2016,1,2016Q1,All Banks,PANAMA,300.0
2016,2,2016Q2,All Others,ANGUILLA,1.0
2016,2,2016Q2,All Others,ARGENTINA,4.0
2016,2,2016Q2,All Others,BRAZIL,402.0
2016,2,2016Q2,All Others,CHILE,37.0
2016,2,2016Q2,All Others,COLOMBIA,64.0
2016,2,2016Q2,All Others,COSTA RICA,31.0
2016,2,2016Q2,All Others,DOMINICAN REPUBLIC,30.0
2016,2,2016Q2,All Others,ECUADOR,11.0
2016,2,2016Q2,All Others,EL SALVADOR,10.0
2016,2,2016Q2,All Others,GUATEMALA,131.0
2016,2,2016Q2,All Others,HONDURAS,11.0
2016,2,2016Q2,All Others,MEXICO,239.0
2016,2,2016Q2,All Others,PERU,6.0
2016,2,2016Q2,All Others,URUGUAY,0.0
2016,2,2016Q2,All Others,VENEZUELA,49.0
2016,2,2016Q2,All Others,BAHAMAS,0.0
2016,2,2016Q2,All Others,CAYMAN ISLANDS,21.0
2016,2,2016Q2,All Others,PANAMA,114.0
2016,2,2016Q2,LFI,ANGUILLA,0.0
2016,2,2016Q2,LFI,ARGENTINA,289.0
2016,2,2016Q2,LFI,BRAZIL,8043.0
2016,2,2016Q2,LFI,CHILE,3071.0
2016,2,2016Q2,LFI,COLOMBIA,1448.0
2016,2,2016Q2,LFI,COSTA RICA,286.0
2016,2,2016Q2,LFI,DOMINICAN REPUBLIC,428.0
2016,2,2016Q2,LFI,ECUADOR,136.0
2016,2,2016Q2,LFI,EL SALVADOR,206.0
2016,2,2016Q2,LFI,GUATEMALA,902.0
2016,2,2016Q2,LFI,HONDURAS,129.0
2016,2,2016Q2,LFI,MEXICO,1431.0
2016,2,2016Q2,LFI,PERU,769.0
2016,2,2016Q2,LFI,URUGUAY,57.0
2016,2,2016Q2,LFI,VENEZUELA,6.0
2016,2,2016Q2,LFI,BAHAMAS,5.0
2016,2,2016Q2,LFI,CAYMAN ISLANDS,91.0
2016,2,2016Q2,LFI,PANAMA,299.0
2016,2,2016Q2,All Banks,ANGUILLA,1.0
2016,2,2016Q2,All Banks,ARGENTINA,293.0
2016,2,2016Q2,All Banks,BRAZIL,8445.0
2016,2,2016Q2,All Banks,CHILE,3108.0
2016,2,2016Q2,All Banks,COLOMBIA,1512.0
2016,2,2016Q2,All Banks,COSTA RICA,317.0
2016,2,2016Q2,All Banks,DOMINICAN REPUBLIC,458.0
2016,2,2016Q2,All Banks,ECUADOR,147.0
2016,2,2016Q2,All Banks,EL SALVADOR,216.0
2016,2,2016Q2,All Banks,GUATEMALA,1033.0
2016,2,2016Q2,All Banks,HONDURAS,140.0
2016,2,2016Q2,All Banks,MEXICO,1670.0
2016,2,2016Q2,All Banks,PERU,775.0
2016,2,2016Q2,All Banks,URUGUAY,57.0
2016,2,2016Q2,All Banks,VENEZUELA,55.0
2016,2,2016Q2,All Banks,BAHAMAS,5.0
2016,2,2016Q2,All Banks,CAYMAN ISLANDS,112.0
2016,2,2016Q2,All Banks,PANAMA,413.0
2016,3,2016Q3,All Others,ANGUILLA,0.0
2016,3,2016Q3,All Others,ARGENTINA,7.0
2016,3,2016Q3,All Others,BRAZIL,258.0
2016,3,2016Q3,All Others,CHILE,38.0
2016,3,2016Q3,All Others,COLOMBIA,53.0
2016,3,2016Q3,All Others,COSTA RICA,34.0
2016,3,2016Q3,All Others,DOMINICAN REPUBLIC,26.0
2016,3,2016Q3,All Others,ECUADOR,13.0
2016,3,2016Q3,All Others,EL SALVADOR,21.0
2016,3,2016Q3,All Others,GUATEMALA,86.0
2016,3,2016Q3,All Others,HONDURAS,5.0
2016,3,2016Q3,All Others,MEXICO,166.0
2016,3,2016Q3,All Others,PERU,30.0
2016,3,2016Q3,All Others,URUGUAY,0.0
2016,3,2016Q3,All Others,VENEZUELA,23.0
2016,3,2016Q3,All Others,BAHAMAS,0.0
2016,3,2016Q3,All Others,CAYMAN ISLANDS,21.0
2016,3,2016Q3,All Others,PANAMA,130.0
2016,3,2016Q3,LFI,ANGUILLA,0.0
2016,3,2016Q3,LFI,ARGENTINA,232.0
2016,3,2016Q3,LFI,BRAZIL,7974.0
2016,3,2016Q3,LFI,CHILE,3571.0
2016,3,2016Q3,LFI,COLOMBIA,1416.0
2016,3,2016Q3,LFI,COSTA RICA,274.0
2016,3,2016Q3,LFI,DOMINICAN REPUBLIC,383.0
2016,3,2016Q3,LFI,ECUADOR,121.0
2016,3,2016Q3,LFI,EL SALVADOR,189.0
2016,3,2016Q3,LFI,GUATEMALA,705.0
2016,3,2016Q3,LFI,HONDURAS,81.0
2016,3,2016Q3,LFI,MEXICO,1108.0
2016,3,2016Q3,LFI,PERU,862.0
2016,3,2016Q3,LFI,URUGUAY,59.0
2016,3,2016Q3,LFI,VENEZUELA,7.0
2016,3,2016Q3,LFI,BAHAMAS,10.0
2016,3,2016Q3,LFI,CAYMAN ISLANDS,55.0
2016,3,2016Q3,LFI,PANAMA,333.0
