period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,35,SPAIN,725.0,318.0,1043.0,290.0,125.0,415.0,2.0,1460.0,677.0,354.0,1031.0,8.0,0.0,8.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,36,OTHER NON G-10 DEV.,70.0,38.0,108.0,0.0,0.0,0.0,0.0,108.0,30.0,48.0,78.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Non G-10 Developed Countries,subtotal,37,Total,6917.0,643.0,7560.0,3566.0,2449.0,6015.0,52.0,13627.0,6730.0,671.0,7401.0,14.0,0.0,14.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Non G-10 Developed Countries,empty,38,,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,region_header,39,Eastern Europe,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,40,BULGARIA,38.0,1.0,39.0,0.0,0.0,0.0,0.0,39.0,46.0,1.0,47.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,41,CZECH REPUBLIC,10.0,8.0,18.0,0.0,0.0,0.0,0.0,18.0,25.0,0.0,25.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,42,HUNGARY,1.0,7.0,8.0,9.0,0.0,9.0,40.0,57.0,9.0,7.0,16.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,43,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,44,POLAND,36.0,5.0,41.0,60.0,0.0,60.0,0.0,101.0,55.0,5.0,60.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,45,ROMANIA,4.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,33.0,3.0,36.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,46,RUSSIA,22.0,20.0,42.0,26.0,0.0,26.0,0.0,68.0,11.0,19.0,30.0,0.0,0.0,0.0
