Anho,amount_total,yoy_growth_total,amount_fx,yoy_growth_fx
2015,5882.5321,,1959.102206,
2016,6478.88409,10.137675066830475,2145.943922,9.53710916295094
2017,6590.556066,1.7236297863757688,2056.10569,-4.186420301061345
2018,7092.561734,7.617045708628378,2262.510376,10.038622382295937
2019,7900.303728,11.388578968976514,2697.274956,19.21602590696805
2020,8890.008402,12.52742562912259,2954.070096,9.520539959367792
2021,8812.41694,-0.8727940232603704,2558.222766,-13.400065575153508
2022,7339.919900877308,-16.709343749260817,2730.897788644754,6.749804002203708
2023,7531.76149191213,2.613674176633629,2858.508289888388,4.6728406231183905
2024,7879.68526541092,4.6194210195370955,3195.889324276814,11.802695678087382
