Anho,amount_total,amount_fx,amount_clp
2015,5882.5321,1959.102206,2255.680166
2016,6478.88409,2145.943922,2437.194796
2017,6590.556066,2056.10569,2551.745744
2018,7092.561734,2262.510376,2690.235864
2019,7900.303728,2697.274956,2764.05519
2020,8890.008402,2954.070096,3288.280764
2021,8812.41694,2558.222766,3592.58598
2022,7339.919900877308,2730.897788644754,2576.83926025674
2023,7531.76149191213,2858.508289888388,2596.86967847529
2024,7879.68526541092,3195.889324276814,2414.006808662976
