period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,33807.0,9891.0,43698.0,19108.0,-15260.0,1986.0,6973.0,2435.0,2194.0,0.0,394.0,2194.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,9,CANADA,5077.0,29009.0,34086.0,39895.0,16578.0,12979.0,17390.0,2569.0,25364.0,3.0,7656.0,25364.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,10,FRANCE,328.0,4725.0,5053.0,54858.0,11007.0,13844.0,44058.0,13984.0,77518.0,42.0,19346.0,77518.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,11,GERMANY,20013.0,51873.0,71886.0,108340.0,38918.0,24121.0,35518.0,14018.0,31299.0,12.0,11356.0,31299.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,12,ITALY,251.0,3198.0,3449.0,36798.0,776.0,2199.0,21978.0,8956.0,5975.0,8.0,923.0,5975.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,13,JAPAN,3444.0,64102.0,67546.0,79661.0,200327.0,5639.0,79019.0,32447.0,143558.0,0.0,57410.0,143558.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,21722.0,13224.0,34946.0,82672.0,-19294.0,2671.0,8722.0,1156.0,12733.0,23.0,39.0,12733.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,25821.0,7013.0,32834.0,61065.0,-27159.0,8579.0,17288.0,2263.0,2017.0,0.0,49.0,2017.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,612.0,1097.0,1709.0,11693.0,-814.0,2050.0,6367.0,1467.0,4770.0,0.0,294.0,4770.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,10216.0,1977.0,12193.0,38347.0,12432.0,1926.0,6685.0,200.0,4039.0,0.0,20.0,4039.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,911534.0,265373.0,1176907.0,298294.0,186245.0,26399.0,72756.0,14211.0,92292.0,53.0,37869.0,92292.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,subtotal,19,Total,1032825.0,451482.0,1484307.0,830731.0,403756.0,102393.0,316754.0,93706.0,401759.0,141.0,135356.0,401759.0
2017Q3,2017,Q3,Table 3,3,LFI,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,22,AUSTRALIA,2527.0,52857.0,55384.0,69501.0,11160.0,13073.0,26530.0,2609.0,3701.0,62.0,2539.0,3701.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,23,AUSTRIA,3.0,76.0,79.0,8259.0,-75.0,3484.0,4759.0,2882.0,1733.0,5.0,1.0,1733.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,1890.0,0.0,0.0,959.0,13.0,442.0,0.0,0.0,442.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,25,DENMARK,1889.0,1124.0,3013.0,9359.0,-2815.0,15.0,3182.0,83.0,3344.0,0.0,95.0,3344.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,26,FINLAND,634.0,1025.0,1659.0,7029.0,-1457.0,2439.0,4739.0,1576.0,1086.0,0.0,9.0,1086.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,27,GREECE,50.0,1867.0,1917.0,4227.0,-1747.0,0.0,2358.0,80.0,7469.0,0.0,2050.0,7469.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,28,IRELAND,9451.0,6109.0,15560.0,81146.0,16145.0,3940.0,13909.0,506.0,29538.0,185.0,229.0,29538.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,29,ISRAEL,916.0,1329.0,2245.0,4264.0,-676.0,308.0,1483.0,104.0,157.0,0.0,150.0,157.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,32.0,975.0,1007.0,2186.0,912.0,166.0,593.0,47.0,166.0,0.0,77.0,166.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,31,NORWAY,259.0,859.0,1118.0,6672.0,-878.0,991.0,2244.0,223.0,10267.0,0.0,292.0,10267.0
2017Q3,2017,Q3,Table 3,3,LFI,Non G-10 Developed Countries,country_data,32,PORTUGAL,37.0,273.0,310.0,2422.0,-178.0,198.0,1689.0,871.0,2631.0,2.0,225.0,2631.0
