period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,41,CZECH REPUBLIC,21.0,1.0,22.0,0.0,0.0,0.0,0.0,22.0,34.0,0.0,34.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,42,HUNGARY,110.0,4.0,114.0,12.0,0.0,12.0,2.0,128.0,135.0,3.0,138.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,43,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,44,POLAND,75.0,4.0,79.0,58.0,0.0,58.0,1.0,138.0,93.0,3.0,96.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,45,ROMANIA,4.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,39.0,3.0,42.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,46,RUSSIA,21.0,26.0,47.0,16.0,0.0,16.0,0.0,63.0,6.0,22.0,28.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,47,TURKEY,14.0,43.0,57.0,0.0,0.0,0.0,0.0,57.0,16.0,38.0,54.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Eastern Europe,country_data,48,OTHER E. EUROPE,31.0,14.0,45.0,0.0,0.0,0.0,0.0,45.0,68.0,7.0,75.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,52,ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,53,ARGENTINA,145.0,149.0,294.0,278.0,337.0,615.0,28.0,937.0,267.0,135.0,402.0,134.0,43.0,177.0
