period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,50,ANGUILLA,98.0,0.0,97.0,0.0,98.0,0.0,0.0,98.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,51,ARGENTINA,1434.0,926.0,2069.0,4028.0,6388.0,736.0,19.0,5673.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,52,BRAZIL,54725.0,3432.0,48937.0,50699.0,108856.0,3844.0,9276.0,114288.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,53,CHILE,8236.0,15.0,7401.0,3708.0,11959.0,488.0,365.0,11837.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,54,COLOMBIA,4345.0,1.0,2607.0,4343.0,8689.0,1104.0,408.0,7992.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,55,COSTA RICA,303.0,205.0,457.0,946.0,1454.0,90.0,8.0,1372.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,1531.0,30.0,1485.0,395.0,1956.0,273.0,188.0,1873.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,57,ECUADOR,631.0,635.0,1099.0,0.0,1266.0,471.0,6.0,799.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,58,EL SALVADOR,339.0,183.0,468.0,0.0,522.0,100.0,29.0,452.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,59,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,60,GUATEMALA,1187.0,34.0,1118.0,307.0,1528.0,273.0,191.0,1452.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,61,HONDURAS,421.0,34.0,437.0,253.0,708.0,51.0,3.0,661.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,62,MEXICO,25793.0,7617.0,28659.0,79392.0,112802.0,7412.0,3432.0,108822.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,63,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,64,PERU,4266.0,466.0,3625.0,1425.0,6157.0,1126.0,606.0,5638.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,65,URUGUAY,972.0,211.0,1069.0,269.0,1452.0,184.0,69.0,1337.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,66,VENEZUELA,691.0,0.0,604.0,0.0,691.0,124.0,4.0,571.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,67,OTHER LAT. AM. & CAR.,37580.0,573.0,33293.0,727.0,38880.0,7362.0,1490.0,33006.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,71,CHINA-MAINLAND,89774.0,2800.0,87801.0,37702.0,130276.0,2501.0,4427.0,132197.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,72,INDIA,24126.0,1916.0,20448.0,58004.0,84046.0,3835.0,3096.0,83311.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,73,INDONESIA,5453.0,2741.0,6987.0,6506.0,14700.0,1414.0,474.0,13763.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,74,"KOREA, SOUTH",54806.0,3414.0,52289.0,39971.0,98191.0,1716.0,8947.0,105423.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,75,KUWAIT,17954.0,1.0,16551.0,175.0,18130.0,117.0,97.0,18111.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,76,MALAYSIA,3016.0,2130.0,4245.0,11906.0,17052.0,1107.0,805.0,16751.0
